"depth","best.age","min.age","max.age"
1,-36,-38,-34
3,-24,-25,-22
5,-11,-14,-11
7,1,0,2
9,13,13,15
11,26,24,26
13,38,37,39
15,51,50,52
17,63,63,64
19,76,75,76
21,88,87,88
23,101,100,101
25,113,112,113
27,126,125,127
29,138,137,139
31,151,149,151
33,164,163,165
35,176,175,177
37,189,187,190
39,201,199,203
41,220,217,223
43,244,234,253
45,269,252,283
47,294,270,314
49,319,288,344
51,344,306,375
53,369,325,407
55,394,343,437
57,419,361,468
59,444,379,499
61,469,396,529
63,494,415,560
65,519,433,591
67,543,451,622
69,568,469,653
71,593,487,683
73,618,505,714
75,643,523,745
77,668,541,776
79,695,572,798
81,724,611,819
83,753,647,852
85,783,676,889
87,812,693,925
89,841,702,968
91,869,727,998
93,896,769,1015
102,1018,913,1123
104,1045,934,1154
106,1072,953,1189
108,1099,970,1227
110,1126,984,1266
112,1186,1066,1305
114,1247,1128,1367
116,1307,1167,1447
118,1368,1183,1532
