"sample.depths","sample.ages","upland.sum","Acer.negundo","Acer.rubrum","Ambrosia.type","Betula","Carya","Celtis","Cephalanthus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Juglans.nigra","Juglans.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rubus","Salix","Saxifragaceae","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Populus","Amaranthaceae","Acer.saccharinum.type","Castanea","Apiaceae","Viburnum","Artemisia","Bidens.type","Corylus","Juglans.cinerea","Leitneria.floridana","Trees.undiff.","Polygonum","Ilex","Plantago.major","Tsuga","Vitis","Cerealia","Ericaceae","Iva.annua.type","Tilia","Acer.saccharum.type","Herbs.undiff.","Magnolia","Parthenocissus","Dalea","Onagraceae","Picea","Thalictrum","Spiraea.type","Cornus","Sambucus","Prunus.Sorbus","Abies","Lamiaceae","Morus","Potentilla.type","Sanguisorba","Aesculus","Shepherdia.canadensis","Caryophyllaceae"
25,-238,532,1,102,73,4,19,6,26,1,7,1,5,1,3,18,1,2,1,8,5,4,7,1,19,8,95,3,2,8,5,12,1,80,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-183,481,0,106,65,1,15,2,10,0,2,0,9,0,2,13,1,6,1,4,3,2,8,0,12,3,104,3,7,8,7,10,0,66,0,1,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-116,845,0,24,86,5,12,0,48,0,23,2,6,0,6,15,0,2,2,6,1,4,2,0,20,5,175,28,4,6,15,4,1,317,0,1,0,15,0,0,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-26,862,1,8,56,1,17,0,70,0,40,3,5,1,8,17,0,1,1,3,2,0,1,0,21,1,197,6,6,9,10,7,0,336,0,1,0,18,1,1,1,0,1,0,0,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,99,898,0,14,56,3,15,0,72,1,50,2,4,2,11,18,1,0,2,4,3,5,3,0,21,1,192,4,10,8,12,4,0,358,0,2,0,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,355,1088,1,11,96,37,11,0,116,0,31,3,5,1,7,8,0,0,0,4,1,2,0,0,18,1,178,5,0,7,7,8,0,493,2,0,0,29,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,556,739,0,6,37,3,24,0,67,0,56,4,3,2,10,28,0,0,2,4,1,1,3,0,18,0,187,0,0,7,0,4,0,229,1,0,0,17,0,1,0,0,0,0,0,0,1,0,2,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,803,768,0,3,36,10,29,0,80,0,54,2,6,3,6,24,0,0,1,5,1,3,1,0,17,1,190,1,0,6,0,6,0,251,3,0,0,14,0,0,0,4,0,2,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1102,660,0,4,8,7,25,0,33,0,65,4,4,0,15,26,0,1,2,3,3,6,3,0,19,1,199,0,0,7,0,6,0,206,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1454,674,0,1,7,4,27,1,54,0,56,2,2,0,15,41,0,2,3,5,0,2,4,0,15,0,197,0,0,8,0,3,0,194,4,0,0,7,0,0,0,3,0,1,0,0,1,0,0,1,0,0,4,0,0,2,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1856,621,0,4,2,1,28,0,25,0,32,2,5,0,18,25,0,1,0,1,2,0,3,0,17,2,210,1,2,12,3,7,0,207,0,1,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2303,632,0,5,1,3,27,0,22,0,45,0,3,1,11,19,0,0,0,0,4,1,4,0,18,0,266,0,0,8,1,7,0,178,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,2790,662,0,2,9,2,19,0,36,0,28,0,9,1,9,31,0,0,2,2,4,2,3,0,20,2,207,0,2,11,8,2,0,228,2,1,0,9,0,2,1,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,3313,814,0,3,3,2,23,0,39,0,10,0,17,1,15,20,0,0,1,6,0,0,2,0,16,0,228,1,5,14,7,5,0,377,2,1,0,1,1,1,0,0,0,1,0,0,1,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,3867,715,0,3,5,2,18,0,39,0,20,2,12,0,11,30,0,0,1,1,3,11,4,0,15,0,240,0,1,25,3,3,0,245,0,0,0,4,0,0,1,1,1,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
92,4450,759,0,2,3,0,28,0,65,0,24,1,9,1,16,25,0,0,2,4,1,6,1,0,9,0,235,0,2,31,4,3,0,273,1,1,0,6,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
96,5055,732,0,2,3,0,17,0,72,0,17,0,6,0,12,4,0,0,1,2,0,1,0,0,12,1,236,0,24,24,11,3,0,278,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,5680,829,0,3,0,7,17,0,70,0,16,0,10,2,34,14,1,0,2,4,3,3,0,0,11,0,191,0,4,14,4,1,1,391,8,0,0,7,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6318,835,0,5,3,19,37,0,35,0,20,5,10,0,30,16,0,0,4,5,1,5,2,0,12,0,159,0,3,37,10,0,0,401,0,0,0,3,1,0,0,2,0,1,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
108,6967,754,0,4,1,9,27,0,20,0,27,3,4,7,22,29,0,0,2,3,0,12,0,0,5,0,164,0,5,20,6,6,1,338,16,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
112,7621,875,0,4,9,11,35,0,41,0,23,3,7,0,17,27,1,0,0,2,3,2,1,0,9,0,202,0,1,25,13,2,0,406,0,0,0,10,0,2,0,7,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0
116,8274,776,0,7,3,8,24,0,51,0,7,4,0,0,52,44,0,0,1,10,0,7,0,0,11,0,141,0,0,28,10,1,0,321,11,0,1,9,0,0,0,5,0,2,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0
124,9554,694,0,2,2,1,16,0,34,0,20,6,11,0,9,77,1,0,0,5,1,13,1,0,8,2,223,1,0,16,14,3,0,205,1,0,0,1,1,0,0,0,0,2,0,1,1,0,0,3,1,0,0,0,1,2,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0
128,10169,650,0,0,5,8,11,1,0,0,16,3,8,2,16,320,0,0,1,1,0,43,0,0,5,0,152,1,0,0,1,2,0,0,0,1,0,0,0,0,0,4,2,4,0,0,0,1,0,0,1,0,0,0,1,8,0,5,0,0,0,22,1,0,0,1,0,2,1,0,0,0,0,0,0
