"sample.depths","sample.ages","Abies","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Rubus.type","Salix","Taxodium","Tilia","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Malvaceae","Onagraceae","Poaceae","Polygonum","Vigna"
1,-7,0,0,0,0,0,0.00701754385964912,0.00701754385964912,0,0,0,0,0.0175438596491228,0,0,0,0.0210526315789474,0,0.00350877192982456,0.0491228070175439,0.00701754385964912,0.0245614035087719,0.0842105263157895,0.00350877192982456,0,0.108771929824561,0,0.0105263157894737,0.414035087719298,0,0,0.00350877192982456,0.00701754385964912,0,0.00701754385964912,0,0.0315789473684211,0,0.0701754385964912,0,0.0175438596491228,0,0,0,0.105263157894737,0,0
10,300,0,0,0,0,0,0,0,0,0.0040650406504065,0,0,0.008130081300813,0,0,0,0.0121951219512195,0,0,0.040650406504065,0.0121951219512195,0.0203252032520325,0.024390243902439,0,0,0.0691056910569106,0,0.024390243902439,0.288617886178862,0,0.008130081300813,0.016260162601626,0,0.0691056910569106,0.0040650406504065,0.0040650406504065,0.101626016260163,0.008130081300813,0.0691056910569106,0,0.130081300813008,0,0,0,0.0853658536585366,0,0
20,642,0,0.00757575757575758,0,0,0,0,0,0.00757575757575758,0.00378787878787879,0,0,0.0189393939393939,0,0,0,0.00757575757575758,0,0.0113636363636364,0.106060606060606,0,0.0265151515151515,0.0454545454545455,0.00378787878787879,0,0.0795454545454545,0.0151515151515152,0,0.431818181818182,0,0.0151515151515152,0,0,0.0113636363636364,0.00378787878787879,0,0.0492424242424242,0.0113636363636364,0.0113636363636364,0,0.071969696969697,0,0,0,0.0606060606060606,0,0
29,949,0,0.00458715596330275,0.00458715596330275,0,0,0.0229357798165138,0,0,0,0,0,0.0871559633027523,0,0,0,0.018348623853211,0.00458715596330275,0.00458715596330275,0.0504587155963303,0.0137614678899083,0.018348623853211,0.0412844036697248,0,0.00458715596330275,0.13302752293578,0,0.0091743119266055,0.348623853211009,0,0.00458715596330275,0.0275229357798165,0,0.018348623853211,0,0,0.073394495412844,0,0.0275229357798165,0,0.036697247706422,0,0,0,0.0412844036697248,0.00458715596330275,0
40,1275,0,0,0,0,0,0.0106382978723404,0,0,0,0,0,0.0709219858156028,0,0.00354609929078014,0,0.00709219858156028,0,0,0.0638297872340425,0,0.0425531914893617,0.0780141843971631,0,0,0.0673758865248227,0,0.00709219858156028,0.51063829787234,0,0,0,0,0,0.00354609929078014,0,0.0425531914893617,0,0.0212765957446809,0,0.0177304964539007,0.00354609929078014,0,0,0.049645390070922,0,0
50,1562,0,0,0,0,0,0.011070110701107,0,0,0,0,0,0.029520295202952,0,0,0,0.003690036900369,0,0,0.051660516605166,0,0.062730627306273,0.062730627306273,0,0,0.0664206642066421,0,0,0.564575645756458,0,0.003690036900369,0.003690036900369,0,0,0,0,0.014760147601476,0.003690036900369,0.033210332103321,0,0.007380073800738,0,0,0,0.081180811808118,0,0
60,1850,0,0,0.0116731517509728,0,0.00389105058365759,0.00778210116731518,0,0.00389105058365759,0,0,0,0.0428015564202335,0,0,0,0.0155642023346304,0,0,0.0894941634241245,0.00389105058365759,0.0505836575875486,0.0272373540856031,0,0,0.101167315175097,0,0.00389105058365759,0.431906614785992,0,0.0194552529182879,0.0116731517509728,0,0,0,0,0.0272373540856031,0.0116731517509728,0.0466926070038911,0,0.0155642023346304,0,0,0,0.0700389105058366,0,0.00389105058365759
70,2137,0,0,0,0,0.00377358490566038,0.0113207547169811,0,0.00754716981132075,0,0,0,0.0943396226415094,0,0,0,0.0150943396226415,0,0.00377358490566038,0.090566037735849,0,0.030188679245283,0.0264150943396226,0,0,0.0943396226415094,0,0,0.328301886792453,0,0.00754716981132075,0.00377358490566038,0,0,0.00377358490566038,0,0.0452830188679245,0,0.0867924528301887,0,0.00377358490566038,0,0,0,0.139622641509434,0,0.00377358490566038
80,2424,0,0.00303951367781155,0,0,0,0.0121580547112462,0.00303951367781155,0.00303951367781155,0,0,0,0.0668693009118541,0,0,0.00303951367781155,0.0151975683890578,0,0.00911854103343465,0.0395136778115502,0.0060790273556231,0.0486322188449848,0.0455927051671733,0,0.00303951367781155,0.094224924012158,0,0.00303951367781155,0.343465045592705,0,0.0151975683890578,0.00303951367781155,0,0,0.0060790273556231,0,0.033434650455927,0.0151975683890578,0.0911854103343465,0,0.0060790273556231,0,0,0,0.127659574468085,0,0.00303951367781155
95,3776,0,0,0,0,0,0.0064935064935065,0,0,0,0,0,0.0064935064935065,0,0,0,0.0064935064935065,0,0,0,0,0.012987012987013,0.0064935064935065,0.0064935064935065,0,0.051948051948052,0,0.0194805194805195,0.025974025974026,0,0.0064935064935065,0,0.0064935064935065,0,0.0194805194805195,0,0.038961038961039,0.012987012987013,0.038961038961039,0,0.0064935064935065,0,0.0064935064935065,0,0.720779220779221,0,0
112,4021,0,0,0,0,0,0.00355871886120996,0.00355871886120996,0,0,0,0,0.0106761565836299,0,0,0,0.0106761565836299,0,0,0,0,0.0142348754448399,0.0177935943060498,0,0,0.0640569395017794,0,0.00355871886120996,0.0177935943060498,0,0.00355871886120996,0,0,0.00355871886120996,0.0604982206405694,0,0.0284697508896797,0.0177935943060498,0.373665480427046,0,0.0177935943060498,0,0,0,0.348754448398576,0,0
