"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Rubus.type","Salix","Taxodium","Tilia","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Malvaceae","Onagraceae","Poaceae","Polygonum","Vigna"
1,-7,285,0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,6,0,1,14,2,7,24,1,0,31,0,3,118,0,0,1,2,0,2,0,9,0,20,0,5,0,0,0,30,0,0
10,300,246,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,10,3,5,6,0,0,17,0,6,71,0,2,4,0,17,1,1,25,2,17,0,32,0,0,0,21,0,0
20,642,264,0,2,0,0,0,0,0,2,1,0,0,5,0,0,0,2,0,3,28,0,7,12,1,0,21,4,0,114,0,4,0,0,3,1,0,13,3,3,0,19,0,0,0,16,0,0
29,949,218,0,1,1,0,0,5,0,0,0,0,0,19,0,0,0,4,1,1,11,3,4,9,0,1,29,0,2,76,0,1,6,0,4,0,0,16,0,6,0,8,0,0,0,9,1,0
40,1275,282,0,0,0,0,0,3,0,0,0,0,0,20,0,1,0,2,0,0,18,0,12,22,0,0,19,0,2,144,0,0,0,0,0,1,0,12,0,6,0,5,1,0,0,14,0,0
50,1562,271,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,1,0,0,14,0,17,17,0,0,18,0,0,153,0,1,1,0,0,0,0,4,1,9,0,2,0,0,0,22,0,0
60,1850,257,0,0,3,0,1,2,0,1,0,0,0,11,0,0,0,4,0,0,23,1,13,7,0,0,26,0,1,111,0,5,3,0,0,0,0,7,3,12,0,4,0,0,0,18,0,1
70,2137,265,0,0,0,0,1,3,0,2,0,0,0,25,0,0,0,4,0,1,24,0,8,7,0,0,25,0,0,87,0,2,1,0,0,1,0,12,0,23,0,1,0,0,0,37,0,1
80,2424,329,0,1,0,0,0,4,1,1,0,0,0,22,0,0,1,5,0,3,13,2,16,15,0,1,31,0,1,113,0,5,1,0,0,2,0,11,5,30,0,2,0,0,0,42,0,1
95,3776,154,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,8,0,3,4,0,1,0,1,0,3,0,6,2,6,0,1,0,1,0,111,0,0
