"depth","best.age","min.age","max.age"
0,0,-2,3
25,298,281,317
50,596,562,645
75,894,843,968
95,1133,1068,1226
125,1491,1406,1614
150,1789,1687,1937
175,2087,1968,2260
200,2385,2249,2582
225,2683,2530,2906
250,2981,2811,3228
275,3279,3092,3551
300,3548,3352,3832
325,3701,3517,3890
350,3854,3697,4018
375,4007,3869,4152
400,4160,4028,4294
425,4312,4178,4447
450,4465,4320,4611
475,4618,4452,4781
500,5569,5376,5765
525,5883,5704,6057
537,6033,5859,6201
550,6196,6024,6359
562,6347,6178,6509
575,6510,6346,6674
587,6660,6496,6826
600,6823,6655,6990
625,7137,6952,7316
650,7450,7239,7654
675,7763,7522,8016
700,8231,7984,8493
725,9315,9134,9497
750,10399,10190,10614
765,11050,10787,11314
775,11192,10947,11431
785,11335,11073,11585
800,11549,11206,11866
810,11692,11272,12074
820,11835,11333,12293
830,11977,11391,12519
835,NA,NA,NA
840,NA,NA,NA
845,NA,NA,NA
855,NA,NA,NA
865,NA,NA,NA
880,NA,NA,NA
900,NA,NA,NA
