"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Ericaceae","Thalictrum","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Acer.rubrum","Acer.spicatum","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Larix","Acer.pensylvanicum","Acer.saccharinum","Corylus.cornuta","Elaeagnus.commutata","Rosaceae","Juniperus.communis.Thuja.occidentalis.type","Taxus","Amaranthaceae","Caryophyllaceae","Onagraceae","Myrica.gale","Shepherdia.canadensis","Viburnum","cf..Diapensia.lapponica","Fabaceae","Ranunculaceae.undiff."
0,0,0.00527704485488127,0.0158311345646438,0.00263852242744063,0.00263852242744063,0.316622691292876,0.0105540897097625,0.118733509234828,0.0211081794195251,0.00527704485488127,0.00263852242744063,0.00263852242744063,0.0158311345646438,0.0738786279683377,0.00263852242744063,0.00527704485488127,0.0369393139841689,0.00263852242744063,0.0237467018469657,0.0263852242744063,0.0079155672823219,0.00527704485488127,0.00263852242744063,0.0369393139841689,0.0131926121372032,0.050131926121372,0.0817941952506596,0.108179419525066,0.00263852242744063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,298,0,0.0138888888888889,0.00277777777777778,0,0.305555555555556,0,0.158333333333333,0.025,0.00277777777777778,0.00277777777777778,0,0.0138888888888889,0.0555555555555556,0,0.00277777777777778,0.0361111111111111,0.00277777777777778,0.00277777777777778,0.0305555555555556,0.00833333333333333,0,0,0.0194444444444444,0.00277777777777778,0.0277777777777778,0.0555555555555556,0.216666666666667,0.00833333333333333,0.00277777777777778,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,596,0,0.0196463654223969,0,0,0.261296660117878,0.00785854616895874,0.198428290766208,0.0275049115913556,0.00196463654223969,0.00196463654223969,0.00196463654223969,0.00196463654223969,0.0609037328094303,0,0,0.0196463654223969,0,0.00785854616895874,0.0176817288801572,0,0.00196463654223969,0,0.031434184675835,0,0.074656188605108,0.0510805500982318,0.198428290766208,0.00392927308447937,0,0.00196463654223969,0.00392927308447937,0.00392927308447937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,894,0,0.0261437908496732,0,0,0.352941176470588,0.00871459694989107,0.14161220043573,0.0413943355119826,0.00217864923747277,0,0,0.0108932461873638,0.0479302832244009,0,0,0.0544662309368192,0.00217864923747277,0.0065359477124183,0.0130718954248366,0.00217864923747277,0.00435729847494553,0.00217864923747277,0.0217864923747277,0.00871459694989107,0.0326797385620915,0.0413943355119826,0.172113289760349,0,0,0,0.00217864923747277,0,0.00217864923747277,0.00217864923747277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1133,0,0.018018018018018,0,0,0.240990990990991,0.0045045045045045,0.186936936936937,0.0405405405405405,0.00225225225225225,0,0.00225225225225225,0.0045045045045045,0.0653153153153153,0.00225225225225225,0.0045045045045045,0.0337837837837838,0.00225225225225225,0.0157657657657658,0.027027027027027,0.0045045045045045,0.0045045045045045,0,0.0315315315315315,0.0135135135135135,0.0518018018018018,0.036036036036036,0.193693693693694,0.00225225225225225,0,0,0.00675675675675676,0,0,0,0.00225225225225225,0.00225225225225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1491,0,0.0305206463195691,0.00179533213644524,0.00538599640933573,0.156193895870736,0.00718132854578097,0.190305206463196,0.0484739676840215,0.00179533213644524,0,0,0.00897666068222621,0.0538599640933573,0,0.00179533213644524,0.0448833034111311,0,0.00897666068222621,0.0269299820466786,0,0.00718132854578097,0,0.0233393177737881,0.00538599640933573,0.0412926391382406,0.114901256732496,0.204667863554758,0.00718132854578097,0,0,0,0,0.00359066427289048,0,0,0,0.00538599640933573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1789,0,0.03,0.002,0.002,0.228,0.006,0.2,0.024,0,0,0.002,0.006,0.058,0.004,0,0.03,0,0.008,0.032,0,0.006,0,0.032,0.006,0.076,0.046,0.184,0.002,0,0,0,0.006,0,0.002,0,0,0,0.004,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2087,0,0.0170212765957447,0,0,0.253900709219858,0.0099290780141844,0.177304964539007,0.0212765957446809,0.00283687943262411,0,0,0.0099290780141844,0.0808510638297872,0,0.00425531914893617,0.0368794326241135,0,0.00141843971631206,0.0425531914893617,0.00283687943262411,0.00567375886524823,0.00141843971631206,0.0269503546099291,0.00567375886524823,0.0368794326241135,0.076595744680851,0.168794326241135,0.00709219858156028,0,0,0,0.00141843971631206,0,0.00425531914893617,0,0,0.00141843971631206,0,0.00141843971631206,0,0.00141843971631206,0,0,0,0,0,0,0,0,0,0,0,0
200,2385,0.0048,0.0256,0.0032,0.0032,0.336,0.0048,0.1312,0.0368,0.0032,0.0016,0.0016,0.0064,0.0512,0,0,0.0736,0.0016,0.0208,0.0208,0.0048,0.0096,0.0016,0.0352,0.0032,0.0336,0.0288,0.1472,0.0032,0,0,0.0016,0,0,0,0,0.0016,0,0.0016,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2683,0,0.0212314225053079,0.00212314225053079,0.00212314225053079,0.24203821656051,0.0169851380042463,0.250530785562633,0.0509554140127389,0.00424628450106157,0.00212314225053079,0,0.00424628450106157,0.0552016985138004,0,0,0.0424628450106157,0,0.00636942675159236,0.0424628450106157,0,0.0106157112526539,0,0.0360934182590234,0.00424628450106157,0.0318471337579618,0.0254777070063694,0.146496815286624,0,0,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
