"depth","best.age","min.age","max.age"
1,-15,-34,4
20,266,243,291
40,562,526,600
60,858,799,911
80,1154,1073,1221
100,1450,1343,1530
120,1746,1615,1839
140,2042,1888,2179
160,2338,2161,2494
180,2634,2435,2810
200,2930,2709,3127
220,3226,2982,3442
240,3523,3255,3758
260,3819,3530,4075
280,4115,3803,4390
300,4411,4077,4706
320,4707,4351,5023
340,5003,4624,5338
360,5299,4897,5653
380,5628,5238,5969
400,6013,5705,6263
420,6398,6173,6615
440,6782,6570,6987
460,7167,6948,7389
480,7552,7306,7805
500,7937,7652,8229
520,8441,8179,8707
540,8984,8747,9219
560,9528,9294,9760
580,10072,9814,10330
600,10616,10309,10921
620,11159,10793,11523
640,NA,NA,NA
660,NA,NA,NA
680,NA,NA,NA
700,NA,NA,NA
720,NA,NA,NA
