"depth","best.age","min.age","max.age"
0,-28,-30,-25
10,37,25,51
20,102,79,132
30,168,132,212
40,233,185,293
50,298,239,374
60,363,292,454
70,429,344,533
80,494,397,614
90,559,451,695
100,624,504,775
110,726,608,871
120,828,707,966
130,929,805,1065
140,1031,905,1170
150,1133,1001,1276
160,1234,1094,1382
170,1336,1185,1491
180,1438,1278,1604
190,1539,1368,1716
200,1641,1458,1829
210,1743,1546,1944
220,1844,1633,2059
230,1946,1720,2175
240,2048,1808,2293
250,2149,1894,2410
260,2251,1981,2528
270,2353,2067,2646
280,2454,2153,2765
290,2556,2239,2884
300,2658,2324,3003
310,2917,2601,3236
320,3177,2865,3493
330,3437,3116,3765
340,3696,3348,4050
350,3956,3563,4348
360,4216,3764,4649
370,4476,3965,4960
380,4735,4167,5282
390,4995,4362,5605
400,5255,4553,5931
410,5457,4822,6066
420,5659,5087,6205
430,5861,5347,6350
440,6064,5606,6509
450,6266,5850,6676
460,6468,6081,6851
470,6670,6293,7032
480,6873,6482,7228
490,7075,6657,7439
500,7277,6820,7669
510,7332,6914,7694
520,7387,7004,7727
530,7443,7087,7768
540,7498,7163,7819
550,7553,7229,7877
560,7608,7281,7945
570,7663,7326,8025
580,7719,7363,8111
590,7774,7397,8207
600,7829,7420,8305
610,8348,7965,8784
620,8868,8488,9283
630,9387,8992,9818
640,9907,9469,10372
650,10426,9926,10945
660,10945,10368,11524
670,11465,10804,12114
680,11984,11229,12707
690,12503,11649,13304
700,13023,12067,13905
710,13462,12632,14312
720,13901,12942,14893
730,14340,13131,15589
740,14780,13232,16327
750,15219,13323,17114
760,NA,NA,NA
770,NA,NA,NA
780,NA,NA,NA
790,NA,NA,NA
800,NA,NA,NA
810,NA,NA,NA
820,NA,NA,NA
830,NA,NA,NA
840,NA,NA,NA
850,NA,NA,NA
860,NA,NA,NA
870,NA,NA,NA
880,NA,NA,NA
