"sample.depths","sample.ages","Acer","Alnus","Aquifoliaceae","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.undiff.","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Liriodendron","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Platanus.occidentalis","Populus","Quercus","Salix","Sambucus","Tilia","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Impatiens","Lycopus","Plantago","Poaceae","Polygonum.aviculare","Polygonum.lapathifolium","Rosaceae","Rumex","Thalictrum","Urtica"
5,27,0.0307167235494881,0,0,0.0068259385665529,0.0136518771331058,0,0,0.143344709897611,0.00341296928327645,0,0,0,0.0068259385665529,0.0068259385665529,0.0068259385665529,0.00341296928327645,0,0,0.0238907849829352,0,0.0750853242320819,0.0068259385665529,0,0.0580204778156997,0.191126279863481,0.0068259385665529,0.0136518771331058,0.0068259385665529,0.0068259385665529,0.174061433447099,0,0.00341296928327645,0.0238907849829352,0,0,0.0136518771331058,0.037542662116041,0.0068259385665529,0.00341296928327645,0.0136518771331058,0.112627986348123,0,0,0,0,0,0
10,106,0.0066006600660066,0.0033003300330033,0.0066006600660066,0.0033003300330033,0.0066006600660066,0,0,0.201320132013201,0.0033003300330033,0,0,0,0,0.0165016501650165,0.0066006600660066,0.0198019801980198,0,0.0033003300330033,0.0033003300330033,0,0.0759075907590759,0,0.0033003300330033,0.0924092409240924,0.0396039603960396,0.0165016501650165,0.0198019801980198,0.0198019801980198,0.0132013201320132,0.221122112211221,0,0.0066006600660066,0.0363036303630363,0,0.0033003300330033,0.0198019801980198,0.0495049504950495,0.0066006600660066,0,0.0033003300330033,0.0858085808580858,0,0,0,0.0033003300330033,0,0.0033003300330033
15,186,0.0222929936305732,0,0,0,0.00955414012738853,0,0,0.25796178343949,0,0,0,0,0.00636942675159236,0.00636942675159236,0.00955414012738853,0.00636942675159236,0,0,0.0414012738853503,0,0.0859872611464968,0.00318471337579618,0,0.0318471337579618,0.105095541401274,0,0.0159235668789809,0.0414012738853503,0,0.127388535031847,0,0,0.0191082802547771,0,0,0,0.143312101910828,0,0,0,0.0668789808917197,0,0,0,0,0,0
20,265,0.0251141552511416,0.00228310502283105,0,0,0.0136986301369863,0,0,0.164383561643836,0.00228310502283105,0,0,0,0,0.0045662100456621,0.0136986301369863,0.0045662100456621,0,0,0.0045662100456621,0,0.0707762557077626,0.00228310502283105,0,0.0319634703196347,0.0707762557077626,0,0.0136986301369863,0.0205479452054795,0.0091324200913242,0.205479452054795,0.00228310502283105,0.00228310502283105,0.0662100456621005,0.00228310502283105,0,0.0091324200913242,0.141552511415525,0.00228310502283105,0.00228310502283105,0,0.100456621004566,0,0.0114155251141553,0,0,0,0
25,344,0.0431034482758621,0,0,0.00574712643678161,0.0344827586206897,0.0028735632183908,0,0.209770114942529,0,0,0,0,0.028735632183908,0.014367816091954,0.028735632183908,0.0114942528735632,0,0,0.0258620689655172,0,0.117816091954023,0.0114942528735632,0,0.0431034482758621,0.169540229885057,0.014367816091954,0.0172413793103448,0.0201149425287356,0,0.0718390804597701,0.0028735632183908,0.0028735632183908,0.0201149425287356,0,0,0.00862068965517241,0.0517241379310345,0.0028735632183908,0,0,0.0402298850574713,0,0,0,0,0,0
30,423,0.0809968847352025,0,0.00311526479750779,0,0.0342679127725857,0.00311526479750779,0,0.342679127725857,0,0,0,0,0.0249221183800623,0.00934579439252336,0.0186915887850467,0,0,0.00311526479750779,0.0124610591900312,0.00311526479750779,0.137071651090343,0.00311526479750779,0,0.0498442367601246,0.143302180685358,0.00623052959501558,0.0280373831775701,0.0218068535825545,0.0124610591900312,0.0186915887850467,0,0.00311526479750779,0.0218068535825545,0,0,0.00623052959501558,0,0,0,0,0.00934579439252336,0,0,0,0,0.00311526479750779,0
40,581,0.03470715835141,0,0.017353579175705,0.00433839479392625,0.0151843817787419,0,0,0.616052060737527,0.00216919739696312,0,0,0,0.0151843817787419,0.00216919739696312,0.0151843817787419,0.0151843817787419,0,0,0.0108459869848156,0,0.0303687635574837,0.0216919739696312,0,0.052060737527115,0.0932754880694143,0,0.0238611713665944,0.0130151843817787,0.0086767895878525,0.00433839479392625,0,0,0,0,0,0,0,0,0,0,0.00433839479392625,0,0,0,0,0,0
45,661,0.0373983739837398,0,0.0292682926829268,0.0097560975609756,0.0341463414634146,0,0,0.432520325203252,0,0,0,0,0.0276422764227642,0.0227642276422764,0.0520325203252033,0.0211382113821138,0,0,0.008130081300813,0,0.0536585365853659,0.0292682926829268,0,0.0926829268292683,0.0796747967479675,0,0.0097560975609756,0.0195121951219512,0,0.0032520325203252,0,0.0016260162601626,0,0,0,0,0.016260162601626,0,0,0,0.0195121951219512,0,0,0,0,0,0
60,898,0.0688524590163934,0,0,0.0098360655737705,0.0295081967213115,0.00655737704918033,0,0.222950819672131,0,0,0.00327868852459016,0,0.0229508196721311,0.0163934426229508,0.00655737704918033,0.00327868852459016,0,0,0.0295081967213115,0,0.127868852459016,0.0163934426229508,0,0.0918032786885246,0.0459016393442623,0,0.0163934426229508,0.0295081967213115,0,0.0327868852459016,0.00327868852459016,0.00327868852459016,0.0163934426229508,0.00327868852459016,0,0.00327868852459016,0.147540983606557,0,0,0,0.0426229508196721,0,0,0,0,0,0
65,977,0.0131868131868132,0,0,0,0.00879120879120879,0.0021978021978022,0,0.696703296703297,0,0,0,0,0.0043956043956044,0,0.0373626373626374,0.0021978021978022,0,0.0021978021978022,0,0,0.0351648351648352,0.010989010989011,0,0.0615384615384615,0.0615384615384615,0,0.00659340659340659,0.00659340659340659,0,0.00659340659340659,0,0.00659340659340659,0.0043956043956044,0,0,0.0043956043956044,0.00879120879120879,0,0,0,0.0197802197802198,0,0,0,0,0,0
