"sample.depths","sample.ages","upland.sum","Acer","Alnus","Aquifoliaceae","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.undiff.","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Liriodendron","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Platanus.occidentalis","Populus","Quercus","Salix","Sambucus","Tilia","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Impatiens","Lycopus","Plantago","Poaceae","Polygonum.aviculare","Polygonum.lapathifolium","Rosaceae","Rumex","Thalictrum","Urtica"
5,27,293,9,0,0,2,4,0,0,42,1,0,0,0,2,2,2,1,0,0,7,0,22,2,0,17,56,2,4,2,2,51,0,1,7,0,0,4,11,2,1,4,33,0,0,0,0,0,0
10,106,303,2,1,2,1,2,0,0,61,1,0,0,0,0,5,2,6,0,1,1,0,23,0,1,28,12,5,6,6,4,67,0,2,11,0,1,6,15,2,0,1,26,0,0,0,1,0,1
15,186,314,7,0,0,0,3,0,0,81,0,0,0,0,2,2,3,2,0,0,13,0,27,1,0,10,33,0,5,13,0,40,0,0,6,0,0,0,45,0,0,0,21,0,0,0,0,0,0
20,265,438,11,1,0,0,6,0,0,72,1,0,0,0,0,2,6,2,0,0,2,0,31,1,0,14,31,0,6,9,4,90,1,1,29,1,0,4,62,1,1,0,44,0,5,0,0,0,0
25,344,348,15,0,0,2,12,1,0,73,0,0,0,0,10,5,10,4,0,0,9,0,41,4,0,15,59,5,6,7,0,25,1,1,7,0,0,3,18,1,0,0,14,0,0,0,0,0,0
30,423,321,26,0,1,0,11,1,0,110,0,0,0,0,8,3,6,0,0,1,4,1,44,1,0,16,46,2,9,7,4,6,0,1,7,0,0,2,0,0,0,0,3,0,0,0,0,1,0
40,581,461,16,0,8,2,7,0,0,284,1,0,0,0,7,1,7,7,0,0,5,0,14,10,0,24,43,0,11,6,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
45,661,615,23,0,18,6,21,0,0,266,0,0,0,0,17,14,32,13,0,0,5,0,33,18,0,57,49,0,6,12,0,2,0,1,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0
60,898,305,21,0,0,3,9,2,0,68,0,0,1,0,7,5,2,1,0,0,9,0,39,5,0,28,14,0,5,9,0,10,1,1,5,1,0,1,45,0,0,0,13,0,0,0,0,0,0
65,977,455,6,0,0,0,4,1,0,317,0,0,0,0,2,0,17,1,0,1,0,0,16,5,0,28,28,0,3,3,0,3,0,3,2,0,0,2,4,0,0,0,9,0,0,0,0,0,0
75,1136,947,40,0,13,2,17,1,0,464,0,0,0,0,14,27,20,8,0,2,10,0,48,9,0,82,89,8,24,13,19,4,0,4,7,0,0,2,12,0,0,0,4,0,0,0,0,4,0
85,1294,485,8,0,7,1,8,1,1,254,0,0,0,1,17,23,12,4,0,1,5,0,18,7,0,40,41,3,7,4,2,4,0,1,2,0,0,1,2,0,0,0,10,0,0,0,0,0,0
90,1373,495,13,0,10,5,9,1,0,148,0,0,0,0,19,21,18,4,1,0,6,2,32,29,0,48,96,3,1,12,1,1,0,1,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0
95,1458,476,32,0,12,3,15,0,0,174,0,0,0,0,19,13,39,10,0,1,4,0,17,13,0,48,32,0,9,15,5,3,1,1,2,0,0,0,1,0,0,0,7,0,0,0,0,0,0
105,1628,483,45,1,48,7,11,1,0,62,0,1,0,0,20,19,15,2,0,0,3,0,44,19,0,55,44,10,11,14,4,0,5,1,1,0,0,3,6,0,0,0,30,0,0,0,0,1,0
115,1798,98,5,0,0,1,3,0,0,26,0,0,0,0,2,1,5,4,0,0,2,0,10,0,0,8,18,0,2,3,0,1,0,1,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0
125,1967,488,20,0,21,4,13,3,0,175,0,0,0,0,25,17,7,9,0,0,5,0,38,18,0,45,49,0,6,6,2,5,0,2,3,0,0,2,4,0,0,0,9,0,0,0,0,0,0
135,2137,93,9,1,1,2,1,0,0,10,0,0,0,0,4,9,3,1,0,0,2,0,6,0,0,6,24,0,2,1,1,0,1,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0
145,2307,485,21,0,9,3,6,1,0,56,2,0,0,0,13,20,16,1,0,0,6,0,25,7,0,54,82,0,8,14,2,2,3,4,6,0,0,1,17,1,1,0,103,0,0,1,0,0,0
155,2477,480,15,1,6,3,2,0,0,98,0,0,1,0,8,7,17,3,0,0,4,0,21,14,0,37,127,0,5,8,16,1,3,0,8,0,0,1,15,0,0,0,59,0,0,0,0,0,0
160,2561,470,13,1,48,3,7,2,0,30,0,0,0,0,26,35,17,4,0,0,3,0,26,10,0,56,84,3,2,13,2,1,2,0,2,0,0,1,25,0,0,0,54,0,0,0,0,0,0
165,2646,446,7,1,137,1,6,0,0,9,0,0,0,0,28,18,18,4,0,0,1,0,18,7,0,52,36,0,2,15,1,1,1,0,1,0,1,1,14,0,0,0,65,1,0,0,0,0,0
175,2821,195,33,1,2,0,5,1,0,0,0,0,0,0,0,4,12,1,0,0,3,0,25,4,1,53,19,0,3,6,1,3,0,3,0,0,0,0,3,0,0,0,9,0,0,0,3,0,0
185,3001,174,32,0,0,2,5,0,0,3,0,0,0,0,2,2,7,0,0,0,2,0,32,7,1,25,24,0,5,4,2,5,0,0,2,1,0,1,9,0,0,0,1,0,0,0,0,0,0
195,3182,434,37,1,6,3,14,4,0,113,0,0,3,0,17,8,13,3,0,2,4,0,44,10,0,50,47,0,6,7,4,4,0,3,1,0,1,1,6,0,0,0,22,0,0,0,0,0,0
205,3362,430,13,0,3,1,5,2,0,84,0,0,0,0,2,7,12,4,0,1,3,0,38,10,0,27,149,1,3,9,3,14,7,0,1,0,0,1,16,0,0,0,13,0,0,0,0,1,0
215,3542,437,40,4,4,2,11,0,0,29,0,1,0,0,9,4,5,3,0,0,13,0,45,14,0,45,140,1,2,10,1,13,5,1,4,0,2,6,8,0,0,0,15,0,0,0,0,0,0
225,3722,421,33,0,3,2,12,1,0,11,0,0,0,0,10,9,11,7,0,1,5,0,24,12,0,65,138,0,4,18,1,6,1,0,9,0,0,2,12,0,0,0,24,0,0,0,0,0,0
235,3902,400,61,1,1,3,19,2,0,37,1,0,0,0,10,6,6,6,0,1,2,0,78,15,0,21,31,6,17,22,7,8,2,0,11,0,0,1,5,1,1,0,18,0,0,0,0,0,0
245,4083,546,12,0,6,3,4,1,0,265,0,0,8,0,6,3,10,2,0,2,4,0,32,2,0,56,45,13,8,7,19,2,0,3,5,0,1,1,8,0,0,0,17,0,0,0,0,1,0
