"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fraxinus","Juglans","Larix","Moraceae","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Chenopodiaceae","Cyperaceae","Rosaceae","Rumex","Lycopodium","Sphagnum","Nymphaeaceae","Typha"
0,-35,7,15,18,117,0,0,18,0,4,0,0,0,0,1,10,94,0,0,9,0,0,0,7,5,33,5,5,6,8,1,0,1,3,0
10,38,5,8,13,122,0,0,8,0,3,1,3,0,2,6,33,158,2,1,17,0,0,0,17,8,4,4,1,10,0,0,2,2,15,1
25,155,5,9,7,123,1,0,14,0,1,0,2,0,0,4,14,168,1,2,16,2,0,0,16,2,1,2,0,6,0,0,0,1,8,0
50,656,8,9,3,104,0,0,8,0,1,0,2,0,1,2,19,175,0,0,11,0,0,0,17,1,3,1,1,8,1,0,1,2,3,0
75,1157,2,8,9,143,1,0,6,0,1,0,0,0,0,4,16,171,0,0,16,0,0,0,17,3,1,3,1,3,0,0,1,1,1,0
100,1659,3,14,10,145,0,0,5,0,0,1,4,0,0,2,13,175,0,1,14,1,0,0,13,6,1,9,1,4,0,0,0,2,1,1
125,2160,5,7,9,120,0,0,4,0,3,0,1,0,1,3,18,145,0,0,22,0,0,0,12,5,6,0,1,3,0,0,1,1,1,1
150,2670,7,10,11,156,0,1,1,1,3,0,2,0,2,9,25,171,1,1,21,0,0,0,25,9,4,4,1,13,0,0,1,2,2,0
175,3209,4,6,15,103,0,2,2,0,5,0,2,0,2,3,19,161,1,0,14,1,0,0,11,3,2,2,3,5,0,0,0,2,0,0
200,3748,6,4,11,143,0,1,8,0,1,0,3,0,0,8,9,131,0,3,12,0,0,1,13,4,1,2,1,5,0,0,0,0,1,0
225,4287,2,16,12,151,1,0,7,0,1,1,0,0,1,1,5,162,0,1,15,0,0,0,16,5,3,3,1,6,0,0,0,1,1,1
250,4825,1,11,16,169,1,0,9,0,4,0,2,0,1,4,7,158,1,0,17,0,0,0,11,1,4,2,1,6,2,0,1,1,2,0
275,5364,4,16,17,125,1,0,7,1,3,0,1,0,0,6,10,183,0,2,25,0,1,0,14,3,2,1,1,1,0,0,1,1,4,0
300,5952,3,8,13,125,0,0,9,0,2,0,0,0,1,0,14,181,2,1,19,0,0,0,19,2,1,3,0,9,0,0,0,1,0,0
325,NA,5,6,14,147,0,3,8,0,3,0,1,0,0,6,3,159,0,2,21,1,2,1,8,3,0,3,1,5,0,0,0,5,1,0
350,NA,5,6,12,138,0,0,4,0,5,0,1,0,1,4,3,195,1,3,15,0,0,3,12,6,0,5,3,5,0,0,0,0,0,0
375,NA,4,11,18,79,1,0,11,0,2,0,1,0,1,11,0,168,0,2,14,2,0,1,4,5,1,3,2,6,0,0,2,0,0,0
400,NA,1,12,12,91,1,0,8,0,6,0,3,0,1,8,3,273,0,1,35,1,0,0,7,7,3,2,2,4,0,0,0,2,0,0
425,NA,4,14,14,70,1,0,21,0,1,0,0,0,1,10,2,199,2,7,50,0,0,0,8,11,2,3,1,5,0,0,1,1,0,0
450,NA,3,23,14,55,0,0,14,0,4,0,0,0,0,4,1,249,0,2,26,0,0,1,3,9,8,3,1,6,0,0,0,0,1,0
475,NA,1,22,13,72,0,0,13,0,10,0,1,0,0,16,5,275,0,8,28,0,0,1,4,4,1,8,4,5,0,0,0,0,0,0
500,NA,1,13,16,42,1,1,8,0,3,0,2,0,3,8,7,204,0,1,28,0,0,1,43,10,1,7,5,4,0,0,1,1,0,0
525,NA,1,7,18,47,0,0,4,0,8,1,0,1,0,12,1,287,1,2,30,2,0,1,17,2,2,1,0,1,1,0,2,0,1,0
550,NA,3,8,8,56,0,0,3,0,5,0,1,0,1,19,3,278,0,0,28,0,0,1,10,10,0,3,1,2,1,0,0,0,1,0
575,NA,0,9,13,38,0,0,6,0,5,0,0,0,0,23,0,282,0,3,35,0,1,0,1,17,1,5,4,2,0,0,1,0,1,0
600,NA,2,6,26,50,1,0,4,1,1,0,0,0,2,19,0,222,1,5,24,1,0,0,0,10,3,3,2,8,0,0,0,0,1,0
625,NA,2,8,12,40,1,1,4,0,7,0,0,0,0,5,3,287,0,2,27,0,0,1,0,9,1,0,4,2,0,0,1,0,0,0
650,NA,2,4,4,30,2,1,0,0,6,1,0,0,0,14,0,392,0,1,13,1,1,0,0,13,4,2,4,2,0,0,1,0,1,0
