"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Acer.spicatum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Ilex","Juglans.cinerea","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Tilia","Trees.undiff.","Tsuga","Ulmus","Alnus","Fraxinus","Pinus","Populus","Amaranthaceae","Poaceae","Herbs.undiff.","Thalictrum","Plantago","Larix","Taxus","Abies","Ericaceae","Liquidambar","Acer.saccharinum.type","Rosaceae","Myrica"
15,40,474,5,5,1,41,1,90,8,17,3,11,3,6,29,2,3,1,16,1,66,17,2,2,2,32,6,24,6,27,2,3,42,0,0,0,0,0,0,0,0,0,0,0
30,98,382,4,6,0,19,2,60,0,26,13,6,5,9,13,4,0,13,4,0,73,21,1,0,1,22,3,17,6,13,4,1,32,1,2,1,0,0,0,0,0,0,0,0
55,263,607,13,10,0,0,1,174,3,49,12,19,9,6,34,0,1,12,22,0,106,12,3,1,1,53,3,18,12,10,2,0,15,1,0,0,4,1,0,0,0,0,0,0
77,475,486,4,5,0,0,1,104,4,33,2,20,10,12,41,0,5,18,13,4,115,0,2,2,0,49,3,14,7,9,1,0,2,0,0,0,6,0,0,0,0,0,0,0
97,689,412,7,7,0,0,0,87,4,24,1,18,6,20,48,0,1,10,8,2,74,0,2,1,1,46,4,6,11,14,4,0,6,0,0,0,0,0,0,0,0,0,0,0
111,833,600,6,6,0,0,1,137,7,27,1,22,19,9,91,0,0,13,13,3,116,0,1,2,0,47,12,29,7,17,3,1,8,0,0,0,2,0,0,0,0,0,0,0
125,961,790,18,17,0,0,0,157,17,33,3,11,11,0,81,0,0,56,11,0,215,0,1,0,0,50,4,10,13,69,0,0,2,3,2,0,1,1,4,0,0,0,0,0
145,1111,411,4,5,0,0,1,74,7,7,2,13,9,12,91,0,1,17,14,2,51,0,2,0,3,58,7,4,13,10,1,0,3,0,0,0,0,0,0,0,0,0,0,0
165,1440,567,13,13,0,0,0,106,16,21,1,15,0,0,49,0,4,43,1,0,135,0,2,4,0,40,6,15,23,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1942,630,17,16,0,0,0,139,11,8,1,8,0,0,102,0,4,49,0,0,134,0,0,0,0,35,8,10,32,50,3,0,0,0,0,0,1,0,0,1,1,0,0,0
211,2619,580,14,18,0,0,2,121,9,5,2,32,18,37,68,0,4,12,1,2,130,0,5,4,1,23,10,4,16,29,4,0,7,0,2,0,0,0,0,0,0,0,0,0
235,3023,451,9,9,0,0,0,81,12,7,1,13,12,10,56,0,6,17,3,0,112,0,0,1,0,17,11,7,20,39,0,0,6,1,0,0,0,0,0,1,0,0,0,0
251,3130,597,11,14,0,0,0,116,15,4,2,19,6,2,83,0,6,23,1,2,174,0,0,2,0,17,9,8,13,64,1,0,3,0,0,0,0,0,0,2,0,0,0,0
271,3168,557,12,7,0,0,4,110,12,4,1,10,0,0,83,0,8,24,1,1,160,0,8,1,0,16,7,5,17,62,2,0,2,0,0,0,0,0,0,0,0,0,0,0
320,3467,565,14,14,0,0,0,118,16,4,1,8,0,2,57,0,6,16,0,1,179,0,0,1,0,26,12,6,13,68,0,0,3,0,0,0,0,0,0,0,0,0,0,0
338,3902,505,18,17,0,0,0,95,19,2,4,21,0,0,84,0,7,23,0,10,111,0,3,0,0,22,14,3,10,38,1,0,2,0,0,0,0,1,0,0,0,0,0,0
354,4384,632,19,5,0,0,0,150,18,0,1,4,0,4,85,0,9,28,0,0,188,0,0,2,2,22,13,2,34,37,7,1,0,0,0,0,0,0,0,0,0,1,0,0
366,4722,640,27,7,0,0,0,138,15,1,1,5,0,6,99,0,11,21,0,0,188,0,0,0,3,26,11,2,32,40,3,0,1,0,0,0,0,0,0,0,0,3,0,0
380,5008,589,18,0,0,0,0,141,21,0,1,25,2,7,78,0,10,28,1,0,155,0,0,4,0,31,10,2,23,27,1,0,1,1,0,0,0,0,0,0,0,0,2,0
405,5163,572,17,1,0,0,0,127,12,1,3,7,1,1,67,0,9,12,1,4,146,0,0,5,0,92,17,2,18,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0
422,5214,500,22,0,0,1,0,92,20,1,0,3,0,2,63,0,10,14,0,16,119,0,0,1,0,83,10,0,15,25,0,0,2,0,1,0,0,0,0,0,0,0,0,0
440,5296,483,25,1,0,0,0,79,10,1,0,0,0,2,79,0,9,27,0,0,113,0,0,4,0,73,11,5,19,19,2,0,3,0,0,0,0,0,0,0,0,1,0,0
454,5396,470,13,1,0,0,0,64,13,0,2,3,1,1,68,0,7,45,0,0,115,0,0,3,0,79,11,2,16,20,2,1,2,0,0,0,0,0,0,0,0,1,0,0
470,5567,474,18,0,0,0,1,71,25,0,0,29,9,7,47,0,12,20,0,0,120,0,0,1,0,61,16,3,13,15,2,0,3,1,0,0,0,0,0,0,0,0,0,0
482,5747,549,19,1,0,0,2,88,5,1,4,2,1,6,58,0,12,29,0,0,160,0,0,2,0,75,12,3,36,24,5,0,1,0,0,0,0,0,0,0,2,1,0,0
