"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Caprifoliaceae.undiff.","Castanea","Cornus","Corylus","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Lamiaceae","Poaceae","Ranunculaceae.undiff.","Rosaceae","Thalictrum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Sparganium.type","Typha.latifolia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff."
4,96,8,27,5,144,0,0,0,0,13,10,0,0,1,1,2,59,0,16,0,30,14,0,0,3,0,0,0,7,1,1,1,0,0,1,0,0,0,0,0,1,2,16,0,11,0,0,5,6,11,2,8,1
7,200,12,34,5,187,0,0,0,0,19,25,3,0,0,0,6,68,0,18,0,18,0,0,3,73,0,0,0,10,1,0,5,0,1,2,0,5,0,2,0,2,3,10,0,7,0,0,6,18,15,1,11,1
10,305,12,9,4,152,0,0,0,0,14,13,0,1,2,0,0,57,2,16,3,22,7,0,1,9,1,1,0,4,0,1,5,0,0,0,0,1,0,0,0,1,0,8,0,13,0,0,8,9,5,0,2,3
12,375,10,19,8,364,0,0,0,3,35,31,1,2,0,1,8,128,2,27,4,54,28,0,0,3,0,4,0,7,2,0,10,1,1,6,0,12,0,0,0,2,3,16,0,18,0,0,15,13,12,9,24,5
14,444,20,4,9,161,0,0,0,0,14,12,0,1,0,0,0,54,0,17,0,28,12,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,8,2,7,0,1,2,3,1,0,3,0
15.5,497,6,13,7,223,0,1,0,3,20,2,9,1,2,1,0,92,0,30,0,39,8,0,1,6,0,0,0,15,0,0,0,0,0,3,0,2,0,3,0,1,3,22,1,17,0,0,5,4,14,12,3,0
19,619,10,5,8,436,0,0,0,14,60,18,0,0,1,3,14,124,2,52,8,118,70,0,17,13,0,4,0,45,1,0,0,0,1,4,0,1,0,1,0,1,3,43,0,56,0,0,7,36,25,3,37,7
23,758,8,5,6,324,0,0,0,8,20,15,0,2,0,0,0,70,2,32,4,52,22,0,0,17,0,0,0,41,2,0,1,0,1,0,0,1,0,1,0,1,8,44,0,31,0,0,11,17,11,17,6,1
24.5,815,7,1,4,242,0,0,0,1,14,8,0,0,0,0,0,50,0,55,0,62,7,0,0,12,0,0,0,30,0,0,0,0,1,0,0,0,0,2,1,8,1,17,1,13,0,0,1,12,3,1,26,2
25.5,852,8,9,6,610,0,0,0,3,75,36,0,1,1,2,4,74,5,125,8,196,74,0,11,11,0,2,2,52,2,0,0,2,0,0,0,10,0,1,0,9,9,122,0,61,0,0,18,34,34,4,88,6
27,908,15,7,6,232,0,0,0,1,29,7,0,0,2,0,1,34,4,56,5,70,16,0,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,3,2,7,0,5,0,0,4,18,11,1,9,0
28,946,2,8,10,337,0,2,1,4,46,33,0,1,2,1,11,30,0,60,20,80,20,0,4,9,0,1,0,38,0,0,0,0,0,2,0,2,0,3,0,3,8,0,0,39,0,0,13,13,21,28,34,1
29.5,1002,5,6,2,265,0,0,0,0,28,7,0,0,0,0,0,36,4,37,6,50,14,0,0,7,0,0,0,22,1,0,0,0,0,0,0,0,0,3,0,3,0,15,0,13,0,0,3,9,8,0,8,1
32,1096,11,14,2,409,0,0,0,4,67,32,1,0,0,0,14,27,8,133,12,206,76,0,0,21,0,0,0,63,4,0,0,0,1,0,0,2,0,1,0,1,1,36,0,3,0,0,3,62,20,6,66,3
34,1553,14,3,3,206,0,0,0,1,27,5,0,0,0,0,0,10,12,76,16,97,25,0,0,14,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,2,21,0,5,0,0,5,15,5,0,16,1
35.5,1895,10,3,8,209,0,0,0,2,12,2,0,0,0,0,0,4,10,48,17,82,40,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,3,0,0,6,21,6,0,11,0
37,2238,8,2,3,330,3,0,0,2,18,48,0,0,5,0,10,13,7,170,9,208,40,0,4,6,0,2,0,29,3,0,0,0,0,0,1,0,0,0,0,7,9,88,0,16,0,0,9,12,19,33,63,3
38,2466,8,2,4,219,0,0,0,1,23,3,0,0,0,0,0,9,5,53,8,78,28,0,0,4,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,2,3,28,0,14,0,0,5,19,11,3,5,0
39,2695,8,3,0,725,0,0,0,0,15,14,0,1,0,0,0,28,3,94,4,130,36,0,2,4,0,0,0,29,2,1,0,0,0,0,0,0,0,0,0,0,8,27,0,9,0,0,1,11,8,11,28,0
40.5,3037,10,10,4,250,0,0,0,0,36,13,0,0,1,0,1,10,15,118,18,140,26,1,1,9,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,1,0,29,0,7,0,0,4,12,11,2,7,0
43,3608,3,10,6,440,0,0,0,8,33,67,0,0,0,0,39,28,18,90,43,212,146,0,11,17,0,6,1,21,2,0,0,0,0,0,0,3,0,0,0,3,6,56,0,9,0,0,3,49,25,3,39,1
