"depth","best.age","min.age","max.age"
10,215,163,269
14,320,245,395
16,372,286,457
18,424,328,521
21,503,390,615
23,555,431,678
24,581,452,710
25,607,473,741
27,659,514,804
29,712,556,868
30,738,577,899
32,2231,2113,2350
34,3251,3101,3409
35,3367,3225,3518
37,3599,3450,3749
40,3948,3754,4141
42,4180,3943,4420
45,4529,4214,4846
47,4760,4486,5036
50,5107,4891,5323
53,5454,5288,5613
55,5685,5552,5815
57,5916,5808,6026
59,6147,6058,6251
60,6263,6174,6368
62,6396,6310,6496
65,6574,6492,6668
70,6871,6790,6962
75,7167,7081,7259
80,7464,7372,7568
85,7761,7659,7881
90,8044,7929,8182
95,8063,7970,8164
100,8082,7982,8173
102,8090,7976,8184
105,8240,8119,8342
110,8655,8515,8795
115,9070,8880,9259
120,9484,9231,9735
125,9899,9573,10216
130,10314,9915,10702
135,10728,10257,11191
140,10910,10684,11132
145,10978,10778,11186
150,11047,10860,11243
155,11116,10936,11306
160,11184,11005,11371
165,11253,11072,11441
170,11321,11137,11522
173,11363,11176,11578
179,11445,11237,11693
