"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Cabomba","Carya","Celtis","Cephalanthus","Cerealia","Clethra","Cornus","Corylus","Cupressaceae","Cyperaceae","Fabaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Liquidambar","Liriodendron","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum","Polypodium.type","Pontederiaceae","Populus","Potamogetonaceae","Pteridophyta.undiff.","Quercus","Rhus","Rosaceae.undiff.","Rubus","Sagittaria","Salix","Sambucus","Saxifragaceae","Sphagnum","Thalictrum","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis","Xanthium"
1,36,0,1,1,0,9,2,16,0,0,0,0,0,0,5,2,0,0,0,0,0,4,8,0,0,0,0,4,0,0,0,8,0,0,0,0,20,0,2,3,0,0,14,0,17,1,2,0,2,0,0,0,0,33,0,0,0,0,1,0,2,1,0,0,6,2,0,3,0
5,137,0,1,0,0,2,0,9,0,3,0,0,0,0,5,0,1,0,0,0,0,3,5,0,0,0,1,5,0,0,0,8,0,0,0,0,25,0,1,0,0,0,26,0,14,1,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
10,262,0,0,0,0,9,1,2,0,7,1,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0,8,0,0,0,0,27,0,3,1,0,0,16,0,18,0,3,1,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
15,388,0,0,0,0,1,1,1,1,9,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,5,6,0,0,0,8,0,0,0,0,37,0,3,0,0,0,27,0,21,0,1,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
20,656,0,0,0,0,1,2,2,1,12,1,0,0,0,4,0,0,0,0,0,0,1,17,0,0,1,2,0,0,0,0,6,0,0,0,0,52,0,4,0,0,0,22,0,18,0,1,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,1478,0,0,0,0,3,2,4,0,3,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,11,0,0,0,0,73,0,4,1,0,0,1,0,20,0,1,1,0,0,0,0,0,79,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40,2300,0,0,0,0,0,0,3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,81,0,5,0,0,0,0,0,14,0,0,0,1,0,0,0,1,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,2383,0,3,2,0,0,1,4,0,12,5,0,0,0,38,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,6,0,7,3,0,0,0,0,0,112,0,0,0,0,6,0,3,0,1,0,1,1,0,2,0
102,2687,0,4,0,0,0,1,2,0,2,1,0,0,0,17,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,1,0,27,0,0,0,1,0,0,0,4,0,2,0,1,0,0,0,0,77,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0
105,2704,0,0,3,0,0,0,7,0,7,2,0,0,0,33,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,2,0,24,0,1,2,0,0,1,0,9,0,2,1,1,0,0,0,0,85,0,0,1,1,0,0,1,0,0,0,5,1,0,1,0
112,2744,0,3,3,0,1,0,5,0,6,3,0,0,0,26,0,5,0,1,0,0,0,0,0,0,1,0,6,0,0,0,3,0,0,1,0,13,0,0,2,0,0,0,0,3,0,6,1,0,0,0,0,0,89,0,0,0,3,2,0,0,0,0,0,3,2,0,0,0
117,2772,0,4,1,1,0,0,10,0,6,2,0,0,0,28,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,13,0,0,1,0,8,0,0,2,0,0,0,0,9,1,8,3,0,0,0,0,2,148,0,0,0,4,16,0,6,0,0,0,12,4,0,0,0
123,2891,1,2,3,0,3,0,6,0,4,3,0,0,0,14,0,2,0,0,0,2,0,0,0,1,1,0,0,2,0,0,5,1,0,1,0,2,0,0,2,0,0,3,0,2,0,5,1,0,0,0,0,0,110,0,0,0,4,12,0,2,0,0,1,3,4,0,2,0
127,3593,0,1,3,0,1,0,0,1,2,0,0,0,0,20,1,1,0,3,0,0,0,0,0,1,2,0,7,0,0,0,7,0,0,0,0,6,0,0,0,0,0,3,0,1,2,2,0,0,0,0,0,0,109,1,0,0,10,3,0,0,0,0,0,7,4,0,3,0
132,4470,0,3,1,1,3,0,4,0,3,4,1,0,0,23,1,8,0,1,0,1,0,0,0,3,0,0,9,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,87,0,0,0,1,3,0,0,0,0,0,6,8,0,1,0
142,6225,0,2,2,0,28,0,2,0,1,1,0,0,0,8,3,3,0,0,0,0,0,0,0,3,0,0,3,0,0,3,2,0,0,0,0,0,0,0,4,1,0,0,0,4,1,2,0,0,0,0,0,0,93,0,0,0,5,4,0,0,0,0,0,3,4,0,2,0
147,7102,0,3,3,1,8,0,3,0,1,2,0,0,0,17,1,7,0,0,0,0,0,0,0,6,0,0,1,0,0,0,4,0,1,1,0,3,0,0,2,0,0,0,0,1,1,3,0,0,0,0,0,0,107,0,0,0,5,4,0,0,0,0,0,3,4,0,4,0
152,7980,0,1,0,0,2,0,2,0,2,2,0,0,2,9,0,6,0,0,0,0,1,2,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,78,1,0,0,0,19,0,0,0,0,0,5,11,0,2,0
157,8857,0,0,1,1,0,0,3,0,1,0,0,1,1,11,1,3,0,0,0,0,0,0,4,4,0,1,0,0,0,0,1,0,1,1,0,0,0,1,3,0,0,0,1,1,0,3,2,0,0,0,0,0,111,0,0,0,0,4,0,0,0,0,0,9,0,0,2,0
166,9925,0,1,0,0,1,0,0,0,0,2,0,0,0,13,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,94,0,0,0,0,3,1,0,0,0,0,7,0,0,5,0
172,10100,0,0,0,1,0,0,5,0,1,1,0,0,1,19,0,0,0,0,0,1,0,2,0,6,2,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,102,0,0,0,0,3,0,0,0,0,0,8,0,1,0,0
177,10246,0,0,1,1,1,0,3,0,0,4,0,2,3,20,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,10,2,0,1,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,90,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0
182,10393,0,0,0,1,0,0,2,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,5,0,0,0,2,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0
202,10977,0,1,1,1,3,0,3,0,1,0,0,1,0,9,2,1,0,0,1,0,0,1,0,7,1,0,1,0,2,2,2,0,0,3,0,6,1,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,82,0,1,0,2,1,0,0,0,0,0,8,3,0,2,0
220,NA,0,1,0,2,0,0,5,0,0,1,0,0,0,20,13,0,0,0,1,0,0,1,0,9,3,0,0,0,1,0,1,0,0,2,1,1,0,0,4,1,1,4,1,1,3,0,0,0,0,1,0,3,106,1,0,0,1,0,0,0,0,0,0,23,2,0,1,0
230,NA,0,0,2,1,1,0,4,0,0,2,0,0,0,9,3,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,1,1,3,0,0,0,0,2,0,85,0,0,0,0,1,1,0,0,0,0,11,3,0,0,0
240,NA,0,0,0,1,3,0,1,1,0,1,0,0,0,9,1,0,0,0,0,0,3,0,0,5,4,0,2,1,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,84,0,0,0,0,2,0,0,0,0,0,6,1,0,1,0
244,NA,0,0,2,1,0,0,6,0,1,11,0,0,0,35,4,3,0,0,1,1,2,2,0,3,4,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,2,1,0,0,1,0,1,152,2,0,0,1,1,0,0,0,0,0,8,4,0,0,0
249,NA,0,0,1,0,1,0,11,1,0,9,0,0,0,15,5,0,0,0,0,0,5,2,0,5,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0,0,0,0,1,0,85,0,0,0,0,3,2,0,0,0,0,8,0,0,2,0
