"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Celtis","Cyperaceae","Dryopteris.type","Elaeagnus","Ericales","Fraxinus.nigra","Indeterminable","Larix","Lycopodium.type","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Quercus","Ranunculus","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Thalictrum","Tsuga","Ulmus","Unknown"
1,NA,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,87,5,0,0,0,0,0,0,0,1,0,0,0,61
7,NA,0,0,0,0,0,1,3,2,1,0,0,0,4,0,0,5,0,2,0,0,1,69,11,0,0,2,0,0,0,1,0,0,0,0,95
12,NA,0,0,0,0,0,0,5,0,0,0,0,0,5,1,1,3,0,0,0,0,1,71,9,1,0,3,1,0,0,0,0,0,0,0,149
15,NA,3,0,0,0,0,1,0,0,1,1,0,0,15,0,0,1,0,1,0,0,2,63,4,2,0,5,2,0,0,0,0,0,0,0,32
20,15798,0,0,0,0,0,0,2,0,0,0,1,0,25,1,0,0,0,0,0,0,1,53,7,3,0,8,0,0,0,0,0,0,0,0,60
25,15831,0,0,1,0,0,2,1,0,0,1,1,0,9,1,0,1,0,1,0,0,0,60,3,5,0,14,1,0,1,0,0,0,0,1,70
75,16161,0,0,1,0,0,1,0,0,1,1,0,0,13,1,0,0,0,1,0,0,2,67,8,0,0,4,2,0,0,0,0,0,0,0,93
79,16188,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,1,76,7,1,0,6,0,0,0,0,0,0,0,0,87
82,16207,1,0,1,0,0,2,4,1,1,0,0,1,22,0,1,0,0,1,0,0,0,41,10,3,0,8,2,0,0,0,0,1,1,0,221
87,16240,0,0,1,0,0,1,4,0,0,0,1,0,7,2,0,1,0,1,0,0,0,71,3,2,0,3,5,0,0,0,0,0,0,1,30
92,16273,0,0,0,0,1,2,2,0,0,1,0,0,8,0,1,1,1,4,0,0,0,62,3,8,0,4,6,0,0,0,0,0,0,0,46
97,NA,0,0,2,0,1,5,2,0,2,0,0,0,14,0,0,1,0,2,0,1,3,55,6,3,0,3,3,0,0,0,0,0,0,0,71
102,NA,0,1,0,0,2,1,1,0,0,2,0,0,22,1,0,0,3,1,0,0,1,44,6,3,1,11,0,1,0,1,0,0,0,0,43
107,NA,0,0,0,0,0,1,1,0,2,0,1,0,11,0,0,2,0,2,0,0,0,74,4,1,0,3,0,0,0,0,0,0,0,0,51
110,NA,0,0,0,1,0,0,0,0,1,2,1,0,11,0,1,1,0,0,0,0,1,70,3,3,0,4,1,0,0,0,0,0,0,0,36
