"sample.depths","sample.ages","Abies.balsamea","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Caryophyllaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryopteris.type","Epilobium","Ericaceae","Gymnocarpium","Huperzia.lucidula","Huperzia.selago","Isoëtes","Larix.laricina","Lycopodium.annotinum","Lycopodium.clavatum","Myrica.gale","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Quercus","Rumex","Salix","Sanguisorba.canadensis","Sarcobatus.vermiculatus","Selaginella.selaginoides","Sphagnum","Tsuga"
1380,45,0,80,2,3,1,3,74,0,0,19,0,0,0,0,0,0,0,0,2,11,0,0,139,12,0,0,0,0,0,1,0,0,0,0,0
1385,201,1,97,0,4,2,2,77,0,1,37,0,1,0,1,0,0,0,0,1,8,0,0,117,13,3,0,0,0,0,2,1,0,0,8,0
1395,513,0,51,0,1,0,0,68,0,0,12,0,0,0,6,0,0,0,1,3,6,0,0,173,11,3,0,0,0,0,0,0,0,0,0,0
1405,824,2,57,0,3,3,0,80,0,0,18,0,1,0,5,0,0,0,1,0,13,0,0,110,10,4,1,0,0,0,1,0,0,0,4,0
1415,1135,4,40,0,1,0,0,69,0,0,9,0,0,1,1,0,0,0,0,0,3,0,0,186,12,3,0,1,0,0,0,1,0,0,2,0
1425,1451,0,72,0,1,0,1,90,0,0,12,0,1,0,2,0,1,0,2,0,3,2,0,213,12,5,0,0,0,0,1,0,0,0,1,0
1435,1777,3,51,0,0,1,0,36,0,0,7,0,1,0,0,0,0,0,1,1,2,1,0,195,9,1,0,0,0,0,1,0,0,0,0,0
1445,2103,3,43,1,1,0,1,68,0,0,4,1,1,0,0,1,0,0,1,0,3,0,1,221,5,3,0,0,0,0,0,0,0,0,0,0
1455,2429,1,44,0,0,1,0,35,0,0,7,0,0,0,0,1,0,0,1,2,6,1,0,199,2,1,0,0,1,0,0,0,0,0,1,0
1465,2755,0,75,0,0,2,1,56,0,0,11,0,0,0,1,1,0,0,4,1,7,2,0,181,5,2,0,0,0,0,2,0,1,0,1,0
1475,3038,3,59,0,1,1,0,39,0,0,8,0,2,0,1,0,0,0,0,0,4,1,0,212,4,1,0,0,0,0,1,0,0,1,0,0
1505,3504,4,47,0,0,0,0,40,0,0,5,0,1,0,1,0,0,0,0,0,1,1,0,208,7,3,0,0,1,1,0,0,0,0,1,0
1515,3659,5,41,0,1,2,1,40,0,0,2,0,1,0,0,0,0,0,1,0,3,3,0,241,3,0,0,0,1,0,1,0,0,0,0,0
1525,3861,4,57,0,0,0,0,33,0,0,0,1,2,0,0,0,0,0,4,0,0,1,0,228,6,3,0,0,0,0,0,0,0,0,1,0
1535,4200,10,52,0,0,0,0,72,0,0,0,0,1,0,0,0,0,0,2,2,1,1,0,164,4,0,0,0,0,0,1,0,0,0,1,0
1545,4539,5,60,0,1,0,0,48,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,195,3,4,0,0,1,0,1,0,0,0,0,0
1555,4878,6,36,0,0,0,0,48,1,0,2,0,2,0,2,1,0,0,0,0,1,0,0,280,2,0,0,0,0,0,0,0,0,0,0,0
1565,5218,12,106,0,0,0,0,85,0,0,7,1,1,0,1,0,0,0,0,3,2,0,0,215,6,0,0,0,0,0,1,0,0,0,0,0
1575,5549,1,106,0,1,0,0,107,0,0,5,2,2,0,0,0,0,0,0,5,5,0,1,145,3,3,0,0,0,0,1,0,0,0,0,0
1585,5859,4,112,0,2,0,0,115,0,0,0,1,6,0,4,1,0,1,0,7,11,0,0,152,3,1,1,0,0,0,1,0,0,0,0,0
1595,6168,3,180,0,0,1,0,118,0,0,7,0,4,0,1,0,0,0,0,0,12,1,0,61,8,2,0,0,0,0,1,0,0,0,1,0
1605,6477,2,122,1,0,0,0,85,0,0,5,0,2,0,1,1,0,0,0,1,26,2,2,57,4,1,0,1,0,0,2,0,0,0,2,0
1615,6787,0,228,0,0,0,1,63,0,0,2,0,3,0,0,1,0,0,0,0,10,0,0,13,3,0,0,0,0,0,2,0,0,0,0,0
1620,6941,1,197,0,0,0,0,81,0,0,16,0,2,0,1,1,0,0,0,0,14,1,0,13,2,2,1,0,0,0,3,0,0,0,0,0
1630,7251,2,117,1,0,1,0,131,0,0,44,0,0,0,11,0,0,1,0,0,16,0,0,41,27,2,0,0,2,0,7,0,0,0,6,0
1635,7405,3,115,3,0,0,0,146,0,0,21,0,0,0,2,1,0,0,0,0,13,0,0,17,6,5,0,0,1,0,6,0,0,0,3,1
1645,NA,0,102,1,2,0,0,154,1,0,27,0,0,0,2,0,0,0,0,0,12,0,0,67,12,2,0,0,0,0,9,0,0,1,4,0
