"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Picea","Salix","Asteraceae.subf..Asteroideae.undiff.","Pinus","Larix.laricina","Caryophyllaceae","Ericaceae","Poaceae","Abies.balsamea","Sanguisorba.canadensis","Populus","Epilobium","Myrica.gale","Quercus","Sarcobatus.vermiculatus","Rumex","Brassicaceae","Tsuga"
1380,45,336,80,3,1,74,2,19,139,1,3,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,201,359,97,4,2,77,0,37,117,2,2,13,1,1,1,3,1,1,0,0,0,0,0,0,0,0
1395,513,328,51,1,0,68,0,12,173,0,0,11,3,0,6,3,0,0,0,0,0,0,0,0,0,0
1405,824,294,57,3,3,80,0,18,110,1,0,10,0,0,5,4,2,0,1,0,0,0,0,0,0,0
1415,1135,327,40,1,0,69,0,9,186,0,0,12,0,0,1,3,4,1,0,1,0,0,0,0,0,0
1425,1451,409,72,1,0,90,0,12,213,1,1,12,0,0,2,5,0,0,0,0,0,0,0,0,0,0
1435,1777,305,51,0,1,36,0,7,195,1,0,9,1,0,0,1,3,0,0,0,0,0,0,0,0,0
1445,2103,351,43,1,0,68,1,4,221,0,1,5,0,0,0,3,3,0,0,0,1,0,0,0,0,0
1455,2429,293,44,0,1,35,0,7,199,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0
1465,2755,338,75,0,2,56,0,11,181,2,1,5,1,0,1,2,0,0,0,0,0,0,1,0,0,0
1475,3038,330,59,1,1,39,0,8,212,1,0,4,0,0,1,1,3,0,0,0,0,0,0,0,0,0
1505,3504,317,47,0,0,40,0,5,208,0,0,7,0,0,1,3,4,0,0,0,0,1,0,1,0,0
1515,3659,338,41,1,2,40,0,2,241,1,1,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0
1525,3861,331,57,0,0,33,0,0,228,0,0,6,0,0,0,3,4,0,0,0,0,0,0,0,0,0
1535,4200,305,52,0,0,72,0,0,164,1,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0
1545,4539,320,60,1,0,48,0,2,195,1,0,3,0,0,0,4,5,0,0,0,0,1,0,0,0,0
1555,4878,377,36,0,0,48,0,2,280,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0,1,0
1565,5218,436,106,0,0,85,0,7,215,1,0,6,3,0,1,0,12,0,0,0,0,0,0,0,0,0
1575,5549,378,106,1,0,107,0,5,145,1,0,3,5,0,0,3,1,0,0,0,1,0,0,0,0,0
1585,5859,402,112,2,0,115,0,0,152,1,0,3,7,0,4,1,4,0,1,0,0,0,0,0,0,0
1595,6168,382,180,0,1,118,0,7,61,1,0,8,0,0,1,2,3,0,0,0,0,0,0,0,0,0
1605,6477,283,122,0,0,85,1,5,57,2,0,4,1,0,1,1,2,0,0,0,2,0,0,0,0,0
1615,6787,312,228,0,0,63,0,2,13,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620,6941,317,197,0,0,81,0,16,13,3,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0
1630,7251,386,117,0,1,131,1,44,41,7,0,27,0,0,11,2,2,0,0,0,0,2,0,0,0,0
1635,7405,326,115,0,0,146,3,21,17,6,0,6,0,0,2,5,3,0,0,0,0,1,0,0,0,1
1645,NA,379,102,2,0,154,1,27,67,9,0,12,0,0,2,2,0,0,0,0,0,0,0,0,1,0
