"sample.depths","sample.ages","upland.sum","Ambrosia.type","Asteraceae.undiff.","Cupressaceae","Cyperaceae","Nyssa","Pinus.subg..Pinus","Quercus","Apiaceae","Fraxinus","Poaceae","Artemisia","Ulmus","Populus","Amaranthaceae","Plantago","Alnus","Celtis","Salix","Herbs.undiff.","Corylus","Asteraceae.subf..Cichorioideae","Ericaceae","Cornus","Ephedra","Betula","Rhus","Ilex","Juglans","Castanea","Liliaceae","Onagraceae","Pinus.subg..Strobus","Malvaceae","Acer","Myrica","Picea","Ostrya.Carpinus","Tilia"
5,11,198,3,10,2,12,11,6,30,1,5,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1022,166,17,35,4,19,8,1,3,0,0,66,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2032,193,3,19,2,15,2,1,28,1,6,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3043,190,9,14,0,18,2,1,37,0,3,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4053,188,7,30,0,13,3,1,28,0,3,100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4396,196,11,33,0,29,0,5,32,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4738,176,10,20,0,17,0,4,20,2,6,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5081,190,6,22,0,5,0,1,20,5,0,127,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,5423,192,9,29,0,11,1,3,10,4,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5766,179,13,37,0,15,1,1,17,3,3,83,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6108,189,8,25,0,15,1,0,16,13,4,100,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6451,189,15,27,0,15,0,5,35,7,0,72,6,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,6793,193,13,27,0,0,1,2,51,5,2,61,9,0,3,2,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,7136,193,12,28,0,11,0,3,37,6,7,82,1,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,7478,185,18,45,0,9,0,0,20,16,4,65,1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,7821,192,20,23,0,14,0,3,20,10,0,90,3,0,3,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,8163,189,10,31,0,22,1,4,20,7,2,80,3,0,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,8506,196,12,30,0,26,1,2,22,9,4,63,1,0,7,0,0,17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
185,8848,196,12,25,0,9,4,7,24,42,1,53,1,0,3,1,0,9,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,9191,198,11,24,0,13,6,4,37,43,1,41,2,0,2,2,0,0,0,1,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
205,9533,200,6,8,0,8,2,3,19,5,0,19,0,0,0,0,0,128,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,9875,199,5,3,0,4,1,1,9,2,3,5,1,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,10218,198,8,19,0,24,4,4,33,3,6,27,1,0,3,2,0,58,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
235,10560,197,16,14,0,34,1,4,28,13,11,16,0,2,4,2,0,40,5,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
245,10903,196,28,72,0,15,1,3,8,24,3,22,2,2,0,5,0,2,0,6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
255,11205,193,24,32,0,45,3,8,11,20,5,12,4,5,7,1,0,6,2,1,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0
265,11506,196,24,25,0,16,3,0,18,18,8,24,3,2,2,0,0,22,2,6,0,0,0,3,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,0
275,11808,199,22,24,0,13,9,0,16,29,18,21,0,0,0,1,1,13,3,2,1,0,0,0,0,0,8,4,0,0,0,0,0,14,0,0,0,0,0,0
285,12110,199,19,4,6,6,0,0,2,2,6,21,0,0,0,0,0,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
295,12411,199,12,15,0,12,0,0,16,7,9,11,0,0,1,0,0,98,0,6,2,0,0,0,1,0,2,2,0,0,1,0,0,4,0,0,0,0,0,0
305,12713,197,22,20,0,14,1,4,6,8,11,34,3,0,3,0,0,61,3,1,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
315,13015,194,8,9,0,10,1,0,8,0,4,17,0,0,2,0,0,111,11,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0
325,13316,197,7,5,0,5,2,4,6,1,3,10,0,0,1,1,0,143,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
335,13618,200,10,11,0,5,2,2,4,0,7,16,1,2,0,2,0,134,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
345,13920,194,16,25,0,0,1,3,4,0,1,21,1,0,0,0,0,110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,4,0,0,0,0,0
355,14221,196,24,22,0,7,0,6,10,0,6,17,3,1,0,1,0,95,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
365,14523,196,30,18,0,0,4,9,7,0,1,35,3,0,2,1,0,72,0,4,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0
375,14825,194,20,15,0,10,0,3,7,4,0,41,6,0,0,2,0,81,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
385,15127,194,18,19,0,6,0,3,8,3,3,30,5,0,0,2,0,94,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
395,15428,195,5,11,0,2,0,0,5,1,0,6,2,0,0,0,0,113,0,44,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
405,15730,199,5,12,0,5,2,1,14,1,0,17,1,0,4,0,0,127,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
415,16032,197,8,15,0,0,0,4,0,1,0,20,4,1,1,0,0,120,6,8,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
425,16333,196,27,11,0,5,2,5,28,5,0,27,6,0,3,0,0,72,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
435,16635,199,14,20,0,8,0,1,7,1,0,14,5,0,2,4,0,116,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
445,16937,200,42,27,0,6,1,6,24,0,0,32,6,0,0,1,0,49,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
455,17191,199,13,8,0,9,0,6,18,2,0,16,3,0,2,2,0,106,0,9,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
465,17445,201,19,8,0,0,0,1,12,4,0,10,9,0,0,1,0,86,0,21,18,2,0,2,4,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0
475,17700,193,16,21,0,7,0,8,21,0,0,22,0,2,0,0,0,43,0,33,0,1,1,0,1,0,0,8,0,1,4,0,0,0,0,0,4,0,0,0
485,17954,196,11,12,0,9,0,0,6,3,2,8,0,0,9,0,0,66,1,2,1,4,0,6,0,0,16,3,0,0,0,0,0,1,0,0,36,0,0,0
495,18208,196,15,5,0,17,1,5,15,41,4,25,4,0,0,0,1,50,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,7,1,0,0
505,18463,195,24,13,0,12,0,19,28,0,0,25,3,10,3,0,0,46,0,1,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,0
515,NA,199,18,11,0,12,0,12,21,2,0,34,0,1,2,0,0,75,0,0,0,3,0,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1
525,NA,211,7,9,0,8,0,5,24,0,0,14,0,3,1,0,0,131,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
535,NA,198,12,24,0,31,4,15,0,0,2,53,0,0,1,0,0,22,6,10,0,2,0,3,0,0,0,0,1,0,1,1,0,0,0,1,1,3,0,5
545,NA,195,15,0,0,16,4,9,7,3,0,55,34,0,2,0,0,39,0,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
