"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Aquatics.undiff.","Arceuthobium","Artemisia","Asteraceae.undiff.","Betula","Brasenia.schreberi","Cannabaceae","Carya","Castanea","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Lamiaceae","Liliaceae","Liquidambar","Lycopodium.type","Myrica","Myriophyllum","Nemopanthus","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonaceae.undiff.","Polypodium.type","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Vitis"
10,34,8,0,1,4,0,17,0,0,0,0,36,0,0,1,0,0,5,4,0,2,8,0,0,0,10,0,0,0,0,0,1,3,0,0,0,0,0,0,1,74,0,1,6,0,1,0,3,0,0,4,0,0,0,1,0,0,0,5,0,0,8,1,0,3,0
20,69,4,1,3,0,1,9,0,0,0,0,65,0,0,0,0,0,3,6,0,9,19,1,0,0,26,0,0,0,0,0,2,5,0,0,0,0,0,0,0,52,0,1,16,0,1,0,6,0,0,4,0,0,0,0,0,1,0,37,0,0,22,6,0,0,0
30,103,3,0,4,6,0,1,0,0,0,0,57,0,0,0,0,0,0,2,0,5,18,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,9,34,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,3,21,0,5,11,0
40,325,16,1,18,2,0,1,0,0,1,0,157,0,1,1,0,1,4,23,0,30,47,2,1,0,2,0,0,0,0,0,0,13,0,0,0,0,5,1,8,139,0,4,23,0,1,0,1,4,0,11,0,0,0,0,0,1,0,38,0,1,56,0,4,27,0
50,546,7,1,9,2,0,2,0,0,0,0,122,0,0,1,0,0,1,0,0,17,33,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,9,12,0,7,26,1,0,0,1,1,0,6,0,0,0,0,0,1,0,6,0,0,90,0,4,25,0
60,768,3,0,2,1,0,0,0,0,0,0,57,0,0,1,0,0,0,2,0,10,25,0,0,2,12,0,0,0,0,0,0,2,0,0,0,0,1,0,6,14,0,4,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,41,2,2,0,0
70,989,8,1,5,3,0,1,0,0,0,1,49,0,0,1,0,0,0,2,0,2,37,1,0,0,4,0,0,0,0,0,3,7,0,0,0,0,3,2,2,67,1,5,22,1,0,0,5,0,0,12,0,0,0,0,0,0,0,22,0,0,74,0,2,16,0
80,1211,2,0,7,3,0,0,0,0,0,0,48,0,0,0,2,0,0,10,0,15,23,1,0,0,13,0,0,0,0,0,0,3,0,0,0,0,2,1,8,16,1,4,6,0,0,0,0,0,0,9,0,0,0,1,0,1,0,2,0,0,30,2,5,0,0
100,1701,3,0,4,0,0,1,0,0,0,0,45,0,0,3,0,2,0,4,0,2,26,1,1,0,13,1,0,0,0,0,0,4,0,0,0,0,3,0,2,3,0,9,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,16,0,0,57,0,1,1,0
120,2191,5,0,10,1,0,1,1,0,0,0,71,0,0,1,0,0,0,43,0,9,36,0,1,0,20,0,0,0,0,0,3,4,0,0,0,0,2,2,2,6,2,25,32,3,0,0,2,13,1,11,0,0,2,1,0,4,0,20,0,2,94,1,9,2,0
140,2682,3,0,8,5,0,0,0,0,1,2,37,0,0,0,0,0,1,12,0,1,20,1,2,0,9,0,0,0,0,0,1,2,0,0,1,0,6,0,2,4,1,17,16,0,1,0,1,0,0,4,0,0,0,0,0,1,0,4,0,1,35,1,2,1,0
160,3172,3,1,8,4,0,0,0,0,0,1,48,0,0,1,0,0,2,5,0,0,27,1,0,0,8,2,0,0,0,0,1,1,0,0,0,0,2,1,1,2,2,31,17,0,2,0,4,0,0,5,0,0,0,1,0,0,0,2,1,0,22,1,1,0,0
