"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Ambrosia.type","Betula","Carya","Corylus","Cyperaceae","Ericaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Alnus","Myrica","Poaceae","Acer.rubrum","Fraxinus.nigra.type","Salix","Amaranthaceae","Ilex","Tilia","Ulmus","Artemisia","Cannabaceae","Fraxinus.pennsylvanica.type","Nyssa","Cornus","Platanus","Asteraceae.undiff.","Pinus.subg..Pinus","Castanea","Juglans.cinerea","Rosaceae","Thalictrum","Juglans.nigra","Nemopanthus","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Sambucus","Liliaceae","Liquidambar","Lamiaceae","Polygonaceae.undiff.","Arceuthobium","Vitis","Epilobium"
10,34,185,8,1,17,36,1,5,4,2,8,1,74,1,6,4,1,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,69,223,4,3,9,65,0,3,6,9,19,0,52,1,16,4,0,22,0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,103,183,3,4,1,57,0,0,2,5,18,9,34,1,10,0,0,21,6,3,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,325,572,16,18,1,157,1,4,23,30,47,8,139,4,23,11,0,56,2,13,1,1,2,1,0,0,1,4,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,546,353,7,9,2,122,1,1,0,17,33,9,12,7,26,6,0,90,2,1,0,1,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,768,192,3,2,0,57,1,0,2,10,25,6,14,4,12,7,0,41,1,2,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,989,307,8,5,1,49,1,0,2,2,37,2,67,5,22,12,0,74,3,7,0,1,1,0,0,0,0,2,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1211,197,2,7,0,48,0,0,10,15,23,8,16,4,6,9,1,30,3,3,0,0,1,1,0,0,0,5,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1701,179,3,4,1,45,3,0,4,2,26,2,3,9,4,2,0,57,0,4,1,0,1,0,0,0,0,1,0,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2191,377,5,10,1,71,1,0,43,9,36,2,6,25,32,11,1,94,1,4,0,0,0,4,0,0,2,9,0,0,1,2,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2682,185,3,8,0,37,0,1,12,1,20,2,4,17,16,4,0,35,5,2,1,0,1,1,0,0,1,2,1,0,2,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3172,191,3,8,0,48,1,2,5,0,27,1,2,31,17,5,1,22,4,1,2,1,1,0,0,0,0,1,0,0,0,2,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,3351,179,1,8,0,49,0,0,1,0,23,3,1,15,19,8,0,32,2,3,2,1,3,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3397,238,2,8,0,65,1,0,10,2,18,5,3,31,32,12,0,32,8,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3443,182,1,3,0,45,0,7,7,0,10,9,2,26,12,16,0,12,4,11,1,0,5,1,0,0,0,4,0,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
240,3489,186,9,8,0,62,0,0,4,0,22,2,2,23,12,7,0,17,0,6,1,0,0,0,0,0,1,4,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,3596,379,4,13,4,75,1,4,10,2,42,10,7,32,43,21,0,52,21,13,0,2,3,0,1,0,2,7,1,0,2,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
280,3704,179,10,3,0,48,2,0,4,1,19,1,3,16,17,10,1,16,7,4,1,2,0,0,0,1,0,5,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
300,3812,374,7,14,0,97,1,0,12,3,51,10,2,30,50,17,0,30,21,5,2,1,4,0,2,0,1,2,2,0,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,3920,178,1,11,1,36,2,0,8,1,13,2,5,15,17,11,1,21,7,8,0,0,5,1,0,1,1,5,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,4027,174,0,7,0,32,0,1,5,1,17,4,4,19,24,8,0,25,6,3,1,2,2,1,0,0,2,1,1,0,1,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
360,4135,172,0,5,0,41,2,0,9,0,14,3,3,17,19,7,0,27,11,1,0,0,2,1,0,0,0,2,0,0,2,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,4243,413,10,18,1,113,0,0,19,3,38,9,1,35,31,15,0,52,18,13,4,3,6,1,0,1,1,6,1,0,2,5,0,0,3,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
400,4351,183,1,5,0,45,1,0,6,1,18,3,0,37,14,11,0,7,4,11,1,0,2,0,1,0,0,5,0,0,0,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,4458,401,2,21,3,130,3,0,7,2,29,9,1,49,45,19,0,38,11,3,2,2,1,1,0,1,3,4,1,0,4,3,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
440,4566,175,0,7,1,38,0,0,8,0,21,9,0,20,23,7,0,17,4,3,1,2,2,0,0,0,0,6,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,4674,320,3,14,1,86,1,0,4,0,40,4,1,31,49,15,0,40,5,2,0,3,4,0,0,0,1,7,0,0,0,1,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,4782,190,0,12,1,44,0,0,3,0,21,3,0,26,16,9,0,18,4,8,1,2,5,0,0,0,0,5,1,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,4889,1008,16,31,1,221,0,1,18,3,36,10,4,194,215,66,0,78,28,15,1,0,7,1,2,0,2,28,0,0,3,6,2,2,3,9,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
520,5364,187,1,5,0,52,0,0,3,0,23,2,1,4,21,4,0,53,3,0,1,0,1,1,0,0,0,4,0,0,1,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,5731,359,0,8,0,41,0,0,3,2,27,7,1,14,28,4,0,188,11,3,4,0,3,3,0,0,2,2,0,1,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,6097,186,0,7,1,43,1,0,7,1,16,2,0,5,8,7,0,77,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,6464,193,0,6,0,32,2,0,4,0,21,2,1,4,12,5,0,87,2,2,1,0,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
600,6831,339,1,4,0,55,2,2,9,2,25,4,1,13,49,22,0,117,6,6,0,0,2,0,1,1,2,8,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
610,7015,186,0,6,0,41,0,0,0,0,4,6,2,22,20,30,0,37,2,3,1,0,1,0,0,0,0,6,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
620,7198,190,0,7,0,35,0,0,1,0,7,6,2,9,13,6,0,91,2,2,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,7565,208,0,7,0,36,1,0,4,1,10,2,0,17,20,13,0,80,3,3,1,0,0,0,0,0,0,6,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,7932,429,1,8,0,71,0,1,9,0,21,8,1,50,83,34,0,108,7,4,4,0,1,0,0,0,0,8,0,0,1,0,0,1,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
680,8299,186,0,4,0,28,0,0,3,0,8,4,0,37,24,18,0,37,3,6,1,0,1,0,0,0,0,4,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
700,8665,191,0,5,0,21,0,0,3,0,6,4,1,37,38,20,0,44,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,9032,198,2,3,0,10,0,0,1,0,0,2,4,60,66,14,1,14,8,2,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
740,9399,195,4,5,0,17,1,0,1,0,3,2,4,78,28,19,0,10,6,4,0,0,2,0,0,1,1,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
