"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Arceuthobium","Betula","Carya","Castanea","Corylus","Cyperaceae","Juglans.cinerea","Juglans.nigra","Nyssa","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Populus","Poaceae","Cephalanthus.occidentalis","Platanus.occidentalis","Liquidambar.styraciflua","Fagus.grandifolia","Ambrosia.Iva","Ericaceae","Fraxinus.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum.lapathifolium.type","Fabaceae","Acer.rubrum","Ilex","Ulmus","Apiaceae","Brassicaceae","Acer.saccharum","Picea.undiff.","Thalictrum","Tilia","Cornus","Lamiaceae","Abies","Acer.negundo","Fraxinus.pennsylvanica.type","Amaranthaceae","Urticaceae","Fraxinus.nigra.type","Plantago","Diospyros","Artemisia","Rhamnaceae","Acer.undiff.","Cupressaceae","Alnus.undiff.","Caryophyllaceae","Epilobium","Polemonium","Sanguisorba.canadensis","Coniferophyta.undiff.","Larix","Rosaceae.undiff.","Picea.glauca","Picea.mariana","Campanula","Asteraceae.subf..Cichorioideae","Galium"
0,1,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.0180878552971576,0.0361757105943152,0.0103359173126615,0.00516795865633075,0.0232558139534884,0.00258397932816537,0.00516795865633075,0.00258397932816537,0.00516795865633075,0.214470284237726,0.537467700258398,0.0258397932816537,0.00258397932816537,0.0180878552971576,0.00258397932816537,0.00516795865633075,0.0310077519379845,0.00258397932816537,0.00258397932816537,0.00516795865633075,0.0361757105943152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,658,0,0.00229357798165138,0,0.0481651376146789,0.0275229357798165,0.055045871559633,0.00229357798165138,0.0114678899082569,0.00688073394495413,0,0,0.0114678899082569,0.073394495412844,0.477064220183486,0.055045871559633,0.00229357798165138,0.00458715596330275,0,0,0.162844036697248,0,0,0.00458715596330275,0.0160550458715596,0.00229357798165138,0.00458715596330275,0.0160550458715596,0.0091743119266055,0.00229357798165138,0.00458715596330275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1315,0.00240384615384615,0.00240384615384615,0,0.0288461538461538,0.0264423076923077,0.0216346153846154,0.00240384615384615,0.0288461538461538,0,0.00240384615384615,0,0.00480769230769231,0.0673076923076923,0.526442307692308,0.0625,0.00721153846153846,0.00240384615384615,0.00240384615384615,0.00480769230769231,0.144230769230769,0.00240384615384615,0,0.00721153846153846,0.00961538461538462,0,0.00480769230769231,0.00721153846153846,0.00480769230769231,0,0,0.00480769230769231,0.00240384615384615,0.00480769230769231,0.00240384615384615,0.00480769230769231,0.00240384615384615,0.00480769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1972,0,0,0,0.0160183066361556,0.0274599542334096,0.0251716247139588,0,0.0137299771167048,0.0022883295194508,0,0.0022883295194508,0.0068649885583524,0.0503432494279176,0.437070938215103,0.0892448512585812,0.0022883295194508,0,0.011441647597254,0,0.254004576659039,0.0068649885583524,0.0022883295194508,0.0022883295194508,0.0045766590389016,0,0,0.0068649885583524,0,0,0,0.0068649885583524,0.0022883295194508,0.0022883295194508,0.0022883295194508,0.0022883295194508,0.0022883295194508,0.0022883295194508,0.0045766590389016,0.0022883295194508,0.0068649885583524,0.0045766590389016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2630,0,0,0,0.024024024024024,0.045045045045045,0.06006006006006,0.003003003003003,0.033033033033033,0,0.003003003003003,0.006006006006006,0.006006006006006,0.072072072072072,0.504504504504504,0.051051051051051,0.003003003003003,0.009009009009009,0.003003003003003,0.018018018018018,0.0990990990990991,0,0.003003003003003,0,0.009009009009009,0.003003003003003,0.003003003003003,0,0.015015015015015,0.003003003003003,0.003003003003003,0.003003003003003,0.003003003003003,0,0.003003003003003,0,0,0.003003003003003,0.003003003003003,0,0,0,0.003003003003003,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3287,0.00277008310249307,0,0,0.0249307479224377,0.038781163434903,0.0249307479224377,0,0.0415512465373961,0.00277008310249307,0,0.0138504155124654,0,0.0775623268698061,0.529085872576177,0.03601108033241,0,0.00554016620498615,0.0166204986149584,0.0166204986149584,0.0941828254847645,0,0,0,0.0110803324099723,0.00277008310249307,0,0.0110803324099723,0.0138504155124654,0.0110803324099723,0,0,0,0,0,0,0,0.00554016620498615,0.00277008310249307,0.00277008310249307,0,0,0.00554016620498615,0,0.00277008310249307,0.00277008310249307,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3946,0,0,0,0.0384615384615385,0.0467032967032967,0.010989010989011,0,0.0274725274725275,0,0,0.00549450549450549,0.0137362637362637,0.0796703296703297,0.532967032967033,0.0631868131868132,0,0.00274725274725275,0,0.021978021978022,0.118131868131868,0,0.00274725274725275,0.00274725274725275,0.010989010989011,0,0,0,0.0137362637362637,0.00274725274725275,0,0,0.00274725274725275,0,0,0,0,0,0,0,0,0,0,0.00274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4605,0.0020746887966805,0,0,0.00829875518672199,0.0601659751037344,0,0.004149377593361,0.0020746887966805,0.0020746887966805,0,0.016597510373444,0.004149377593361,0.0933609958506224,0.466804979253112,0.12655601659751,0.0103734439834025,0,0.00622406639004149,0.00622406639004149,0.136929460580913,0.00622406639004149,0,0.00829875518672199,0.0103734439834025,0,0,0.004149377593361,0.004149377593361,0.00829875518672199,0,0.0020746887966805,0.0020746887966805,0,0,0,0,0.0020746887966805,0.0020746887966805,0.0020746887966805,0,0,0,0,0,0,0,0.0020746887966805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5269,0.00385356454720617,0,0,0.0173410404624277,0.0481695568400771,0.00192678227360308,0,0.00385356454720617,0,0,0.0173410404624277,0.00192678227360308,0.0674373795761079,0.435452793834297,0.167630057803468,0.0211946050096339,0.00963391136801541,0.00385356454720617,0.0423892100192678,0.111753371868979,0,0,0.00578034682080925,0,0.00192678227360308,0,0.00578034682080925,0,0.0154142581888247,0.00192678227360308,0,0.00770712909441233,0,0,0,0,0,0.00385356454720617,0.00192678227360308,0,0,0,0,0,0,0,0,0.00192678227360308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5941,0,0,0,0.0173913043478261,0.0630434782608696,0.00217391304347826,0.00217391304347826,0.00217391304347826,0,0,0.0108695652173913,0.00217391304347826,0.0956521739130435,0.545652173913043,0.0826086956521739,0.0347826086956522,0.00217391304347826,0.00434782608695652,0.0282608695652174,0.041304347826087,0,0,0.0173913043478261,0.00652173913043478,0,0,0,0.00217391304347826,0.0130434782608696,0,0,0.00652173913043478,0.00434782608695652,0,0,0.00217391304347826,0,0,0.00217391304347826,0,0,0,0,0,0,0,0.00434782608695652,0.00217391304347826,0.00434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6625,0,0,0,0.00862068965517241,0.0344827586206897,0,0,0.00431034482758621,0.00431034482758621,0,0.0237068965517241,0,0.0754310344827586,0.631465517241379,0.021551724137931,0.0344827586206897,0,0.0021551724137931,0.0107758620689655,0.103448275862069,0,0,0.0129310344827586,0,0,0,0.00646551724137931,0,0.0021551724137931,0,0.00431034482758621,0.0021551724137931,0.0021551724137931,0,0,0,0,0,0.0021551724137931,0,0,0,0,0,0,0,0,0,0.0129310344827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7325,0,0,0,0.0112612612612613,0.018018018018018,0.00225225225225225,0,0.009009009009009,0,0,0.027027027027027,0.00225225225225225,0.0157657657657658,0.52027027027027,0.09009009009009,0.0225225225225225,0.009009009009009,0.00225225225225225,0.00675675675675676,0.207207207207207,0.00225225225225225,0,0.00675675675675676,0.009009009009009,0,0,0.00675675675675676,0,0.0045045045045045,0,0.0045045045045045,0.0045045045045045,0.00225225225225225,0,0,0,0,0.00225225225225225,0.00225225225225225,0.0045045045045045,0,0,0,0,0.00225225225225225,0,0,0,0,0.00225225225225225,0.00225225225225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,8044,0,0,0,0.0117924528301887,0.0306603773584906,0.00235849056603774,0,0.00943396226415094,0.00235849056603774,0,0.0212264150943396,0.0117924528301887,0.0518867924528302,0.483490566037736,0.0683962264150943,0.0330188679245283,0.00943396226415094,0.0165094339622642,0.0070754716981132,0.158018867924528,0,0,0,0.00943396226415094,0.0117924528301887,0,0.00471698113207547,0.0070754716981132,0.0141509433962264,0.00471698113207547,0,0.0141509433962264,0.00235849056603774,0,0,0,0,0.00235849056603774,0,0,0,0,0,0,0,0,0,0,0.0070754716981132,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,8787,0,0,0,0.0113960113960114,0.0199430199430199,0,0,0.00854700854700855,0.0056980056980057,0,0.0056980056980057,0.0056980056980057,0.0512820512820513,0.464387464387464,0.111111111111111,0.108262108262108,0.0142450142450142,0.0284900284900285,0.00854700854700855,0.0911680911680912,0,0,0.00284900284900285,0.0170940170940171,0.00284900284900285,0,0,0,0.0170940170940171,0,0,0,0,0.0142450142450142,0,0.00284900284900285,0,0,0.0056980056980057,0,0,0,0,0,0,0,0,0,0.00284900284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,9554,0,0,0.117647058823529,0,0,0,0,0.235294117647059,0,0,0,0,0.0588235294117647,0.117647058823529,0.117647058823529,0.0588235294117647,0,0.0588235294117647,0,0.0588235294117647,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9944,0.0116279069767442,0,0,0.0116279069767442,0,0,0.0116279069767442,0,0,0,0.0116279069767442,0.0116279069767442,0,0.453488372093023,0.0697674418604651,0.0116279069767442,0.0465116279069767,0.267441860465116,0.0116279069767442,0.0348837209302326,0,0,0,0,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0.0116279069767442,0,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0
150,10338,0.0588235294117647,0.115384615384615,0.00678733031674208,0,0.0203619909502262,0,0.0271493212669683,0.190045248868778,0,0.00226244343891403,0.00452488687782805,0.0723981900452489,0.0180995475113122,0.190045248868778,0.0135746606334842,0.0113122171945701,0.0701357466063348,0.0180995475113122,0.0226244343891403,0.0294117647058824,0,0,0,0.00226244343891403,0,0,0.00904977375565611,0,0.0113122171945701,0,0.00226244343891403,0,0,0,0,0.00226244343891403,0.0384615384615385,0.00678733031674208,0,0,0,0.0180995475113122,0,0,0,0,0,0,0,0,0,0,0,0.0226244343891403,0.00904977375565611,0.00452488687782805,0.00226244343891403,0,0,0,0,0,0,0,0,0
