"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia","Arecaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Brasenia.schreberi","Carya","Castanea","Celtis","Cephalanthus","cf..Betula","Cupressaceae","Cyperaceae","Ericaceae","Eriocaulon","Fabaceae","Fagus","Filicopsida..monolete.","Fraxinus","Gordonia","Hydrocotyle","Ilex","Indeterminable","Iva.annua.type","Liquidambar","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Pinus","Platanus","Poaceae","Polygonella.fimbriata.type","Polygonum.lapathifolium.type","Pontederia","Quercus","Rhus","Rosaceae","Sagittaria","Salix","Selaginella","Typha.angustifolia.type","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
1738,0,0,0,27,0,3,0,58,0,4,0,0,0,2,1,2,0,0,1,2,0,0,0,0,26,0,2,0,22,0,0,0,3,0,0,1,0,110,0,21,0,0,0,26,0,1,0,3,0,0,0,1,30,2,3
1745,211,0,0,17,4,1,0,3,0,6,1,0,0,2,4,7,0,0,0,1,6,0,0,0,52,0,3,0,9,0,0,0,1,0,0,2,0,164,0,17,0,0,0,36,0,0,0,0,1,0,0,1,12,0,0
1750,362,0,0,25,2,0,0,8,0,5,0,1,0,0,4,14,1,0,0,0,4,1,0,0,45,6,2,0,13,0,0,0,0,0,2,0,0,128,0,25,0,0,0,16,1,2,0,0,0,0,0,0,12,2,7
1755,513,0,0,25,0,0,0,1,0,2,0,0,1,0,1,8,0,1,0,0,3,1,1,0,43,3,6,0,10,0,0,0,0,0,0,1,0,111,0,27,0,0,0,23,0,1,0,0,0,0,0,1,3,0,0
1760,664,0,2,17,0,2,0,1,0,13,0,0,0,0,2,4,5,0,0,0,0,0,2,0,53,4,1,0,8,0,0,0,0,0,0,1,0,151,0,33,0,0,0,24,0,0,0,0,0,0,0,0,6,0,0
1770,965,0,1,13,1,1,0,2,0,9,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,10,0,0,0,0,0,0,0,0,179,1,15,0,0,0,26,0,0,0,0,0,0,0,0,1,1,0
1782,1327,0,1,24,1,1,0,4,0,13,0,1,0,0,1,7,0,0,0,0,3,0,0,0,5,2,5,1,22,0,0,0,0,0,0,0,0,132,0,69,0,0,0,45,0,0,0,0,1,0,0,1,7,1,0
1790,1568,0,0,34,1,2,0,1,0,9,0,1,0,1,0,8,8,0,0,0,1,1,0,0,4,1,3,0,20,0,0,0,0,0,1,0,0,127,0,51,0,0,0,56,0,0,0,0,0,1,1,0,7,1,0
1800,1870,0,0,33,1,0,0,7,0,4,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,9,3,0,14,0,0,0,0,0,0,0,0,151,0,60,0,0,0,37,0,0,0,0,0,0,0,0,8,0,0
1810,2172,0,0,26,0,1,0,0,0,10,0,0,0,1,1,3,15,0,0,0,1,0,1,0,6,1,2,1,31,2,0,0,0,0,0,0,0,112,0,59,0,0,0,58,0,0,0,0,0,1,1,0,5,0,0
1820,2473,0,3,56,1,2,0,5,0,14,0,0,0,0,0,5,11,0,0,1,0,0,0,0,16,8,6,0,21,1,0,0,0,0,0,0,0,58,0,53,0,0,0,54,0,0,0,0,1,0,1,2,8,0,0
1830,2775,0,0,26,1,3,0,2,0,18,0,0,0,0,0,3,16,0,0,0,0,0,0,0,14,1,10,0,21,5,0,0,1,0,0,0,0,77,0,58,0,0,0,67,0,0,0,0,0,0,0,1,5,0,0
1840,3077,0,0,20,0,0,0,2,0,43,0,0,0,0,0,1,11,0,0,0,0,0,1,0,8,5,2,0,24,1,0,0,0,0,0,0,0,80,0,35,0,0,0,90,0,0,0,0,0,0,0,1,6,0,0
1850,3378,0,1,14,2,1,0,6,0,21,0,0,0,2,0,2,9,0,0,0,0,0,0,0,1,3,7,1,17,2,3,0,0,0,0,0,0,86,0,32,0,0,0,122,0,0,0,0,0,0,0,1,11,1,0
1860,3680,0,1,7,5,0,0,13,0,1,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,5,6,0,2,10,6,0,0,0,0,0,0,65,0,50,0,0,0,105,0,0,1,0,0,0,0,0,4,1,0
1870,3981,1,0,8,3,0,0,10,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,5,12,1,3,5,5,2,0,0,0,0,0,67,0,70,0,0,1,139,0,0,1,0,1,2,0,0,15,0,1
1880,4283,0,0,13,3,0,0,10,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,8,9,0,4,5,3,1,0,0,0,0,0,60,0,35,0,0,0,167,0,0,1,0,0,1,0,0,9,1,0
1890,4585,0,0,12,5,0,0,7,0,5,0,0,1,0,0,5,3,0,0,0,0,0,0,3,0,8,16,0,0,7,3,0,0,0,0,0,0,56,0,47,0,0,0,155,0,1,1,3,0,2,0,1,7,0,0
1905,5037,0,1,6,4,0,1,18,1,10,0,0,0,0,1,9,2,0,0,2,0,0,0,5,0,8,10,0,4,0,7,19,0,0,0,0,0,70,0,40,0,0,1,148,2,3,4,1,0,0,0,0,9,0,0
