"depth","best.age","min.age","max.age"
28,NA,NA,NA
37,11311,11017,11597
47,11397,11141,11656
62,11572,11323,11826
70,11688,11430,11950
78,11820,11550,12091
82,11892,11617,12169
86,11968,11687,12250
90,12048,11763,12336
94,12132,11843,12426
102,12312,12014,12616
110,12507,12201,12822
126,12945,12620,13284
130,13065,12732,13409
142,13447,13082,13825
150,13721,13334,14142
166,14318,13862,14867
182,14978,14398,15698
198,NA,NA,NA
214,NA,NA,NA
230,NA,NA,NA
260,NA,NA,NA
292,NA,NA,NA
332,NA,NA,NA
358,NA,NA,NA
