"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Cannabaceae","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Galium","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.clavatum","Menyanthes.trifoliata","Morus","Myrica","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rhus","Rosaceae","Salix","Salsola","Sambucus","Sarcobatus.vermiculatus","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Urtica.type","Viburnum","Xanthium"
4,NA,0,0,7,2,21,0,0,12,0,3,0,0,123,0,2,0,1,16,28,0,1,2,0,0,0,3,0,0,60,7,9,0,0,0,1,24,0,2,0,0,0,0,0,0,0,9,1,0,0,1,17,5,1,3,41,0,2,2,0,1,1,184,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,59,0,10,3,0,0,0,1
20,NA,1,0,1,2,2,7,0,10,1,0,1,0,51,0,1,0,0,10,29,0,0,1,1,5,0,2,0,0,31,5,8,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,2,5,37,0,0,1,1,0,1,89,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,44,0,3,0,0,0,0,0
50,NA,0,0,0,0,6,0,0,10,1,0,1,0,55,0,0,0,0,6,23,0,0,0,1,1,0,2,0,0,30,3,8,1,0,0,0,5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,7,50,0,0,1,1,1,4,97,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,41,0,5,0,0,0,0,0
80,1789,0,0,7,2,13,0,0,39,0,0,0,0,90,0,2,0,0,22,13,0,0,2,0,6,0,5,0,0,51,8,6,0,0,0,0,7,4,0,0,1,0,0,0,0,0,0,1,0,0,3,10,3,1,16,94,0,2,3,2,0,4,158,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,80,0,8,1,0,0,0,0
120,2219,0,0,3,2,11,0,1,20,0,1,0,0,79,0,0,0,0,11,15,0,0,1,0,7,0,4,0,0,64,3,5,1,0,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,6,80,0,4,0,1,1,4,143,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,87,0,6,1,1,0,0,0
150,2541,1,0,4,1,11,2,0,13,0,0,0,0,46,0,0,0,0,3,7,0,0,0,0,6,0,2,5,0,48,5,4,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11,2,0,7,53,0,2,1,1,0,1,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,46,0,6,2,0,0,0,0
180,2689,0,0,1,0,12,0,0,16,0,1,0,0,54,0,2,0,0,10,9,0,0,0,2,2,0,2,0,0,51,11,7,2,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,15,0,1,30,95,0,5,0,0,0,1,147,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,67,0,12,2,1,0,0,0
220,2867,0,0,7,2,19,0,0,22,0,2,1,0,49,0,0,0,0,20,8,0,0,1,0,6,0,1,0,0,69,11,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18,1,2,14,70,0,6,0,3,0,4,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,10,3,0,0,0,0
250,3000,0,0,3,1,11,1,0,9,0,0,0,1,36,0,0,0,0,8,2,0,0,0,4,2,0,3,0,0,58,6,1,0,0,0,0,7,0,2,0,0,0,0,0,0,1,0,0,0,1,0,11,1,3,17,45,0,1,0,5,1,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,5,1,0,0,0,0
280,3247,1,0,8,0,17,0,0,28,0,2,1,0,74,0,0,1,0,21,0,0,1,3,3,2,0,5,0,0,82,16,12,0,0,0,0,6,2,2,0,2,0,0,0,0,0,0,0,1,0,1,23,1,3,13,71,1,2,1,8,0,8,244,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,31,1,18,1,0,0,0,1
320,3595,0,0,4,1,12,0,0,35,0,1,0,0,56,0,0,0,1,19,4,0,0,1,2,1,0,5,0,1,58,9,16,0,0,1,0,17,2,2,0,0,0,0,0,0,0,0,1,0,1,0,14,2,0,5,53,0,4,2,3,0,1,213,0,0,0,1,1,1,0,0,0,1,0,1,2,1,3,17,0,12,1,2,0,0,0
350,3856,0,0,2,1,8,0,0,28,1,0,0,0,25,0,0,0,0,15,4,0,0,0,2,0,0,1,0,0,34,5,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,2,0,2,9,1,1,2,41,0,5,1,5,0,0,118,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,4,1,0,1,1,0
