"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Ambrosia.type","Betula","Cannabaceae","Carya","Castanea","Cephalanthus","Corylus","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Thalictrum","Tilia","Tsuga","Ulmus","Xanthium","Alnus","Myrica","Poaceae","Abies","Acer.undiff.","Artemisia","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Salix","Populus","Rosaceae","Rhus","Larix","Nyssa","Ranunculaceae.undiff.","Morus","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Plantago","Ericaceae","Shrubs.undiff.","Taxus","Urtica.type","Viburnum","Salsola","Rhamnaceae","Juglans.nigra","Galium","Liquidambar","Rhamnaceae.Vitaceae.undiff.","Sambucus","Sarcobatus.vermiculatus","Celtis","Acer.negundo"
4,NA,0.033175355450237,0.0110584518167457,0.00315955766192733,0.004739336492891,0.194312796208531,0.00157977883096367,0.0252764612954186,0.0442338072669826,0.00157977883096367,0.00315955766192733,0.09478672985782,0.0110584518167457,0.014218009478673,0.00157977883096367,0.00315955766192733,0.0268562401263823,0.00789889415481832,0.00157977883096367,0.004739336492891,0.0647709320695103,0.00315955766192733,0.290679304897314,0.00315955766192733,0.00315955766192733,0.0932069510268562,0.0157977883096366,0.00157977883096367,0.018957345971564,0.014218009478673,0.00315955766192733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NA,0.00547945205479452,0.00273972602739726,0.00547945205479452,0,0.13972602739726,0,0.0273972602739726,0.0794520547945206,0,0.00273972602739726,0.084931506849315,0.0136986301369863,0.0219178082191781,0,0,0.0191780821917808,0.00821917808219178,0.00547945205479452,0.0136986301369863,0.101369863013699,0,0.243835616438356,0,0.00273972602739726,0.120547945205479,0.00821917808219178,0,0.0273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.0191780821917808,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.0136986301369863,0.00547945205479452,0.00273972602739726,0.00273972602739726,0.00547945205479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,0.0164383561643836,0,0,0,0.150684931506849,0,0.0164383561643836,0.063013698630137,0,0,0.0821917808219178,0.00821917808219178,0.0219178082191781,0,0.00547945205479452,0.0356164383561644,0.00273972602739726,0,0.0191780821917808,0.136986301369863,0,0.265753424657534,0,0,0.112328767123288,0.0136986301369863,0,0.0273972602739726,0,0.00273972602739726,0,0,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0,0.00273972602739726,0,0.00273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1789,0.0203442879499218,0.0109546165884194,0.00312989045383412,0,0.140845070422535,0,0.0344287949921753,0.0203442879499218,0,0.00312989045383412,0.07981220657277,0.0125195618153365,0.00938967136150235,0,0,0.0156494522691706,0.00469483568075117,0.00156494522691706,0.0250391236306729,0.147104851330203,0.00312989045383412,0.247261345852895,0.00156494522691706,0,0.125195618153365,0.0125195618153365,0,0.0610328638497653,0,0.00469483568075117,0,0,0,0,0,0.00938967136150235,0,0,0.00312989045383412,0,0.00156494522691706,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2219,0.0193321616871705,0.00527240773286467,0.00351493848857645,0.00175746924428822,0.13884007029877,0,0.0193321616871705,0.0263620386643234,0,0.00175746924428822,0.112478031634446,0.00527240773286467,0.00878734622144113,0.00175746924428822,0.00351493848857645,0.0210896309314587,0,0.00175746924428822,0.0105448154657293,0.140597539543058,0.0070298769771529,0.251318101933216,0.00175746924428822,0.00351493848857645,0.152899824253076,0.0105448154657293,0,0.0351493848857645,0,0,0,0,0,0,0,0.0123022847100176,0.00175746924428822,0,0.00175746924428822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2541,0.0294906166219839,0.0107238605898123,0.00268096514745308,0,0.123324396782842,0,0.00804289544235925,0.0187667560321716,0,0,0.128686327077748,0.0134048257372654,0.0107238605898123,0.00268096514745308,0,0.0294906166219839,0.00536193029490617,0,0.0187667560321716,0.142091152815013,0.00536193029490617,0.238605898123324,0,0.00268096514745308,0.123324396782842,0.0160857908847185,0,0.0348525469168901,0.00268096514745308,0.00268096514745308,0.00268096514745308,0.00536193029490617,0,0,0,0.0160857908847185,0,0,0.00268096514745308,0,0,0,0.00268096514745308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2689,0.0215439856373429,0.00179533213644524,0,0.00179533213644524,0.096947935368043,0,0.0179533213644524,0.0161579892280072,0,0,0.0915619389587074,0.0197486535008977,0.0125673249551167,0.00359066427289048,0.00179533213644524,0.0269299820466786,0,0.00179533213644524,0.0538599640933573,0.170556552962298,0.00897666068222621,0.263913824057451,0,0.00359066427289048,0.120287253141831,0.0215439856373429,0,0.0287253141831239,0,0,0,0,0,0,0.00359066427289048,0.00359066427289048,0.00359066427289048,0,0,0,0.00179533213644524,0,0.00179533213644524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2867,0.0349264705882353,0.0128676470588235,0.00367647058823529,0.00367647058823529,0.0900735294117647,0,0.0367647058823529,0.0147058823529412,0,0.00183823529411765,0.126838235294118,0.0202205882352941,0.0183823529411765,0,0,0.0330882352941176,0.00183823529411765,0.00367647058823529,0.0257352941176471,0.128676470588235,0.0110294117647059,0.277573529411765,0,0.00183823529411765,0.0716911764705882,0.0183823529411765,0,0.0404411764705882,0,0,0,0,0.00183823529411765,0,0,0.0110294117647059,0,0,0.00551470588235294,0,0,0,0.00183823529411765,0.00183823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3000,0.0287958115183246,0.00785340314136126,0.00261780104712042,0,0.094240837696335,0,0.0209424083769634,0.00523560209424084,0,0,0.151832460732984,0.0157068062827225,0.00261780104712042,0,0.00523560209424084,0.0287958115183246,0.00261780104712042,0.00785340314136126,0.0445026178010471,0.117801047120419,0.00261780104712042,0.319371727748691,0.00261780104712042,0.00261780104712042,0.0602094240837696,0.0130890052356021,0,0.0235602094240838,0,0,0,0.00261780104712042,0,0,0.0104712041884817,0.00523560209424084,0,0,0.0130890052356021,0,0,0,0.00261780104712042,0,0.00261780104712042,0.00261780104712042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,3247,0.0244252873563218,0.0114942528735632,0,0.0028735632183908,0.10632183908046,0,0.0301724137931034,0,0.0014367816091954,0.00431034482758621,0.117816091954023,0.0229885057471264,0.0172413793103448,0,0.0028735632183908,0.0330459770114943,0.0014367816091954,0.00431034482758621,0.0186781609195402,0.102011494252874,0.0028735632183908,0.350574712643678,0.00431034482758621,0,0.0445402298850575,0.0258620689655172,0.0014367816091954,0.0402298850574713,0,0.0014367816091954,0.0014367816091954,0,0.0014367816091954,0,0.00431034482758621,0.0028735632183908,0,0,0.0114942528735632,0,0,0.0028735632183908,0,0,0,0,0.0014367816091954,0.0014367816091954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
