"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Ulmus","Juniperus.type","Amaranthaceae","Cerealia","Plantago","Abies.balsamea","Acer.saccharum","Carya.ovata","Castanea.dentata","Corylus.cornuta","Myrica.gale","Nemopanthus.mucronatus","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Acer.pensylvanicum","Fraxinus.nigra.type","Ostrya.Carpinus","Tilia","Acer.spicatum","Ericaceae","Lonicera.canadensis","Ilex.Nemopanthus.undiff.","Thalictrum","Apiaceae","Rhamnus.alnifolia.R..frangula","Brassicaceae","Asteraceae.subf..Asteroideae.undiff.","Ilex","Taxus","Viburnum.lentago","Rosaceae","Populus.balsamifera.type","Sambucus","Caryophyllaceae","Populus.deltoides.type","Saxifraga.cernua.type","Caprifoliaceae.undiff.","Shepherdia.canadensis","Liliaceae","cf..Oxyria.digyna","Oxytropis.maydelliana.type","Polygonum.viviparum","Saxifraga.oppositifolia.type","Celtis.occidentalis"
10,157,0.00220264317180617,0.0242290748898678,0.0066079295154185,0.0110132158590308,0.00220264317180617,0.438325991189427,0.00440528634361234,0.0286343612334802,0.00440528634361234,0.0286343612334802,0.00220264317180617,0.00440528634361234,0.00440528634361234,0.0198237885462555,0.079295154185022,0.026431718061674,0.00220264317180617,0.0154185022026432,0.00220264317180617,0.00440528634361234,0.00220264317180617,0.00220264317180617,0.0110132158590308,0.00220264317180617,0.0506607929515418,0.0220264317180617,0.00220264317180617,0.00220264317180617,0.013215859030837,0.00220264317180617,0.00440528634361234,0.0110132158590308,0.00440528634361234,0.0594713656387665,0.0286343612334802,0.00440528634361234,0.0352422907488987,0.0308370044052863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,314,0.0097799511002445,0.019559902200489,0,0.00244498777506112,0.00244498777506112,0.449877750611247,0.00733496332518337,0.0464547677261614,0.00488997555012225,0.00488997555012225,0.00244498777506112,0.00488997555012225,0,0.0171149144254279,0.112469437652812,0.00488997555012225,0,0.0146699266503667,0,0.0097799511002445,0,0.00244498777506112,0,0,0.0684596577017115,0.0220048899755501,0,0,0.019559902200489,0.0171149144254279,0,0,0,0.0709046454767726,0.00733496332518337,0,0.039119804400978,0.019559902200489,0.00244498777506112,0.0097799511002445,0.00488997555012225,0.00244498777506112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,706,0,0.0161507402422611,0,0,0,0.445491251682369,0.00134589502018843,0.0565275908479139,0,0.00269179004037685,0.00269179004037685,0.00403768506056528,0,0.00134589502018843,0.098250336473755,0.0296096904441454,0.00134589502018843,0.0174966352624495,0,0.00942126514131898,0.00134589502018843,0,0,0,0.0578734858681023,0.0255720053835801,0,0,0.00672947510094213,0.00269179004037685,0,0.0121130551816958,0.00403768506056528,0.0969044414535666,0,0,0.0686406460296097,0.018842530282638,0.00134589502018843,0.00807537012113055,0.00269179004037685,0.00134589502018843,0.00134589502018843,0.00134589502018843,0.00134589502018843,0.00134589502018843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1098,0,0.00797448165869218,0,0,0.00159489633173844,0.492822966507177,0.00159489633173844,0.0574162679425837,0.00956937799043062,0.00159489633173844,0,0.00318979266347687,0,0.00159489633173844,0.0590111642743222,0.0207336523125997,0,0.0223285486443381,0,0.00318979266347687,0,0,0,0,0.0574162679425837,0.0223285486443381,0.00159489633173844,0,0.0446570972886762,0.00159489633173844,0,0.00159489633173844,0,0.100478468899522,0,0,0.0653907496012759,0.0143540669856459,0,0.00318979266347687,0.00159489633173844,0,0,0,0,0,0.00159489633173844,0.00159489633173844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1490,0.00148148148148148,0.0133333333333333,0.00148148148148148,0,0,0.511111111111111,0.00592592592592593,0.0355555555555556,0.00148148148148148,0.00148148148148148,0,0.00296296296296296,0,0,0.0562962962962963,0.0222222222222222,0,0.0177777777777778,0,0.00444444444444444,0,0,0,0,0.0592592592592593,0.0177777777777778,0.00148148148148148,0.00148148148148148,0.00148148148148148,0,0.00148148148148148,0.0103703703703704,0,0.136296296296296,0,0,0.0755555555555556,0.00888888888888889,0,0.00592592592592593,0.00148148148148148,0,0,0.00148148148148148,0,0,0,0,0.00148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1882,0.00453514739229025,0.018140589569161,0,0,0,0.492063492063492,0.00453514739229025,0.0839002267573696,0.00226757369614512,0,0,0.00226757369614512,0,0.00226757369614512,0.0317460317460317,0.0158730158730159,0.00226757369614512,0.0204081632653061,0,0.0090702947845805,0,0.00226757369614512,0,0,0.0385487528344671,0.0136054421768707,0,0,0.0249433106575964,0.0204081632653061,0,0,0,0.126984126984127,0,0,0.0498866213151927,0.00453514739229025,0,0.0204081632653061,0.00453514739229025,0.00226757369614512,0,0,0,0,0,0,0,0.00226757369614512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2274,0.003584229390681,0.0268817204301075,0.003584229390681,0,0,0.519713261648746,0.003584229390681,0.0555555555555556,0.003584229390681,0,0,0.010752688172043,0,0,0.017921146953405,0.03584229390681,0,0.028673835125448,0,0.003584229390681,0,0.0017921146953405,0,0,0.028673835125448,0.0125448028673835,0,0.0017921146953405,0.003584229390681,0,0,0.00537634408602151,0.0017921146953405,0.159498207885305,0,0,0.039426523297491,0.007168458781362,0,0.0125448028673835,0.00537634408602151,0.003584229390681,0,0.0017921146953405,0,0,0,0,0,0,0.0017921146953405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2666,0.00590551181102362,0.0118110236220472,0.00393700787401575,0,0,0.442913385826772,0.0118110236220472,0.0905511811023622,0.0078740157480315,0,0.00393700787401575,0.0078740157480315,0,0.00196850393700787,0.0275590551181102,0.0334645669291339,0,0.0177165354330709,0,0.00590551181102362,0.00590551181102362,0,0,0,0.031496062992126,0.0334645669291339,0,0,0.0393700787401575,0,0,0.00196850393700787,0.0078740157480315,0.147637795275591,0,0,0.0452755905511811,0.00590551181102362,0,0.00393700787401575,0.00196850393700787,0,0,0.00196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,3058,0.00352112676056338,0.0158450704225352,0,0,0,0.382042253521127,0.0123239436619718,0.0651408450704225,0.00352112676056338,0.00176056338028169,0.00176056338028169,0.00880281690140845,0,0,0.0352112676056338,0.022887323943662,0,0.0105633802816901,0,0.00880281690140845,0.00704225352112676,0,0,0,0.0211267605633803,0.0528169014084507,0,0,0.00352112676056338,0,0,0.00176056338028169,0,0.276408450704225,0,0,0.0404929577464789,0.00528169014084507,0,0.00704225352112676,0.00880281690140845,0,0,0.00176056338028169,0,0,0,0,0,0,0.00176056338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3450,0.00656455142231947,0.0153172866520788,0,0,0.00218818380743982,0.536105032822757,0.00218818380743982,0.050328227571116,0,0,0,0,0,0.0175054704595186,0.0109409190371991,0.0240700218818381,0.00437636761487965,0.0153172866520788,0,0.0153172866520788,0,0,0,0,0.0328227571115974,0.0262582056892779,0.00218818380743982,0,0.0196936542669584,0.0153172866520788,0,0.00218818380743982,0,0.144420131291028,0,0,0.0350109409190372,0.0087527352297593,0,0.00656455142231947,0,0,0,0,0,0,0,0,0,0,0,0.00218818380743982,0.00218818380743982,0.00218818380743982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
