"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Celtis","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Morus","Myrica","Parnassia","Potentilla","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.viviparum","Populus","Pinaceae.undiff.","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Caryophyllaceae","Cerealia","Brassicaceae","Urticaceae","Thalictrum","Rhus","Liquidambar"
6,119,0,0,0.00615384615384615,0.00307692307692308,0.233846153846154,0,0.0461538461538462,0,0.00615384615384615,0.0123076923076923,0,0,0.0153846153846154,0.00615384615384615,0.0215384615384615,0.00615384615384615,0,0.0123076923076923,0,0.00307692307692308,0.0861538461538462,0,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0,0,0.0215384615384615,0.283076923076923,0,0.00307692307692308,0,0,0,0.00307692307692308,0,0,0,0.00307692307692308,0.104615384615385,0.0215384615384615,0.0430769230769231,0.0492307692307692,0,0,0,0,0,0.00307692307692308,0,0,0,0.00307692307692308,0
10,228,0,0,0.0227272727272727,0,0.335227272727273,0,0.0340909090909091,0,0,0.00568181818181818,0,0,0.00568181818181818,0.0113636363636364,0.0142045454545455,0,0,0,0,0,0.096590909090909,0,0,0,0.00568181818181818,0,0,0.0142045454545455,0,0,0,0,0,0,0,0.00852272727272727,0.221590909090909,0.00284090909090909,0,0,0,0,0.00852272727272727,0,0,0,0,0.113636363636364,0.0255681818181818,0.0227272727272727,0.0511363636363636,0,0,0,0,0,0,0,0,0,0,0
20,501,0,0,0.0548387096774194,0,0.145161290322581,0.0032258064516129,0.064516129032258,0,0,0.0064516129032258,0,0,0,0,0.0193548387096774,0,0.0032258064516129,0.0193548387096774,0,0,0.0516129032258065,0,0.0064516129032258,0,0.0064516129032258,0,0,0.0032258064516129,0,0,0,0,0,0,0.0032258064516129,0.032258064516129,0.261290322580645,0.0032258064516129,0.0032258064516129,0,0,0,0.0129032258064516,0.0032258064516129,0,0,0,0.151612903225806,0.0258064516129032,0.0290322580645161,0.0870967741935484,0,0,0,0,0,0.0032258064516129,0,0,0,0,0
40,1056,0.00306748466257669,0,0.131901840490798,0.0122699386503067,0.0245398773006135,0.00920245398773006,0.0613496932515337,0,0.00920245398773006,0.00306748466257669,0,0,0,0,0.0306748466257669,0,0.00306748466257669,0.0460122699386503,0,0,0.00613496932515337,0,0,0.00306748466257669,0.0153374233128834,0,0,0.0122699386503067,0,0,0,0,0,0.00306748466257669,0,0,0.196319018404908,0,0.00613496932515337,0,0,0,0.0122699386503067,0.00306748466257669,0,0,0,0.147239263803681,0.0460122699386503,0.0245398773006135,0.190184049079755,0,0,0,0,0,0,0,0,0,0,0
60,1632,0.00560224089635854,0,0.0784313725490196,0.0112044817927171,0.00840336134453781,0.00560224089635854,0.109243697478992,0,0.0140056022408964,0.00840336134453781,0.00280112044817927,0,0.00280112044817927,0,0,0.0112044817927171,0.0112044817927171,0.103641456582633,0,0.00280112044817927,0.00840336134453781,0,0.00280112044817927,0,0.0140056022408964,0,0,0.0196078431372549,0,0.00280112044817927,0,0,0,0.00280112044817927,0,0.00560224089635854,0.187675070028011,0,0.0112044817927171,0,0,0,0.0252100840336134,0,0,0,0,0.0700280112044818,0.0336134453781513,0.109243697478992,0.128851540616246,0,0,0,0,0,0,0,0,0.00280112044817927,0,0
80,2240,0.0064516129032258,0,0.0903225806451613,0.0161290322580645,0.0129032258064516,0.0032258064516129,0.109677419354839,0,0.0064516129032258,0.0161290322580645,0,0,0,0,0.00967741935483871,0,0,0.0774193548387097,0.0064516129032258,0.0064516129032258,0.0193548387096774,0,0.0064516129032258,0,0,0,0,0.0032258064516129,0,0.0064516129032258,0,0,0,0,0,0.0129032258064516,0.27741935483871,0,0.0193548387096774,0,0,0,0.0225806451612903,0,0,0,0,0.0258064516129032,0.0354838709677419,0.0967741935483871,0.106451612903226,0,0,0,0,0,0,0,0,0.0032258064516129,0,0.0032258064516129
95,2724,0.00317460317460317,0,0.114285714285714,0.0126984126984127,0.0349206349206349,0.00634920634920635,0.0412698412698413,0,0.019047619047619,0.0253968253968254,0,0,0,0,0.0126984126984127,0,0.00317460317460317,0.0222222222222222,0,0.00634920634920635,0.019047619047619,0,0,0,0.0126984126984127,0,0,0.00317460317460317,0.00317460317460317,0.00952380952380952,0,0,0,0.00317460317460317,0,0.0126984126984127,0.285714285714286,0,0.0253968253968254,0,0,0,0.0158730158730159,0,0,0,0,0.0222222222222222,0.019047619047619,0.0984126984126984,0.168253968253968,0,0,0,0,0,0,0,0,0,0,0
115,3414,0.00783289817232376,0,0.10443864229765,0.00522193211488251,0.0182767624020888,0,0.0600522193211488,0,0.00261096605744125,0.0130548302872063,0.00783289817232376,0,0.00261096605744125,0,0.00522193211488251,0.0287206266318538,0.0704960835509138,0.02088772845953,0,0.00522193211488251,0.0130548302872063,0,0.00261096605744125,0,0.00783289817232376,0,0,0.00522193211488251,0,0.00261096605744125,0,0,0,0.00522193211488251,0,0.0182767624020888,0.193211488250653,0,0.00261096605744125,0,0,0,0.0339425587467363,0,0,0,0,0.232375979112272,0.031331592689295,0.0652741514360313,0.0339425587467363,0,0,0,0,0,0,0,0,0,0,0
135,4156,0.00285714285714286,0,0.0571428571428571,0.00285714285714286,0.02,0,0.0428571428571429,0,0.00285714285714286,0.02,0.00571428571428571,0,0,0.00285714285714286,0.00571428571428571,0.00285714285714286,0,0.00571428571428571,0,0.00285714285714286,0.00571428571428571,0,0,0,0.00285714285714286,0,0,0,0,0,0,0,0,0,0,0.00285714285714286,0.125714285714286,0,0.00285714285714286,0,0,0,0.00571428571428571,0,0,0,0,0.582857142857143,0.0228571428571429,0.0142857142857143,0.0571428571428571,0,0,0,0,0,0,0,0,0.00285714285714286,0,0
155,4899,0.00864553314121038,0,0.0489913544668588,0.00864553314121038,0.00864553314121038,0,0.0518731988472622,0,0.00864553314121038,0.0144092219020173,0,0,0.00576368876080692,0,0.00288184438040346,0.00288184438040346,0.00864553314121038,0.0288184438040346,0.0115273775216138,0.00576368876080692,0,0,0.00288184438040346,0,0.00576368876080692,0,0,0,0,0,0,0,0,0,0,0.0230547550432277,0.115273775216138,0,0.00288184438040346,0,0,0,0.0201729106628242,0,0,0,0,0.481268011527378,0.0259365994236311,0.0461095100864553,0.0605187319884726,0,0,0,0,0,0,0,0,0,0,0
