"depth","best.age","min.age","max.age"
0,NA,NA,NA
134,560,247,818
140,790,695,922
150,1105,1007,1215
160,1419,1283,1571
170,1755,1535,1952
180,2176,2027,2325
190,2598,2441,2749
200,3019,2824,3207
210,5755,5591,5912
232,8239,8074,8427
240,8915,8734,9164
250,9766,9549,10151
260,9892,9691,10231
270,10019,9822,10295
280,10145,9949,10369
290,10272,10070,10475
300,10399,10192,10596
320,10652,10433,10856
330,10778,10546,10991
340,10905,10653,11133
350,11015,10747,11255
360,11061,10815,11281
370,11106,10877,11317
380,11152,10932,11359
390,11197,10985,11405
400,11243,11036,11458
410,11289,11078,11511
420,11334,11120,11570
430,11380,11157,11632
440,11425,11189,11701
450,11470,11222,11762
460,11514,11280,11784
470,11558,11331,11813
480,11602,11374,11849
520,11777,11476,12046
530,11821,11473,12103
540,11865,11484,12296
550,12129,11840,12455
560,12612,12428,12810
570,12873,12671,13098
580,12911,12727,13119
590,12949,12774,13146
600,12987,12809,13175
610,13025,12835,13208
620,13063,12860,13252
630,13101,12881,13304
640,13139,12896,13363
650,13186,12945,13408
660,13241,13027,13439
670,13297,13102,13474
680,13352,13173,13517
690,13408,13240,13572
700,13463,13292,13632
710,13519,13334,13703
720,13574,13367,13779
730,13637,13443,13828
740,13706,13550,13859
750,13776,13630,13923
760,NA,NA,NA
766,NA,NA,NA
