"sample.depths","sample.ages","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Brasenia.schreberi","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Liquidambar","Liriodendron","Lonicera","Lycopodium.clavatum","Magnolia","Morus","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Populus","Potamogeton","Potamogetonaceae.undiff.","Prunus.Sorbus","Pteridium.type","Quercus","Rhamnaceae","Rhus","Rubus","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Saxifragaceae","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxodium","Thalictrum","Tilia","Trees.undiff.","Tsuga","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Vitis"
0,NA,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,7,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,24,0,0,3,0,0,34,0,131,0,1,5,0,0,0,0,0,0,64,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
134,560,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,7,0,11,0,10,0,0,0,0,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,147,0,1,1,0,0,7,0,42,0,0,2,0,0,0,0,0,0,84,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140,790,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,4,0,12,0,12,0,0,5,0,0,4,2,0,2,1,0,0,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,133,0,0,0,0,0,10,0,63,0,0,1,0,0,0,0,0,0,77,0,0,0,1,4,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
150,1105,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,10,1,0,0,0,0,0,1,4,2,1,0,3,0,0,15,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,160,0,0,3,0,0,6,0,45,0,0,3,0,0,0,0,0,0,83,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
160,1419,0,0,2,0,0,0,1,0,3,0,2,0,0,0,1,0,9,0,6,0,4,0,0,0,0,0,0,0,0,1,11,0,0,13,0,0,0,0,0,0,11,0,0,0,2,0,1,1,0,207,0,2,1,0,0,7,0,58,0,0,2,0,0,0,0,0,1,67,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,1755,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,8,0,10,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,181,0,0,0,0,0,4,0,26,0,0,2,0,0,0,0,0,0,69,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
180,2176,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,13,0,3,0,0,0,0,0,0,3,0,1,7,0,0,13,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,204,0,1,1,0,0,6,0,42,0,0,1,1,0,1,0,0,0,116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2598,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,6,0,16,0,5,0,0,0,2,0,0,1,1,0,2,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,231,0,0,0,0,0,6,2,29,0,0,1,0,0,0,0,0,1,86,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
200,3019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,8,0,1,1,0,0,0,0,0,1,0,0,2,0,0,18,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,297,0,0,0,0,0,8,0,51,0,0,1,0,0,1,0,0,1,105,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210,5755,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,6,0,0,3,11,1,0,1,4,0,0,1,2,1,2,16,0,17,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,62,0,2,1,0,0,5,0,46,0,1,8,0,0,0,0,0,0,155,0,0,89,0,3,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
