"depth","best.age","min.age","max.age"
441,22,-65,123
443,565,481,662
445,1109,1023,1204
447,1652,1563,1750
449,2196,2101,2299
451,2739,2639,2854
452,3011,2908,3133
454,3554,3445,3693
455,3826,3712,3973
456,4098,3981,4256
458,4641,4516,4830
462,5728,5584,5970
464,6271,6117,6541
466,6815,6650,7115
468,7358,7181,7686
469,7630,7446,7972
470,7901,7712,8256
472,8445,8242,8825
474,8852,8640,9251
475,9124,8905,9535
476,11527,11180,11936
478,11598,11270,11986
480,11692,11387,12052
482,11786,11504,12122
484,11881,11616,12190
486,11975,11725,12259
488,12069,11830,12329
491,12210,11985,12440
494,12352,12140,12566
495,12399,12191,12611
496,12446,12242,12657
498,12540,12340,12749
500,12634,12434,12844
502,12728,12525,12943
504,12823,12608,13045
506,12887,12668,13116
508,12922,12705,13147
510,12957,12743,13181
512,12992,12779,13215
514,13027,12814,13249
515,13045,12832,13267
516,13062,12849,13285
518,13097,12884,13322
520,13133,12917,13358
522,13168,12949,13395
524,13203,12982,13433
526,13238,13012,13470
528,13273,13042,13508
530,13308,13072,13546
532,13343,13100,13584
534,13378,13128,13622
535,13395,13142,13642
536,13413,13155,13660
538,13448,13184,13701
555,13746,13406,14048
575,14096,13659,14489
595,14447,13903,14972
605,14622,14020,15215
615,14797,14135,15451
620,15469,14933,15953
625,16141,15657,16607
630,16813,16281,17341
635,17484,16838,18409
645,18382,17760,19252
665,20176,19564,20786
685,21971,21349,22600
705,23765,23083,24442
725,25560,24772,26301
745,27354,26441,28182
755,28251,27266,29127
775,30046,28916,31036
795,31840,30558,32958
815,33635,32192,34887
835,34095,32777,35232
855,34364,33201,35383
875,34634,33597,35581
895,34903,33956,35803
905,35038,34119,35925
915,35172,34266,36049
925,35307,34409,36180
935,35442,34544,36324
946,35590,34674,36499
955,35711,34770,36655
965,35846,34860,36837
975,35981,34931,37021
985,NA,NA,NA
995,NA,NA,NA
1005,NA,NA,NA
1015,NA,NA,NA
1025,NA,NA,NA
1035,NA,NA,NA
1045,NA,NA,NA
1055,NA,NA,NA
1065,NA,NA,NA
1075,NA,NA,NA
1095,NA,NA,NA
1105,NA,NA,NA
1115,NA,NA,NA
1125,NA,NA,NA
1144,NA,NA,NA
1155,NA,NA,NA
1162,NA,NA,NA
1175,NA,NA,NA
1185,NA,NA,NA
1195,NA,NA,NA
1205,NA,NA,NA
1215,NA,NA,NA
1225,NA,NA,NA
1245,NA,NA,NA
1260,NA,NA,NA
1283,NA,NA,NA
1303,NA,NA,NA
1313,NA,NA,NA
1323,NA,NA,NA
1333,NA,NA,NA
1343,NA,NA,NA
