"depth","best.age","min.age","max.age"
0,105,4,209
10,154,59,252
25,231,143,320
50,370,290,450
75,522,442,599
100,687,605,768
125,865,778,955
150,1056,961,1155
175,1260,1155,1367
200,1477,1362,1592
225,1706,1583,1829
250,1949,1819,2079
275,2205,2070,2341
300,2474,2335,2614
325,2756,2614,2899
350,3051,2908,3196
375,3359,3214,3503
400,3680,3536,3823
425,4013,3871,4155
450,4360,4221,4500
475,4720,4585,4857
500,5093,4963,5227
525,5479,5351,5608
550,5877,5752,6006
575,6289,6163,6418
600,6714,6584,6844
625,7152,7016,7288
650,7603,7458,7749
675,8066,7909,8225
700,8543,8370,8719
725,9033,8838,9227
750,9536,9319,9754
775,10051,9808,10297
800,10580,10307,10856
830,11232,10918,11546
855,NA,NA,NA
860,NA,NA,NA
