"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.viridis.type","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Tsuga","Ulmus","Fraxinus","Pinus","Rosaceae","Larix","Platanus","Juglans","Myrica","Populus","Carya","Herbs.undiff.","Salix","Acer.undiff.","Sarcobatus.vermiculatus","Corylus","Ericaceae","Shrubs.undiff.","Tilia","Acer.saccharinum.type","Taxus","Morus","Trees.undiff."
0,105,458,7,13,2,15,3,33,5,117,5,18,6,1,10,25,70,9,1,7,5,4,94,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,154,585,5,8,0,9,4,4,4,122,1,8,10,6,33,31,128,17,0,17,8,3,158,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,231,561,5,9,0,3,4,1,2,123,0,14,6,4,14,28,136,16,0,16,2,1,168,0,2,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0
50,370,551,8,7,2,2,1,3,1,104,1,8,8,2,19,26,148,11,0,17,1,1,175,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
75,522,584,2,6,0,7,2,1,3,143,0,6,3,4,16,31,148,16,0,17,3,1,171,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
100,687,598,3,11,3,7,3,1,9,145,1,5,4,2,13,34,141,14,0,13,6,0,175,0,4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
125,865,509,5,7,0,7,2,6,0,120,0,4,3,3,18,31,111,22,0,12,5,3,145,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
150,1056,651,7,8,1,8,3,4,4,156,1,1,13,9,25,34,138,21,0,25,9,3,171,0,2,1,0,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0
175,1260,530,4,6,0,7,8,2,2,103,3,2,5,3,19,29,133,14,0,11,3,5,161,0,2,1,0,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0
200,1477,498,6,4,0,10,1,1,2,143,0,8,5,8,9,20,111,12,0,13,4,1,131,0,3,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0
225,1706,573,2,15,0,8,4,3,3,151,1,7,6,1,5,24,139,15,0,16,5,1,162,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
250,1949,587,1,11,0,13,3,4,2,169,1,9,6,4,7,22,137,17,0,11,1,4,158,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
275,2205,608,4,13,1,14,3,2,1,125,1,7,1,6,10,18,166,25,0,14,3,3,183,0,1,0,0,0,2,1,0,0,2,0,0,1,0,0,0,1,0,0
300,2474,594,3,6,1,12,1,1,3,125,0,9,9,0,14,8,174,19,0,19,2,2,181,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
325,2756,562,5,6,0,12,2,0,3,147,1,8,5,6,3,9,151,21,0,8,3,3,159,0,1,0,0,0,2,0,0,1,0,0,3,0,0,1,0,2,0,0
350,3051,622,5,6,0,7,5,0,5,138,3,4,5,4,3,14,181,15,0,12,6,5,195,0,1,1,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0
375,3359,516,4,11,0,14,4,1,3,79,2,11,6,11,0,13,156,14,0,4,5,2,168,0,1,0,0,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0
400,3680,755,1,10,2,11,1,3,2,91,0,8,4,8,3,22,251,35,0,7,7,6,273,0,3,0,0,1,1,1,0,1,0,2,0,0,1,0,0,0,0,0
425,4013,626,4,13,1,9,5,2,3,70,1,21,5,10,2,19,181,50,0,8,11,1,199,0,0,2,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
450,4360,677,3,18,3,9,5,8,3,55,1,14,6,4,1,28,222,26,0,3,9,4,249,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0
475,4720,768,1,18,4,8,5,1,8,72,4,13,5,16,5,40,236,28,0,4,4,10,275,0,1,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0
500,5093,614,1,12,1,11,5,1,7,42,5,8,4,8,7,37,168,28,0,43,10,3,204,0,2,0,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0
525,5479,735,1,7,0,13,5,2,1,47,0,4,1,12,1,42,245,30,0,17,2,8,287,1,0,1,1,0,2,0,1,2,0,0,0,0,0,1,0,0,1,0
550,5877,721,3,6,2,5,3,0,3,56,1,3,2,19,3,30,249,28,0,10,10,5,278,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
575,6289,729,0,8,1,9,4,1,5,38,4,6,2,23,0,43,240,35,0,1,17,5,282,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0
600,6714,662,2,5,0,15,11,3,3,50,2,4,8,19,0,53,218,24,0,0,10,1,222,0,0,1,0,2,5,1,0,1,1,0,0,1,0,0,0,0,0,0
625,7152,755,2,5,3,7,5,1,0,40,4,4,2,5,3,61,277,27,0,0,9,7,287,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0
650,7603,889,2,2,2,2,2,4,2,30,4,0,2,14,0,66,326,13,0,0,13,6,392,0,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0
675,8066,886,2,3,0,10,5,8,3,38,7,1,3,10,5,74,331,7,0,0,9,7,353,0,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0
700,8543,483,3,0,0,7,4,4,3,60,2,6,4,5,4,9,68,6,0,0,6,4,276,1,0,0,0,2,6,0,1,1,0,1,0,0,0,0,0,0,0,0
725,9033,563,6,1,0,8,14,2,3,74,2,2,4,3,19,49,99,9,0,0,8,5,247,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
750,9536,418,7,2,0,8,5,7,3,41,1,7,5,3,30,13,18,18,0,0,4,1,230,0,1,0,3,6,2,0,0,2,0,0,1,0,0,0,0,0,0,0
775,10051,516,3,1,0,8,0,8,5,39,4,0,8,7,27,95,11,5,0,0,9,3,255,0,4,1,0,14,6,1,0,1,0,0,1,0,0,0,0,0,0,0
800,10580,444,3,3,0,1,0,6,8,29,1,3,2,5,31,29,19,11,0,0,21,4,247,1,5,0,0,6,6,2,0,1,0,0,0,0,0,0,0,0,0,0
830,11232,463,5,0,0,1,1,2,9,28,2,2,7,6,33,25,22,15,0,0,17,3,245,0,8,1,0,17,6,2,0,4,0,1,0,0,0,1,0,0,0,0
