"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cornus.sericea","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Hippuris.vulgaris","Huperzia.selago.type","Hypericum","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.sibiricum.type","Nuphar","Onagraceae","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus.chamaemorus","Salix","Sambucus","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff."
120,2345,13,4,0,8,6,0,1,3,0,180,1,0,0,1,0,0,0,16,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,95,26,0,36,10,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,4,0,5,0,0,1,0,0
135,2638,34,4,0,8,6,0,0,4,0,225,0,0,0,0,2,0,4,24,0,10,0,10,8,0,0,1,0,1,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,107,50,0,48,17,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,6,1,0,0,0,0
150,2931,35,0,0,5,2,0,0,0,0,171,0,0,0,0,0,0,0,45,0,2,0,7,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,145,39,0,46,14,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,5,0,3,1,1,0,0,0
160,3259,16,4,1,10,4,1,0,3,0,298,0,0,0,0,1,0,0,33,0,0,0,8,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,71,43,0,50,37,1,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,3,0,4,2,5,1,0,0
175,3949,41,8,0,13,1,0,0,3,3,299,0,1,1,0,0,0,0,21,0,0,0,5,7,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,52,41,0,45,30,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,1,1,1,0,3,1,1,1,0,0
185,4409,8,2,0,4,12,1,0,2,0,339,0,0,0,0,0,0,0,26,0,2,0,7,3,1,0,2,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,21,21,0,37,20,0,0,0,0,0,0,9,1,0,0,2,0,0,1,1,0,0,7,0,4,1,1,0,0,0
200,5099,17,4,0,9,6,0,0,2,1,233,0,0,0,0,0,0,0,16,0,1,0,2,4,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,52,35,0,31,34,3,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,6,1,5,2,3,0,0,0
210,5559,9,5,0,1,8,1,0,0,1,247,0,0,0,0,0,0,1,11,0,1,0,5,1,1,0,0,0,5,0,0,0,3,3,2,0,9,0,0,0,0,0,0,0,0,1,1,49,22,0,67,20,2,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,10,0,4,1,1,0,0,0
220,NA,5,4,0,2,114,0,3,1,7,532,0,0,0,1,0,0,4,5,3,1,1,3,5,0,0,0,1,4,336,0,0,0,1,19,17,0,2,1,1,0,0,1,0,0,10,1,3,5,1,8,20,34,0,0,0,1,0,27,0,0,0,3,0,0,19,1,0,0,1,0,6,15,28,5,0,0
225,NA,3,2,0,12,100,0,5,5,5,239,1,0,0,0,1,0,6,38,0,0,0,0,4,0,1,0,0,0,162,0,0,0,1,11,7,0,4,0,0,0,0,0,0,0,1,0,11,11,0,33,18,56,0,2,2,0,0,41,1,1,0,14,0,0,1,0,0,2,1,0,14,15,9,4,1,0
