"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Ulmus","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Juglans.cinerea","Juniperus.type","Castanea.dentata","Corylus.cornuta","Acer.spicatum","Fraxinus.pennsylvanica.type","Picea.glauca.type","Amaranthaceae","Sambucus","Thalictrum","Tilia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Carya.ovata","Ranunculaceae.undiff.","Salix","Taxus","Juniperus.communis.Thuja.occidentalis.type","Hypericum","Fabaceae","Myrica.gale","Pinus.banksiana.type","Populus.tremuloides.type","Rosaceae.undiff.","Viburnum.edule","Shepherdia.canadensis","Potentilla.palustris.type","Rubus.chamaemorus","Populus.balsamifera.type","Viburnum.undiff.","Onagraceae","Cornus.sericea"
120,2345,428,8,6,1,3,180,1,16,1,7,1,1,2,95,10,7,5,1,13,4,36,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2638,578,8,6,0,4,225,0,24,10,10,8,4,0,107,17,4,6,0,34,4,48,1,50,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2931,530,5,2,0,0,171,0,45,2,7,3,2,0,145,14,6,3,0,35,0,46,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3259,607,10,4,0,3,298,0,33,0,8,5,0,2,71,37,10,4,1,16,4,50,3,43,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3949,593,13,1,0,3,299,0,21,0,5,7,2,0,52,30,12,3,0,41,8,45,1,41,1,0,0,0,0,0,0,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,4409,537,4,12,0,2,339,0,26,2,7,3,4,1,21,20,9,4,0,8,2,37,7,21,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5099,471,9,6,0,2,233,0,16,1,2,4,3,1,52,34,4,5,3,17,4,31,6,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5559,481,1,8,0,0,247,0,11,1,5,1,3,1,49,20,7,4,2,9,5,67,10,22,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,NA,812,2,114,3,1,532,1,5,1,3,5,1,10,3,20,27,6,34,5,4,8,1,5,0,0,0,4,0,0,1,0,0,0,0,7,0,0,0,3,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
225,NA,632,12,100,5,5,239,0,38,0,0,4,1,1,11,18,41,14,56,3,2,33,1,11,0,0,1,6,0,0,0,0,0,0,2,5,0,0,1,14,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0
235,NA,691,7,104,3,7,265,0,25,1,1,5,0,2,40,14,41,8,34,4,5,65,2,11,0,8,0,1,1,1,0,2,0,0,0,7,0,2,0,15,0,0,0,0,2,0,4,0,1,1,1,1,0,0,0,0
240,NA,397,8,59,1,3,157,0,16,0,0,4,0,1,14,9,20,14,14,0,1,44,1,6,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1,15,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
245,NA,573,9,78,4,4,206,0,23,2,0,7,0,1,28,10,35,11,32,3,1,65,2,13,1,5,0,1,0,0,0,1,0,1,0,2,0,0,0,20,1,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0
250,NA,520,11,72,1,9,200,0,16,5,1,7,0,0,20,15,30,6,16,1,1,52,1,14,1,5,1,0,0,0,0,0,0,1,0,3,0,0,0,20,1,0,0,0,1,0,1,0,1,0,2,0,4,0,0,1
