"depth","best.age","min.age","max.age"
5,136,110,162
25,682,549,815
50,1363,1096,1630
75,2045,1645,2446
100,2649,2154,3144
125,2941,2489,3382
150,3234,2805,3656
175,3526,3088,3960
200,3819,3334,4292
225,4112,3554,4645
250,4404,3762,5012
275,4697,3955,5385
300,4975,4170,5713
325,5194,4499,5836
350,5414,4821,5974
375,5634,5128,6128
399,5845,5391,6301
425,6073,5630,6525
450,6293,5818,6777
475,6512,5956,7043
499,6711,6203,7196
525,6926,6472,7367
550,7133,6726,7533
575,7340,6977,7704
600,7546,7218,7877
625,7753,7451,8056
650,7960,7677,8245
675,8167,7890,8443
700,8373,8089,8646
725,8580,8276,8856
740,8704,8381,8989
750,8913,8615,9181
760,9247,8997,9494
775,9749,9503,10012
780,9917,9649,10201
785,10084,9777,10388
790,10251,9851,10585
795,10418,9966,10787
800,10579,10270,10890
805,10739,10386,11077
810,10900,10427,11310
815,NA,NA,NA
820,NA,NA,NA
830,NA,NA,NA
840,NA,NA,NA
850,NA,NA,NA
855,NA,NA,NA
859,NA,NA,NA
