"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Lamiaceae","Malvaceae","Onagraceae","Plantago","Poaceae","Polygonum"
229,939,0,0,0,0.002873563,0.060344828,0,0,0,0,0.002873563,0,0,0.002873563,0,0,0,0.017241379,0,0,0,0,0,0.00862069,0.635057471,0,0.247126437,0,0.002873563,0,0,0,0,0,0,0,0,0,0.020114943,0,0,0,0,0,0
239,1172,0,0,0.002932551,0.005865103,0.085043988,0,0,0,0,0,0.002932551,0,0,0,0,0.002932551,0.014662757,0,0,0,0,0.002932551,0.008797654,0.501466276,0,0.360703812,0,0,0,0,0,0.002932551,0,0,0,0,0,0.002932551,0,0,0,0,0.005865103,0
249,1406,0,0.003125,0,0.009375,0.071875,0,0,0,0,0,0.009375,0,0,0,0,0,0.0125,0,0,0,0,0,0.00625,0.41875,0,0.43125,0,0,0.003125,0,0,0,0,0,0.003125,0,0.00625,0.01875,0,0,0,0,0.00625,0
259,1639,0,0,0,0.006329114,0.060126582,0,0,0,0,0,0.015822785,0,0,0,0,0.009493671,0.028481013,0,0,0,0,0,0.003164557,0.42721519,0,0.417721519,0,0,0.015822785,0,0,0,0,0,0.003164557,0,0,0,0,0,0,0,0.012658228,0
269,1873,0,0.003003003,0.003003003,0.006006006,0.06006006,0,0,0,0,0.006006006,0.015015015,0,0,0,0,0.003003003,0.009009009,0,0,0,0.003003003,0,0.003003003,0.351351351,0,0.507507508,0,0,0,0.003003003,0,0.003003003,0,0,0.003003003,0,0.003003003,0.012012012,0,0,0,0,0.006006006,0
279,2107,0,0,0,0.012698413,0.085714286,0,0,0,0,0.012698413,0.031746032,0,0,0,0,0.003174603,0.015873016,0,0,0,0,0,0.003174603,0.380952381,0,0.428571429,0,0,0.006349206,0,0,0.006349206,0,0,0.006349206,0,0.003174603,0,0,0,0,0.003174603,0,0
299,2574,0,0.005780347,0.005780347,0.00867052,0.080924855,0,0,0,0,0,0.020231214,0,0,0,0,0.002890173,0.01734104,0.002890173,0,0,0.005780347,0,0.00867052,0.352601156,0,0.456647399,0,0.002890173,0,0.002890173,0,0.011560694,0,0,0.002890173,0,0.005780347,0,0,0,0,0,0.005780347,0
309,2807,0,0,0,0.022435897,0.070512821,0.003205128,0,0,0,0.003205128,0.003205128,0,0,0.003205128,0,0,0.025641026,0,0,0,0.003205128,0.009615385,0,0.387820513,0,0.429487179,0,0,0.009615385,0,0,0.009615385,0,0,0.003205128,0,0.012820513,0,0,0,0,0,0.003205128,0
319,3041,0,0,0,0.011730205,0.06744868,0,0,0,0,0.017595308,0.008797654,0,0.002932551,0.002932551,0,0,0.008797654,0,0,0,0.008797654,0,0,0.343108504,0,0.48973607,0,0,0.005865103,0,0,0.002932551,0,0,0.005865103,0,0.005865103,0.011730205,0,0,0,0,0.005865103,0
329,3275,0,0,0,0.014925373,0.080597015,0,0,0,0,0.008955224,0.011940299,0,0,0.002985075,0,0.002985075,0.020895522,0,0,0,0.005970149,0.002985075,0.005970149,0.397014925,0,0.420895522,0,0,0.002985075,0.002985075,0,0.005970149,0,0,0.002985075,0,0.005970149,0,0,0,0,0,0.002985075,0
339,3508,0,0.003134796,0.003134796,0.006269592,0.084639498,0.003134796,0,0,0,0.006269592,0.006269592,0,0,0,0,0.003134796,0.012539185,0,0,0,0.006269592,0.003134796,0.003134796,0.351097179,0,0.451410658,0,0,0.009404389,0.003134796,0,0.006269592,0,0,0,0,0.009404389,0.006269592,0,0,0,0,0.021943574,0
349,3742,0,0,0,0.008746356,0.104956268,0,0,0,0,0,0.005830904,0,0,0,0,0.005830904,0.014577259,0,0,0,0.005830904,0.005830904,0,0.349854227,0,0.475218659,0,0.002915452,0.005830904,0,0,0.002915452,0,0,0.005830904,0,0.005830904,0,0,0,0,0,0,0
359,3975,0,0,0.002898551,0.008695652,0.069565217,0,0,0,0,0,0.014492754,0,0.002898551,0.002898551,0,0.005797101,0.011594203,0.002898551,0,0.002898551,0.008695652,0.002898551,0.008695652,0.257971014,0,0.556521739,0,0,0,0,0,0.008695652,0,0,0,0,0.011594203,0,0,0,0,0,0.020289855,0
369,4209,0,0.003164557,0.003164557,0.003164557,0.098101266,0,0,0,0,0.006329114,0.003164557,0,0,0.006329114,0,0,0.012658228,0,0,0,0,0,0.003164557,0.401898734,0,0.424050633,0,0,0.006329114,0.006329114,0,0,0,0,0.009493671,0,0.006329114,0.006329114,0,0,0,0,0,0
375,4349,0,0,0.003164557,0.003164557,0.101265823,0,0,0,0,0,0,0,0.003164557,0.003164557,0,0.006329114,0.022151899,0,0,0,0.003164557,0,0.012658228,0.265822785,0,0.547468354,0,0,0.003164557,0.003164557,0,0.006329114,0,0,0,0,0.003164557,0.009493671,0,0,0,0,0.003164557,0
379,4443,0,0,0,0,0.095975232,0,0,0,0,0,0.003095975,0,0.00619195,0,0,0.003095975,0.015479876,0,0,0,0,0,0.003095975,0.495356037,0,0.362229102,0,0,0.009287926,0,0,0,0,0,0,0,0,0.003095975,0,0,0,0.003095975,0,0
385,4583,0,0,0,0.003267974,0.104575163,0,0,0,0,0,0,0,0.013071895,0,0,0,0.019607843,0,0,0,0.006535948,0.003267974,0.003267974,0.326797386,0,0.493464052,0,0,0.003267974,0.003267974,0,0.006535948,0,0,0.003267974,0,0,0.003267974,0,0,0,0,0.006535948,0
389,4645,0,0.003215434,0.009646302,0.003215434,0.067524116,0,0,0,0,0.019292605,0.012861736,0,0,0,0,0,0.003215434,0,0,0,0.003215434,0.006430868,0.006430868,0.302250804,0,0.485530547,0,0,0.003215434,0.006430868,0,0.01607717,0,0,0.006430868,0,0.006430868,0,0,0,0,0,0.038585209,0
395,4660,0,0,0.003205128,0.003205128,0.115384615,0,0,0,0,0,0,0,0.009615385,0.003205128,0,0.003205128,0.016025641,0,0,0,0,0,0.003205128,0.352564103,0,0.455128205,0,0.003205128,0.006410256,0,0,0,0,0,0.006410256,0,0.003205128,0,0,0,0,0,0.016025641,0
397,4665,0,0,0.003257329,0.003257329,0.100977199,0,0,0,0,0,0.003257329,0,0,0,0,0,0.019543974,0,0,0,0.006514658,0,0.003257329,0.338762215,0,0.51465798,0,0,0.003257329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003257329,0
399,4670,0,0,0,0.006269592,0.115987461,0,0,0,0,0,0.009404389,0,0.003134796,0,0,0,0.018808777,0,0,0,0.006269592,0.003134796,0.012539185,0.498432602,0,0.297805643,0,0,0.003134796,0,0,0,0,0,0,0,0,0.009404389,0,0,0,0,0.015673981,0
