"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Iva","Lamiaceae","Malvaceae","Plantago","Poaceae","Polygonum"
307,619,316,0,2,4,19,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,121,0,155,0,1,3,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,2,0
309,622,316,1,0,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,124,0,159,0,0,1,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0
311,625,420,2,0,6,38,1,0,3,0,0,0,0,0,0,0,1,5,0,0,0,3,0,1,174,0,170,0,0,6,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,2,0
313,628,392,1,2,6,31,0,0,0,0,0,0,0,0,0,0,4,6,0,0,1,4,1,3,192,0,124,0,0,6,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4,0
319,637,397,0,3,4,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,0,192,0,2,8,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
329,651,317,0,0,5,43,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,1,121,0,131,0,0,1,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
339,666,317,0,0,4,29,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,126,0,142,0,0,3,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0
339.1,666.5,405,0,3,5,42,0,0,0,0,5,0,0,0,0,0,2,3,0,0,0,2,0,3,157,0,165,0,0,8,3,0,1,1,1,0,0,2,1,0,0,0,0,0,0,1,0
349,674,299,4,0,3,26,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,90,0,159,0,0,5,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0
359,681,340,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,89,0,205,0,0,5,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0
369,688,311,0,0,3,45,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,94,0,160,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,731,341,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,152,0,133,0,1,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
389,774,305,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,111,0,143,0,0,4,1,1,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0
399,817,381,0,2,8,39,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,1,108,0,200,0,1,8,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0
401,826,334,0,0,5,34,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,1,1,104,0,171,0,0,2,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,3,0
407,852,351,1,1,5,31,0,0,0,0,3,0,0,0,0,0,1,5,1,0,0,3,0,0,51,0,235,0,0,3,0,1,1,0,0,0,0,6,1,0,0,0,0,0,0,2,0
409,860,303,0,2,7,37,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,2,1,146,0,88,0,0,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
411,869,440,0,1,12,27,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,3,0,3,70,0,303,0,0,2,2,0,2,0,1,0,0,4,3,0,0,0,0,0,0,1,0
419,903,375,1,0,2,36,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,113,0,210,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
