"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Bidens.type","Cyperaceae","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Liliaceae","Juglans","Populus","Amaranthaceae","Poaceae","Stachys.type","Pinus.banksiana.type","Eupatorium.type","Iva.type","Polygonum.cf..P..scandens","Apiaceae","Chamaecrista.type","Juniperus.type","Brassica","Opuntia","Ranunculus","Lactuca.type","Celtis","Ephedra","Rosaceae","Cornus.cf..C..sericea","Eriogonum","Dalea","Vitis","Centaurea.type","Helianthus.type","Picea","Salix","Mentha.type","Acer.negundo.type","Solanaceae.type","Xanthium.type","Polygonum.cf..P..lapathifolium","Alnus","Betula","Carya","Corylus","Carpinus.type","Rumex","Shepherdia","Plantago","Fraxinus.cf..F..nigra","Elaeagnus","Onagraceae","Rhamnus","Sambucus.type","Morus.type","Amorpha","Limonium.cf..L..limbatum","cf..Nemopanthus","Calystegia","Thalictrum","Caryophyllaceae","Urtica","Larix","Abies"
218,17,366,29,4,5,53,4,2,5,1,1,1,2,226,18,1,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,935,369,35,7,9,40,5,1,5,0,0,0,2,234,9,0,4,1,4,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,1852,376,38,6,8,53,2,2,3,1,0,0,1,228,16,0,3,2,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2679,367,30,5,5,36,2,1,3,1,1,0,1,234,21,0,3,3,5,9,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,3596,362,34,7,6,44,2,1,4,1,0,0,0,215,28,0,2,3,3,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,4514,348,57,9,2,32,3,3,6,0,3,0,0,154,37,1,2,1,6,16,1,7,1,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,5432,369,79,13,3,22,6,3,6,1,1,0,1,146,35,2,7,2,7,25,0,6,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,6312,383,70,11,3,20,4,3,8,0,1,0,1,161,29,2,5,3,9,38,1,9,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,6847,379,99,14,6,24,5,3,8,1,1,0,1,127,28,3,4,1,9,30,1,7,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,7382,354,83,8,2,9,3,4,8,2,2,0,2,144,32,5,3,3,7,19,1,8,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,7917,377,81,12,2,19,2,3,7,1,1,0,1,163,32,5,3,2,10,17,1,8,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,8452,376,90,20,2,17,7,3,5,0,1,0,1,151,27,3,4,3,8,16,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,8987,420,99,13,1,15,7,2,6,0,0,0,1,169,36,2,7,2,23,18,1,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,9522,389,76,14,4,24,3,2,5,2,1,0,2,172,37,1,2,0,10,23,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,10057,377,88,20,3,8,4,0,6,0,0,0,0,210,17,2,1,1,5,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,10645,320,48,12,1,7,4,1,4,0,0,0,0,179,33,1,2,0,11,9,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
