"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Indeterminable","Juglans","Lamiaceae","Larix","Lycopodium.type","Menyanthes.trifoliata","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Salix","Sphagnum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete."
191,NA,0,10,1,1,1,0,1,19,7,0,0,2,0,0,4,0,15,7,0,0,0,4,0,0,2,0,0,0,2,3,35,0,2,1,4,0,58,0,1,5,0,8,1,0,11,0,0
196,NA,0,4,2,0,2,1,1,11,1,0,0,0,1,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,22,0,0,2,0,0,42,0,0,1,0,0,1,0,2,0,0
206,NA,0,5,3,0,1,0,0,14,2,0,1,2,1,0,0,0,20,7,0,0,0,1,0,0,2,0,0,0,2,2,51,0,0,3,4,0,63,1,0,2,0,3,5,0,6,0,0
216,NA,0,2,0,1,2,0,0,4,0,0,0,0,0,0,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,129,0,0,2,0,0,52,0,0,1,0,0,1,0,3,0,1
226,NA,0,6,1,0,3,1,0,5,0,0,2,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,10,116,0,0,2,0,0,42,0,0,0,0,2,1,0,10,0,1
231,1188,0,8,1,1,1,2,0,11,1,0,0,4,0,0,4,0,19,5,0,0,0,0,0,0,1,0,0,2,0,1,31,0,2,1,4,0,78,0,0,2,0,6,3,4,12,1,0
236,1257,0,3,2,1,0,0,1,14,2,0,0,0,1,0,0,0,48,2,0,0,0,2,0,0,1,0,2,0,0,0,4,0,0,0,0,0,97,0,0,2,0,8,2,0,11,0,0
246,1396,0,7,3,0,2,0,0,14,3,0,0,0,0,0,0,0,38,6,1,0,0,1,0,0,0,0,0,0,0,1,17,0,0,1,0,0,98,0,0,3,0,2,1,0,7,0,1
256,1535,0,9,0,0,1,0,1,8,3,0,0,0,0,0,4,0,48,2,1,0,1,0,0,0,0,0,0,0,2,0,19,0,1,1,2,0,80,0,0,1,0,6,2,4,9,0,0
266,1673,0,10,1,1,0,1,0,15,4,0,3,3,0,0,4,0,24,2,0,0,0,2,0,0,0,0,0,0,0,1,18,0,0,1,3,0,91,1,0,1,0,3,1,0,12,0,0
276,1812,0,8,2,0,2,1,0,4,2,0,0,0,1,0,0,1,46,5,1,1,0,2,0,0,0,0,0,0,0,0,18,0,0,1,0,0,95,0,1,3,0,5,2,0,8,0,1
286,1951,0,7,0,1,5,0,1,19,2,0,1,0,0,0,0,0,32,8,0,1,0,1,0,0,1,0,0,0,0,0,14,0,1,1,1,0,105,0,0,5,0,2,0,4,8,0,1
296,2090,0,5,0,0,0,0,2,17,1,0,0,0,0,0,0,0,28,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,134,0,0,3,0,4,2,0,5,0,0
306,2228,0,4,0,0,1,0,1,11,2,0,0,0,1,0,0,0,28,6,0,0,3,3,0,0,0,0,2,0,0,0,8,0,0,0,2,0,113,0,0,2,0,1,3,0,12,0,0
316,2367,0,4,0,1,1,2,1,13,0,0,0,0,1,0,0,0,19,9,1,0,0,2,0,0,0,0,1,0,1,0,4,0,0,0,2,0,132,0,0,1,0,3,0,0,6,0,0
326,2506,0,9,1,1,0,0,2,6,4,0,3,0,1,0,0,0,21,11,0,0,0,2,0,0,0,0,1,0,2,0,12,0,2,0,2,0,112,0,1,8,0,3,5,0,15,0,1
336,2644,0,5,2,1,2,0,3,6,0,0,0,0,0,0,0,0,15,4,0,0,0,2,0,0,1,0,1,1,0,0,10,0,0,1,6,0,127,0,0,2,0,1,1,4,13,0,0
346,2783,0,15,0,0,0,0,1,13,1,0,1,0,0,1,0,1,21,4,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,2,0,0,107,0,0,5,0,4,0,0,16,0,0
356,2922,0,5,2,2,0,0,2,19,1,0,1,1,0,0,0,0,26,7,1,1,0,1,0,0,0,2,0,0,0,0,8,0,0,0,2,0,119,0,0,3,0,3,0,0,7,0,1
366,3061,0,3,2,1,4,0,0,15,1,0,1,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,2,5,0,136,0,0,6,0,2,1,0,12,2,0
376,3199,0,5,1,2,1,0,4,13,0,0,1,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,2,0,132,0,0,2,0,2,3,0,9,0,1
386,3338,0,12,1,1,0,1,0,7,2,0,0,0,0,0,0,0,32,10,0,0,0,2,0,0,1,0,0,0,0,0,13,0,0,1,3,0,92,0,0,2,0,7,0,0,14,0,1
396,3477,0,7,0,1,0,0,1,4,3,0,0,1,0,0,0,0,19,9,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,0,0,0,127,0,0,2,0,7,0,0,12,1,0
406,3615,0,8,0,0,2,1,0,7,4,0,1,1,1,0,0,1,36,10,1,1,0,1,0,0,3,0,0,1,3,0,10,0,0,3,2,0,96,0,0,2,0,3,1,0,14,0,0
416,3754,0,7,2,0,0,0,2,12,1,0,0,0,0,0,0,0,11,8,0,0,0,2,0,0,2,1,0,0,0,0,17,0,2,0,0,0,104,0,0,2,0,5,0,0,25,0,1
426,3893,0,18,1,2,1,0,2,11,4,0,0,0,0,0,0,0,24,10,0,0,0,2,0,0,0,1,0,0,0,0,13,0,1,0,2,0,84,0,0,2,0,2,3,4,19,0,0
436,4032,0,10,1,0,1,0,0,15,0,0,0,0,0,0,0,0,13,9,1,0,0,1,0,0,0,1,1,1,0,0,13,0,0,1,6,0,124,0,0,2,0,3,0,4,6,0,0
446,4170,0,28,1,0,1,0,0,6,7,0,0,1,0,0,0,0,27,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,118,0,1,2,0,5,0,0,16,0,1
456,4309,0,6,2,0,0,0,2,6,0,0,0,0,0,0,0,0,19,4,1,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,3,0,137,0,0,2,0,2,0,0,15,0,0
466,4448,0,17,1,3,1,0,1,15,8,0,0,3,0,3,0,0,18,8,0,0,0,4,0,0,2,1,0,0,0,0,5,0,2,2,0,0,94,0,0,2,0,2,0,0,13,0,0
476,4586,0,3,0,0,3,0,0,12,1,1,0,1,0,0,0,0,13,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,3,0,135,0,0,1,0,2,0,0,8,0,0
486,4743,0,12,0,1,2,0,0,10,5,0,0,0,0,0,0,0,33,2,0,0,0,2,0,0,2,3,1,0,2,0,9,0,1,2,1,0,78,0,0,3,3,2,0,4,35,1,1
496,4922,0,6,2,0,1,0,2,8,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,120,0,0,0,0,7,0,0,22,0,0
506,5101,0,9,3,1,3,0,2,5,6,0,0,0,1,0,0,0,42,1,1,0,0,1,0,0,1,0,0,0,0,0,4,0,2,2,3,0,76,0,0,3,0,7,3,0,33,0,1
516,5280,0,8,0,1,0,0,1,8,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,4,0,116,0,0,2,0,0,2,0,30,0,0
526,5458,0,9,1,2,4,1,0,6,4,1,0,0,0,0,0,0,23,5,0,0,0,1,0,0,2,2,1,0,0,0,14,1,1,1,5,0,88,0,1,5,0,5,0,0,25,0,0
536,5637,0,4,1,0,0,0,1,6,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,123,0,0,2,0,4,0,0,30,0,1
546,5816,0,14,2,2,0,0,1,4,7,0,0,0,0,0,0,0,31,2,1,1,0,4,0,0,0,1,0,1,0,0,7,0,3,1,2,0,90,0,0,3,0,2,0,0,26,0,1
556,5995,0,5,1,0,2,0,0,6,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,1,0,0,126,0,0,1,0,3,0,0,16,0,0
566,6174,0,20,0,0,0,0,0,10,1,0,0,0,0,0,0,0,22,6,0,0,1,2,0,0,0,0,0,0,0,0,17,0,1,3,1,0,79,0,0,6,0,0,0,0,33,0,1
576,6352,0,12,1,1,2,0,0,7,3,0,0,0,0,0,0,0,27,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,116,0,0,1,0,4,0,0,20,1,0
586,6531,0,19,0,1,1,1,0,7,6,0,1,1,1,0,0,0,13,2,0,0,0,1,0,0,2,0,0,0,1,0,19,0,0,3,2,0,78,0,1,0,0,5,0,0,38,0,2
596,6710,0,3,3,0,1,0,0,8,1,0,0,2,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,5,0,127,0,0,1,0,0,1,0,26,0,0
606,6889,0,14,2,1,1,0,0,13,2,0,0,0,0,0,0,0,15,7,1,0,0,2,0,0,2,0,0,0,0,0,10,0,0,3,4,0,62,0,0,5,0,10,2,0,47,0,5
616,7068,0,4,3,2,2,0,0,15,2,0,2,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,1,2,0,117,0,0,2,0,2,0,0,27,2,0
626,7246,0,21,0,0,0,0,0,20,8,0,0,0,1,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0,73,0,0,6,0,6,1,0,23,0,1
636,7425,0,4,2,1,0,0,0,23,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,121,0,0,4,0,0,1,4,17,0,0
646,7604,0,27,0,0,3,0,0,11,7,0,0,1,0,0,0,0,16,2,1,0,0,0,0,2,1,1,0,0,0,1,39,0,0,1,2,0,60,0,1,5,0,3,3,0,27,2,0
656,7783,0,2,1,1,1,0,1,14,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,2,1,0,0,0,9,38,0,0,0,0,0,103,0,0,0,0,5,0,0,10,0,0
666,7962,0,13,0,1,1,0,0,6,1,0,0,0,0,2,0,1,4,5,1,0,0,0,0,1,3,0,0,0,0,0,40,0,0,1,3,0,90,0,0,1,0,9,1,0,25,2,1
676,8140,0,5,1,1,1,0,0,14,0,0,1,2,1,0,0,0,6,4,0,0,0,0,1,0,2,0,0,0,2,0,31,0,1,0,2,0,98,0,0,5,0,8,0,0,16,0,1
686,8319,0,21,0,2,4,1,0,12,3,0,1,2,0,2,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,21,0,0,2,3,0,85,0,2,5,0,5,0,0,28,0,1
696,8498,0,3,2,1,2,0,0,18,1,1,1,1,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,2,1,26,0,0,1,0,0,98,0,0,2,0,11,0,0,16,0,0
706,8677,0,16,0,0,1,0,1,20,0,0,1,3,0,0,0,0,5,8,0,0,0,1,0,0,1,0,0,0,2,3,24,0,0,0,1,0,86,0,1,5,0,2,0,0,23,0,2
716,8856,0,6,1,0,3,0,2,19,1,0,2,0,0,0,0,0,6,5,0,0,0,0,0,0,2,0,0,0,0,1,56,0,0,0,0,0,83,0,0,2,0,4,0,0,11,0,0
726,9034,0,5,0,2,2,0,0,11,1,0,1,2,1,0,0,0,4,4,1,1,0,1,0,0,2,0,0,0,3,19,101,0,0,2,4,0,48,0,1,6,0,0,2,0,18,0,3
731,9124,0,2,0,0,0,1,0,14,0,1,1,1,1,0,0,0,3,5,0,1,0,0,1,0,1,0,0,1,2,4,41,0,0,1,3,0,105,0,0,3,0,2,1,0,16,2,0
736,9213,0,0,0,1,2,0,1,11,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,1,0,0,0,0,8,29,0,0,3,1,0,113,0,0,2,0,4,0,0,12,0,0
741,9303,0,2,1,0,3,2,0,19,1,0,0,2,2,0,0,1,2,5,0,0,0,0,1,0,1,1,0,0,7,7,22,0,0,1,4,0,95,0,0,5,1,3,0,0,17,0,0
746,9392,0,12,0,2,5,0,0,13,0,0,1,7,0,0,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,2,82,0,0,2,2,0,50,0,0,8,0,0,1,0,19,0,0
756,10000,0,5,2,2,1,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,8,123,0,0,2,1,0,52,0,0,2,0,1,0,0,7,0,2
766,10631,0,6,0,0,3,0,0,7,1,0,0,3,0,0,0,0,1,8,1,0,0,0,0,1,0,0,0,0,5,20,95,0,0,1,2,0,38,0,1,7,0,1,0,0,23,1,1
776,11262,0,3,1,0,0,0,1,6,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,165,0,0,1,0,0,26,0,0,2,0,1,0,0,10,0,0
786,NA,3,0,0,1,1,1,0,9,1,0,0,0,1,0,0,0,1,9,0,0,0,0,1,1,1,0,0,0,2,20,145,0,0,1,1,0,16,0,0,13,0,0,1,0,4,2,2
796,NA,1,1,0,0,2,1,0,11,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,133,0,0,1,0,0,27,0,0,1,0,0,0,0,10,2,0
