"depth","best.age","min.age","max.age"
217,101,-118,314
219,195,-20,403
221,288,78,493
223,382,176,582
225,475,273,670
227,568,370,758
229,660,467,847
231,753,564,935
233,845,661,1024
235,937,758,1112
238,1075,901,1243
242,1258,1093,1419
246,1440,1284,1594
250,1622,1474,1769
254,1802,1663,1943
262,2162,2038,2289
266,2340,2223,2461
270,2518,2408,2633
274,2695,2590,2803
278,2871,2772,2973
282,3046,2952,3143
290,3395,3308,3481
294,3568,3486,3651
298,3740,3660,3820
306,4083,4007,4160
310,4253,4178,4329
314,4422,4347,4499
316,4507,4431,4583
320,4675,4598,4753
324,4842,4764,4922
327,4967,4888,5049
332,5175,5092,5260
336,5340,5254,5429
344,5668,5573,5762
348,5831,5731,5929
352,5993,5888,6094
356,6154,6045,6260
360,6314,6201,6425
364,6474,6355,6589
368,6633,6509,6752
372,6791,6663,6916
376,6949,6816,7078
384,7262,7119,7401
388,7417,7270,7561
396,7725,7569,7879
400,7878,7718,8038
404,8030,7866,8195
412,8332,8160,8507
416,8482,8306,8662
420,8631,8451,8816
424,8779,8595,8969
432,9074,8881,9272
436,9220,9024,9423
444,9509,9305,9721
448,9653,9445,9868
452,9796,9584,10015
456,9938,9721,10160
460,10080,9859,10305
464,10220,9997,10450
468,10360,10133,10593
472,10500,10269,10736
476,10638,10404,10878
484,10912,10672,11159
488,11049,10805,11298
492,11184,10936,11436
496,11319,11068,11574
500,11452,11200,11711
504,11585,11330,11847
512,11849,11588,12116
516,11980,11716,12249
520,12110,11844,12382
524,12239,11971,12514
528,12368,12098,12645
532,12495,12223,12775
536,12622,12347,12903
544,12874,12594,13159
548,12999,12717,13286
552,13123,12839,13411
556,13246,12961,13537
560,13368,13081,13660
564,13490,13201,13784
568,13611,13321,13907
576,13850,13557,14149
580,13969,13675,14270
584,14086,13791,14388
588,14203,13907,14507
592,14320,14021,14623
596,14435,14137,14741
600,14550,14250,14856
612,14890,14588,15199
616,15001,14698,15311
620,15112,14809,15423
624,15222,14918,15533
628,15332,15027,15643
632,15441,15135,15752
636,15548,15242,15860
640,15656,15349,15968
641,15682,15376,15995
642,15709,15402,16021
644,15762,15456,16075
648,15867,15561,16181
652,15972,15665,16285
654,16024,15717,16337
655,16050,15743,16363
656,16076,15769,16389
660,16180,15872,16492
664,16282,15975,16595
668,16384,16076,16696
672,16485,16178,16798
676,16585,16278,16897
680,16685,16378,16997
684,16783,16477,17095
688,16881,16575,17192
692,16979,16673,17289
696,17075,16770,17385
700,17171,16866,17480
710,17407,17105,17716
714,17500,17198,17808
718,17592,17291,17900
722,17683,17383,17991
726,17774,17476,18082
730,17864,17567,18172
734,17953,17657,18260
738,18042,17746,18348
742,18129,17835,18435
746,18216,17922,18521
754,18388,18096,18691
758,18472,18180,18774
762,18556,18265,18857
766,18639,18348,18938
770,18721,18432,19020
774,18803,18514,19100
778,18884,18595,19179
782,18964,18676,19258
786,19043,18755,19335
790,19122,18834,19412
794,19199,18912,19489
798,19276,18990,19565
802,19352,19068,19641
810,19503,19219,19790
818,19650,19368,19936
822,19722,19441,20008
826,19794,19513,20080
830,19865,19585,20151
834,19935,19655,20220
838,20004,19724,20289
842,20073,19792,20358
846,20140,19860,20426
854,20274,19993,20560
858,20339,20058,20627
862,20404,20122,20692
866,20468,20185,20757
870,20531,20248,20821
874,20594,20308,20884
878,20655,20369,20947
882,20716,20428,21009
886,20777,20487,21071
890,20836,20545,21132
894,20895,20602,21193
902,21010,20713,21313
932,NA,NA,NA
936,NA,NA,NA
940,NA,NA,NA
944,NA,NA,NA
948,NA,NA,NA
962,NA,NA,NA
966,NA,NA,NA
970,NA,NA,NA
978,NA,NA,NA
982,NA,NA,NA
986,NA,NA,NA
994,NA,NA,NA
998,NA,NA,NA
1002,NA,NA,NA
1006,NA,NA,NA
1010,NA,NA,NA
1014,NA,NA,NA
1018,NA,NA,NA
1022,NA,NA,NA
1026,NA,NA,NA
1034,NA,NA,NA
