"depth","best.age","min.age","max.age"
0,-3,-55,46
10,7,-41,54
20,18,-29,67
30,28,-23,80
50,49,-15,116
60,60,-13,137
70,96,19,178
110,341,264,421
190,830,746,916
270,1320,1218,1421
350,1810,1684,1932
430,2300,2147,2446
510,2790,2607,2961
590,3279,3068,3479
670,3769,3527,3997
750,4259,3986,4515
790,4504,4215,4774
830,4749,4445,5033
870,4994,4673,5291
910,5239,4901,5550
950,5484,5131,5810
990,5729,5359,6068
1030,5974,5588,6327
1070,6218,5817,6587
1120,6525,6103,6911
1160,6769,6331,7169
1200,7014,6560,7429
1210,7076,6618,7495
1220,7137,6675,7559
1230,7198,6731,7623
1240,7259,6789,7689
1250,7321,6846,7753
1258,NA,NA,NA
1262,NA,NA,NA
