"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Betula.undiff.","Betulaceae.undiff.","Brassicaceae","Carya","Coniferophyta.undiff.","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.undiff.","Galium","Huperzia.lucidula","Indeterminable","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.annotinum","Lycopodium.clavatum.Diphasiastrum.complanatum","Lycopodium.undiff.","Myrica","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Poaceae","Populus","Potamogeton","Pteridium","Quercus","Rosaceae","Salix","Sphagnum","Symphoricarpos.albus","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Unknown.undiff.","Xanthium"
565,-31,4,0,0,6,24,72,0,8,8,0,2,32,48,46,0,0,22,0,2,14,0,0,0,0,0,0,0,0,0,42,132,2,0,0,6,8,2,0,4,8,0,354,0,8,2,36,6,0,0,0,0,0,0,10,6,0,0,0,4,2,2,0
579,386,2,0,0,10,38,64,0,0,8,4,0,14,46,34,0,0,8,0,0,4,4,0,0,4,0,0,0,0,0,14,136,0,0,0,2,6,0,0,0,2,0,0,308,2,2,28,6,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0
593,804,8,0,2,0,20,62,0,0,6,0,0,30,62,46,0,0,14,0,0,12,2,2,0,4,0,0,0,0,0,34,196,0,0,0,6,0,2,0,0,8,0,320,0,2,0,32,2,0,0,0,0,0,2,20,2,0,0,0,4,2,0,0
608,1251,10,0,0,10,50,48,0,0,2,0,0,32,64,56,0,0,20,0,0,4,4,0,0,2,0,0,0,0,0,14,184,0,0,0,6,0,2,2,0,2,0,0,482,10,0,14,4,0,0,0,2,0,0,12,4,0,0,0,0,0,4,0
623,1698,8,0,0,2,32,82,2,2,6,0,0,18,58,50,0,0,12,0,0,4,2,0,0,4,2,0,0,0,0,28,158,0,0,0,8,2,4,0,2,2,52,410,0,2,6,22,4,0,0,0,0,0,2,6,0,0,0,0,0,0,2,2
638,2145,4,0,0,4,52,76,2,0,6,0,0,38,70,30,0,0,6,0,0,6,2,0,0,0,0,0,0,0,2,20,92,0,0,0,4,4,4,0,4,0,0,0,390,4,0,14,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
648,2443,2,0,0,2,22,48,2,2,2,0,0,60,104,38,0,0,12,0,4,6,0,0,0,0,0,0,0,2,0,20,92,0,0,0,4,2,0,0,6,4,0,316,0,2,2,16,2,0,0,0,0,0,0,4,2,2,0,0,0,4,0,0
650,2503,6,0,2,6,24,36,0,0,2,0,0,40,72,58,2,2,16,2,0,4,0,0,0,2,0,0,2,0,0,16,92,0,0,0,0,0,0,0,2,2,0,0,358,2,4,8,0,0,0,0,2,0,0,10,0,0,0,0,0,0,2,0
665,2950,6,0,2,2,20,54,0,0,2,2,0,54,80,52,2,0,4,0,0,10,2,0,0,0,0,0,0,0,0,14,68,0,0,0,2,0,2,0,2,0,142,238,0,6,0,4,4,2,0,0,2,0,2,10,0,0,0,0,0,0,0,0
682,3457,6,2,0,0,36,72,0,0,4,2,0,58,104,38,0,0,14,0,2,10,6,0,0,0,0,0,0,0,0,24,76,0,0,0,0,4,0,4,4,0,0,340,0,4,6,10,2,2,2,0,0,0,0,10,2,0,0,2,0,2,2,0
