"sample.depths","sample.ages","Abies","Acer","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Caryophyllaceae","cf..Myrica","Coptis.trifolia","Cornus","Corylus","Cyperaceae","Cystopteris","Diphasiastrum.complanatum","Dryopteris.carthusiana","Epilobium","Ericales","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Gentianaceae","Huperzia.lucidula","Huperzia.selago","Indeterminable","Isoëtes","Juniperus","Larix","Limonium","Linnaea.borealis","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum","Nemopanthus","Nuphar","Nymphaea","Osmunda","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonaceae.undiff.","Populus","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown"
1,-11,10,0,0,74,0,1,0,0,0,0,106,0,0,1,9,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,13,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,120,0,1,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2
5,74,17,0,0,83,0,1,0,1,0,0,64,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,120,0,1,5,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,5
10,180,16,0,0,123,0,0,0,1,0,0,88,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,1,2,0,0,0,1,0,0,0,4,0,0,0,0,0,111,1,2,1,0,5,0,1,0,0,0,1,0,1,0,0,3,0,0,3,0,2,0,0,0,0,0
20,392,17,0,0,60,0,0,0,0,2,0,108,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,1,19,0,0,0,0,0,8,5,2,0,0,0,0,1,0,0,4,0,0,1,0,1,126,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
30,604,24,1,0,40,0,0,0,1,0,0,103,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,1,0,8,1,1,0,0,0,0,0,0,0,3,0,0,3,0,0,132,2,0,1,0,3,0,0,0,0,1,3,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0
40,816,38,0,0,49,0,0,0,1,2,0,139,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,10,0,0,0,1,0,4,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,125,2,5,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,1,1
45,922,27,1,0,38,0,0,0,1,1,0,128,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,113,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1028,27,0,0,49,0,0,0,0,0,0,109,0,0,0,10,0,0,0,3,0,0,0,0,2,0,0,1,3,0,0,0,0,0,14,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,127,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
60,1241,23,0,0,49,0,0,0,0,0,0,103,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,123,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,1453,19,0,0,58,0,0,0,0,0,0,108,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,1,8,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,92,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
80,1665,29,0,0,72,0,1,0,1,0,0,115,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,8,2,1,0,0,0,0,1,0,0,3,0,0,0,0,0,113,0,0,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
90,1877,5,1,0,103,0,0,0,1,0,0,112,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,4,1,1,0,0,0,0,1,0,0,15,0,0,1,0,0,80,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,2,0,0,0,0,1
100,2065,13,0,0,121,0,0,0,1,0,0,86,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,2,11,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,84,2,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
110,2184,16,0,0,59,0,0,0,0,2,0,124,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,9,2,1,0,0,0,1,0,1,0,2,0,0,0,0,0,109,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
120,2303,14,1,0,69,1,0,0,0,1,0,123,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,108,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
125,2363,21,0,0,88,0,1,0,0,0,0,138,0,0,0,10,0,0,0,1,0,0,0,0,2,0,0,0,9,0,0,0,2,0,8,3,0,0,0,0,0,1,0,0,16,0,0,0,0,1,117,0,2,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1
130,2422,33,0,0,54,0,0,0,1,0,0,113,0,0,0,10,0,0,0,2,0,1,0,0,0,0,0,0,12,0,0,0,1,0,18,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,116,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
135,2482,15,0,0,72,0,1,0,0,0,0,145,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,2,14,0,1,0,2,0,11,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,96,0,0,1,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2
140,2541,17,0,0,63,0,1,0,0,0,0,146,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,2,0,5,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,104,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
150,2660,3,0,0,80,0,1,0,0,3,0,95,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1
155,2720,0,0,0,160,0,0,0,0,2,0,107,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,45,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
160,2779,5,0,0,156,1,0,0,0,1,0,93,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,45,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1
170,2898,8,0,0,59,0,0,0,0,1,0,121,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,103,1,2,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0
180,3017,17,1,0,53,0,0,0,1,2,0,114,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,142,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0
190,3136,20,0,0,53,0,0,0,0,1,0,110,0,0,0,4,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,140,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1
200,3279,10,0,0,91,0,0,0,0,1,10,87,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,9,0,0,1,0,0,85,0,2,3,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,2
210,3493,19,0,0,25,0,1,0,0,0,0,160,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0,7,1,4,0,0,0,0,0,0,0,7,0,0,0,0,0,112,0,2,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
220,3708,14,0,0,51,0,0,0,0,1,0,167,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,7,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,110,0,1,3,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,1
225,3815,21,0,0,44,1,0,0,0,0,0,149,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,157,0,3,6,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
230,3923,29,0,0,54,0,0,0,0,0,0,126,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,1,4,2,0,1,0,0,8,0,0,0,0,0,0,1,0,0,8,0,1,1,0,1,76,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
235,4030,21,0,0,43,1,0,0,0,0,0,122,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,99,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
240,4137,10,0,0,81,0,1,0,0,0,0,130,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,58,0,3,1,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0
250,4352,7,0,0,75,0,1,0,0,0,0,206,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,67,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
260,4567,11,0,0,44,0,0,0,0,0,0,190,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0,1,13,1,0,0,0,0,18,0,1,0,0,0,1,1,0,0,8,0,0,0,0,0,64,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
270,4781,9,0,0,50,0,0,0,0,0,0,182,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,0,6,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,43,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
280,4996,7,0,0,50,0,0,0,0,1,0,183,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,6,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,99,1,1,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
290,5211,14,0,0,30,0,0,0,0,0,0,192,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,52,1,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
295,5318,14,0,0,49,0,0,0,0,0,0,221,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,68,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
300,5417,19,0,1,48,0,0,0,1,0,0,144,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,1,14,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,100,1,4,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310,5597,10,0,0,87,0,0,0,0,2,0,138,0,0,0,10,0,0,1,1,0,0,0,0,1,0,0,0,6,1,0,0,1,0,7,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,46,2,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
320,5778,5,0,0,40,0,0,0,0,0,0,172,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,60,0,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0
330,5958,14,0,0,31,0,0,0,0,0,0,197,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,59,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1
340,6138,10,0,0,56,0,0,0,0,0,0,207,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,65,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0
350,6319,9,0,0,33,0,0,0,0,0,0,180,0,0,0,5,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,60,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,0,0,1
360,6499,16,0,0,45,0,0,0,0,0,0,174,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,85,0,1,4,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
370,6679,20,0,0,35,0,0,0,0,0,0,269,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,53,2,4,3,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0
380,6860,10,0,0,28,0,0,0,0,0,0,187,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,63,0,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
