"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ledum.Chamaedaphne.calyculata","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Plantago.major","Polygalaceae","Quercus","Ranunculaceae.undiff.","Salix","Tilia","Ulmus","Rosaceae.undiff.","Fraxinus.americana.type","Lamiaceae","Abies.balsamea","Acer.saccharinum","Acer.saccharum","Andromeda.polifolia","Corylus.cornuta","Monotropa","Ilex.Nemopanthus","Pinus.strobus","Tsuga.canadensis","Viburnum.nudum","Picea.undiff.","Ericaceae.undiff.","Vaccinium.undiff.","Juglans.cinerea","Taxus","Amaranthaceae","Carya.ovata","Cupressaceae.cf..Thuja.occidentalis","Juniperus.communis.Thuja.occidentalis.type","Acer.pensylvanicum","Ambrosia.type","Larix","Populus.tremuloides.type","Pinus.banksiana.type","Vaccinium.angustifolium.type","Sambucus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Castanea.dentata","Pinus.resinosa.type","Rubiaceae","Juniperus.type","Juglans.nigra","Rhamnus.alnifolia.R..frangula","Rumex.type","Alnus.viridis.type","Shepherdia.canadensis","Onagraceae","Plantago.undiff.","Prunus.serotina","Rhododendron.canadense","Caryophyllaceae","Cerealia","Prunus.pensylvanica","Vaccinium.uliginosum.type","Acer.spicatum","Caprifoliaceae.undiff.","Fabaceae","Brassicaceae","Asteraceae.subf..Cichorioideae","Andromeda.glaucophylla","Morus.rubra.type","Vaccinium.oxycoccos","Populus.balsamifera.type","Myrica.gale","Elymus.type"
20,1643,0.0097560975609756,0.0292682926829268,0.0048780487804878,0.321951219512195,0.0032520325203252,0.0065040650406504,0.040650406504065,0.0097560975609756,0.0048780487804878,0.008130081300813,0.0032520325203252,0.0260162601626016,0.0357723577235772,0.115447154471545,0.0032520325203252,0.0016260162601626,0.0146341463414634,0.0016260162601626,0.0146341463414634,0.0065040650406504,0.0146341463414634,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.040650406504065,0.0016260162601626,0.0227642276422764,0.0016260162601626,0.0373983739837398,0.0910569105691057,0.0601626016260163,0.0276422764227642,0.0195121951219512,0.0065040650406504,0.0065040650406504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3064,0.00384615384615385,0.00961538461538462,0.00192307692307692,0.253846153846154,0,0.188461538461538,0.0288461538461538,0.0173076923076923,0.00961538461538462,0.00384615384615385,0,0.0115384615384615,0.0961538461538462,0.123076923076923,0,0,0.0211538461538462,0,0.00961538461538462,0.00576923076923077,0.00769230769230769,0.00192307692307692,0,0,0.00192307692307692,0.00192307692307692,0.025,0,0.00576923076923077,0,0,0.0961538461538462,0.0173076923076923,0.00384615384615385,0.0230769230769231,0.00384615384615385,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00384615384615385,0.0134615384615385,0.00192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4046,0,0.018348623853211,0,0.281345565749235,0,0.103975535168196,0.018348623853211,0.0305810397553517,0.0091743119266055,0.0091743119266055,0,0.0152905198776758,0.0795107033639144,0.122324159021407,0,0,0.036697247706422,0,0,0.0091743119266055,0.0244648318042813,0.00305810397553517,0,0,0,0.00611620795107034,0.0428134556574924,0,0.0091743119266055,0,0.00305810397553517,0.0795107033639144,0.018348623853211,0,0.036697247706422,0,0,0.00611620795107034,0,0,0,0,0,0.0091743119266055,0.00305810397553517,0.00611620795107034,0.00305810397553517,0.0122324159021407,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4482,0.00222222222222222,0.00444444444444444,0.00222222222222222,0.131111111111111,0.00444444444444444,0.117777777777778,0.00222222222222222,0.0155555555555556,0.0111111111111111,0.00444444444444444,0,0.00222222222222222,0.0577777777777778,0.153333333333333,0,0,0.0244444444444444,0,0.0222222222222222,0.00444444444444444,0.0222222222222222,0,0,0.00444444444444444,0.00222222222222222,0.00444444444444444,0.0244444444444444,0,0.00222222222222222,0,0,0.111111111111111,0.182222222222222,0.00444444444444444,0.0422222222222222,0.00222222222222222,0,0,0,0,0.00222222222222222,0,0,0,0,0.0222222222222222,0,0,0,0.00222222222222222,0.00222222222222222,0.00222222222222222,0.00222222222222222,0.00222222222222222,0.00222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4699,0,0.00759013282732448,0,0.0929791271347249,0,0.136622390891841,0.00379506641366224,0.0341555977229602,0.00379506641366224,0.00189753320683112,0,0,0.0986717267552182,0.142314990512334,0,0,0.00379506641366224,0,0.00379506641366224,0.00189753320683112,0.0246679316888046,0,0.00189753320683112,0,0,0.00569259962049336,0.015180265654649,0,0.00379506641366224,0,0,0.104364326375712,0.240986717267552,0,0.0398481973434535,0.00379506641366224,0,0.00189753320683112,0.00189753320683112,0,0,0.00569259962049336,0.00569259962049336,0.00189753320683112,0.00189753320683112,0.00379506641366224,0,0,0,0,0,0.00189753320683112,0.00189753320683112,0,0,0.00189753320683112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4930,0.00408997955010225,0.00408997955010225,0,0.206543967280164,0,0.098159509202454,0.0449897750511247,0.0408997955010225,0.0122699386503067,0,0,0,0.0593047034764826,0.0940695296523517,0,0,0.0531697341513292,0,0.00204498977505112,0.00613496932515337,0.0306748466257669,0.00408997955010225,0.00408997955010225,0,0,0,0.0265848670756646,0,0.00204498977505112,0,0,0.0756646216768916,0.161554192229039,0,0.0265848670756646,0,0,0.0081799591002045,0.00204498977505112,0,0,0,0,0.00204498977505112,0.00204498977505112,0.0102249488752556,0,0.00204498977505112,0,0,0,0.00204498977505112,0,0.00408997955010225,0.00408997955010225,0,0.00408997955010225,0.00204498977505112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5205,0,0.0115740740740741,0,0.122685185185185,0,0.0347222222222222,0.00925925925925926,0.0277777777777778,0.00462962962962963,0,0,0,0.0231481481481481,0.12037037037037,0,0,0.0277777777777778,0,0.00231481481481481,0.00231481481481481,0.0185185185185185,0,0.00462962962962963,0,0,0.00462962962962963,0.0532407407407407,0,0.00231481481481481,0,0,0.148148148148148,0.148148148148148,0,0.00462962962962963,0,0,0.00462962962962963,0,0.00231481481481481,0,0,0.00694444444444444,0,0.00231481481481481,0.178240740740741,0,0.00462962962962963,0,0,0,0,0,0.0277777777777778,0,0.00231481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5544,0,0.0167785234899329,0,0.098993288590604,0,0.0889261744966443,0,0.0721476510067114,0.00335570469798658,0,0,0.00167785234899329,0.0570469798657718,0.11241610738255,0,0,0.052013422818792,0,0,0.00167785234899329,0.0268456375838926,0.00167785234899329,0,0,0,0.0100671140939597,0.0184563758389262,0,0,0,0,0.169463087248322,0.144295302013423,0,0.0201342281879195,0,0,0.00335570469798658,0.00503355704697987,0,0,0,0,0.00167785234899329,0.00335570469798658,0.0486577181208054,0,0.0285234899328859,0,0.00167785234899329,0,0,0,0.0100671140939597,0,0,0,0,0.00167785234899329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5640,0.0027027027027027,0,0.0027027027027027,0.105405405405405,0,0.0027027027027027,0.0108108108108108,0.0243243243243243,0,0,0,0,0.0351351351351351,0.0837837837837838,0,0,0.0405405405405405,0,0.0135135135135135,0.00810810810810811,0.0189189189189189,0,0,0,0.00540540540540541,0.00810810810810811,0.027027027027027,0,0.00540540540540541,0,0.00810810810810811,0.232432432432432,0.137837837837838,0.0027027027027027,0.0108108108108108,0,0,0.0027027027027027,0,0,0,0,0,0,0.0108108108108108,0.162162162162162,0,0.0135135135135135,0,0,0.00540540540540541,0,0,0.00810810810810811,0,0,0,0,0.0027027027027027,0.00540540540540541,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5738,0.000715819613457409,0.0465282748747316,0.00143163922691482,0.117394416607015,0,0.00286327845382963,0.00143163922691482,0.00214745884037223,0.00143163922691482,0.00715819613457409,0,0.00572655690765927,0.0515390121689334,0.106657122405154,0,0,0.0286327845382963,0,0.0293486041517538,0.00286327845382963,0.00930565497494631,0.000715819613457409,0,0,0,0.0078740157480315,0.0221904080171797,0,0.0078740157480315,0,0.0114531138153185,0.148890479599141,0.17680744452398,0.00143163922691482,0.0100214745884037,0,0,0.000715819613457409,0,0,0.00143163922691482,0,0,0.000715819613457409,0.00429491768074445,0.114531138153185,0.0100214745884037,0.0214745884037223,0,0.00143163922691482,0,0.000715819613457409,0.000715819613457409,0.0322118826055834,0,0,0,0.000715819613457409,0,0.0078740157480315,0,0.000715819613457409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
