"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Amorpha.type","Artemisia","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ephedra.viridis.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Humulus.type","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Melilotus.type","Morus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Ranunculus.undiff.","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Juniperus.type","Ostrya.type","Brassicaceae","Heliotropium","Triticum.type","Pinaceae.undiff.","Fraxinus.nigra.type","Dalea.candida.type","Sarcobatus.vermiculatus","Avena.type","Dalea.purpurea","Secale.type","Acer.negundo","Betula","Liliaceae","Parietaria","Solanum.rostratum","Trifolium.repens.type","Polygonum.ramosissimum.type","Rosaceae","Sphaeralcea","Euphorbia","Ephedra.trifurca.type","Urtica.type","Xanthium","Alnus.undiff.","Fabaceae.undiff.","Dalea.undiff.","Zea.mays","Polygonum.tenue.type","Thalictrum","Gaura","Verbena","Carya","Celtis","Galium","Allium","Shepherdia.argentea","Polygonum.lapathifolium.type","Opuntia","Campanula.rotundifolia.type","Parthenocissus","Tilia","Juglans.cinerea","Juglans.nigra","Plantago","Symphoricarpos.type","Abies","Iva.annua.type","Eriogonum","Pediomelum.type","Asteraceae.tribe.Cynareae","Ericaceae","Sisyrinchium","Vitis","Anemone.canadensis.type","Elaeagnus","Rhus","Tidestromia","Acer.saccharum","Shepherdia.canadensis","Laportea.type","Hedysarum","Pilea.type","Polygonum.amphibium.type","Ranunculus.pensylvanicus.type","Larix","Comandra","Pedicularis","Oenothera","Fraxinus.undiff.","Lycopus.type","Maclura.pomifera.type","Cornus.sericea.type","Epilobium","Fagus","Stachys.type","Acer.saccharinum.type","Caryophyllaceae","Onosmodium","Myricaceae","Phlox"
320,-155,725.5,6,1,51,1,44,210,1,98,1,3,91,1,8,1,2,1,3,19,4,33.5,1,1,7,8,1,4,9,84,5,5,1,8,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,-26,514,1,1,57,0,21,113,0,99,0,1,53,1,8,0,0,0,0,9,0,20,2,0,1,0,0,0,0,93,15,1,1,6,0,0,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,24,784.5,2,0,20,1,27,201,0,174,0,1,69,1,2,0,1,0,1,7.5,3,38,0,0,2,2,0,0,2,189,22,1,0,1,0,0,0,1,0,0,0,0,0,3,0,1,1,1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,134,556.5,0,0,31,0,32,160,0,177,0,0,67,0,0,3,0,0,1.5,2,0,41,0,0,0,3,0,0,1,2,17,0,1,3,0,0,0,1,0,0,4,2,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,262,895,4,1,60,0,38,394,0,189,0,0,96,0,0,2,0,0,1,0,0,61,0,1,2,1,0,0,0,0,29,1,0,1,0,0,1,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,410,828.5,2,1,65,1,36,303,0,206,1,0,102,0,0,0,0,0,1,2,1,38.5,0,0,0,2,0,0,0,0,40,0,0,0,2,1,0,0,0,0,5,1,0,11,0,0,2,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,578,447.5,0,0,39,0,20,111,0,168,0,0,50,0,1,0,0,0,0.5,1,1,27,0,0,0,2,0,0,0,0,9,0,0,3,0,0,0,1,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,965,712.5,2,1,91,1,73,144,0,129,1,0,137,0,1,0,0,0,2,4,0,48,0,0,2,5,0,0,0,0,38,1,0,2,0,0,0,0,1.5,0,1,0,0,16,0,0,0,0,0,0,0,1,2,1,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,1412,911.5,4,4,121,1,71,192,0,134,0,1,183,1,2,5.5,0,0,4,15.5,0,48.5,0,0,1,10,0,0,0,0,74,3,2,2,1,0,1,0,0,0,2,1,0,12,0,0,3,0,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,1907,750.5,4,1,65,1,52,219,0,149,3,0,106,0,1,4,0,0,3,3,0,38.5,0,0,0,3,0,0,0,0,36,2,5,1,1,0,0,0,0,0,25,0,0,23,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
