"depth","best.age","min.age","max.age"
1,-26,-44,-7
10,13,-6,32
20,57,36,78
30,100,76,125
40,144,114,172
50,187,153,221
60,231,190,269
70,274,227,317
80,317,264,366
90,361,302,415
100,404,339,464
110,448,375,512
120,491,412,561
130,535,449,610
140,578,486,659
150,621,523,708
160,665,560,757
170,708,596,806
180,752,633,855
190,795,670,904
200,839,706,953
210,896,762,1012
220,973,846,1087
230,1051,929,1164
240,1128,1012,1242
250,1205,1092,1321
260,1283,1170,1400
270,1360,1246,1481
280,1438,1322,1565
290,1515,1397,1651
297,1569,1447,1710
310,1670,1540,1823
320,1748,1610,1910
330,1825,1677,1996
340,1902,1744,2083
350,1980,1797,2173
360,2057,1860,2261
370,2135,1924,2350
380,2212,1990,2439
390,2290,2055,2528
400,2367,2120,2618
410,2445,2184,2709
420,2560,2310,2814
430,2675,2439,2924
440,2790,2584,3033
450,2905,2702,3145
460,3020,2815,3257
470,3135,2925,3372
480,3250,3033,3490
490,3365,3138,3610
500,3480,3239,3729
510,3595,3339,3851
520,3710,3439,3976
530,3825,3538,4103
540,3940,3636,4232
550,4055,3734,4363
560,4170,3831,4496
570,4285,3929,4630
580,4400,4026,4765
590,4515,4123,4901
598,4607,4199,5009
610,4745,4313,5172
620,4860,4408,5309
630,4975,4500,5444
640,5090,4593,5580
650,5660,5338,5917
660,5923,5660,6144
670,6186,5995,6376
680,6450,6278,6619
690,6713,6538,6875
700,6976,6783,7144
710,7240,7018,7428
720,7589,7381,7771
730,7938,7733,8125
740,8287,8074,8487
750,8637,8403,8857
760,8986,8724,9234
770,9335,9038,9616
780,9684,9350,10005
790,10034,9658,10395
800,10383,9964,10787
805,10558,10117,10984
810,10732,10270,11181
815,10907,10423,11380
820,11212,10860,11575
825,11518,11130,12022
830,12534,12115,12982
835,13550,12943,14166
840,NA,NA,NA
845,NA,NA,NA
850,NA,NA,NA
855,NA,NA,NA
860,NA,NA,NA
865,NA,NA,NA
870,NA,NA,NA
875,NA,NA,NA
880,NA,NA,NA
890,NA,NA,NA
900,NA,NA,NA
910,NA,NA,NA
920,NA,NA,NA
930,NA,NA,NA
940,NA,NA,NA
950,NA,NA,NA
960,NA,NA,NA
970,NA,NA,NA
980,NA,NA,NA
