"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Elaeagnus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Morus","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sambucus","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Dryas","Plantago","Poaceae","Polygonum","Rosaceae.undiff.","Rumex.Oxyria.digyna","Saxifraga","Thalictrum","Urtica","Xanthium"
0,-44,0.00294117647058824,0.00294117647058824,0.00294117647058824,0.0323529411764706,0.00588235294117647,0.170588235294118,0.0264705882352941,0.00588235294117647,0,0,0,0.00588235294117647,0,0,0.0205882352941176,0.0294117647058824,0.0088235294117647,0.0205882352941176,0.00588235294117647,0,0.0617647058823529,0.00294117647058824,0,0,0,0.0176470588235294,0.00588235294117647,0,0.0411764705882353,0.0411764705882353,0,0.00294117647058824,0.0617647058823529,0.0117647058823529,0,0,0,0,0.0176470588235294,0.0588235294117647,0,0.223529411764706,0,0.00588235294117647,0.0117647058823529,0.00588235294117647,0,0.0117647058823529,0,0,0.0088235294117647,0.0617647058823529,0,0,0.00294117647058824,0,0.00294117647058824,0,0
20,336,0.00247524752475248,0,0.00247524752475248,0.0272277227722772,0.0148514851485149,0.0915841584158416,0.00742574257425743,0,0,0,0,0,0,0.00247524752475248,0.0247524752475248,0.0297029702970297,0.00742574257425743,0.0222772277227723,0.00247524752475248,0.00247524752475248,0.0643564356435644,0.00247524752475248,0,0,0,0.0321782178217822,0,0,0.168316831683168,0.168316831683168,0,0.0099009900990099,0.0717821782178218,0.0123762376237624,0,0,0,0.0222772277227723,0.051980198019802,0.0396039603960396,0,0.0643564356435644,0.00247524752475248,0,0.00247524752475248,0,0,0.00247524752475248,0,0,0,0.0445544554455446,0,0,0.00247524752475248,0,0,0,0
30,535,0,0,0.00183150183150183,0.0293040293040293,0.00366300366300366,0.126373626373626,0.010989010989011,0,0,0,0,0.00366300366300366,0,0,0.0366300366300366,0.0256410256410256,0.00549450549450549,0.0201465201465201,0,0,0.0347985347985348,0.00183150183150183,0,0,0,0.0531135531135531,0.00183150183150183,0,0.186813186813187,0.186813186813187,0,0.00732600732600733,0.153846153846154,0,0,0,0,0.00732600732600733,0.0384615384615385,0.0457875457875458,0,0.0128205128205128,0,0,0,0,0,0.00183150183150183,0.00183150183150183,0,0,0,0.00183150183150183,0,0,0,0,0,0
40,745,0,0,0,0.0308788598574822,0.00950118764845606,0.0926365795724466,0.0285035629453682,0,0,0,0,0.00237529691211401,0,0,0.0380047505938242,0.0332541567695962,0.00712589073634204,0.0261282660332542,0.00712589073634204,0.00475059382422803,0.0427553444180523,0.00475059382422803,0,0,0,0.0617577197149644,0,0,0.140142517814727,0.140142517814727,0,0.00712589073634204,0.218527315914489,0.00237529691211401,0,0,0,0.00475059382422803,0.0498812351543943,0.0427553444180523,0,0.00237529691211401,0,0,0,0,0,0.00237529691211401,0,0,0,0,0,0,0,0,0,0,0
50,969,0,0,0.00280898876404494,0.0224719101123595,0.00280898876404494,0.0758426966292135,0.00561797752808989,0,0,0,0,0.00280898876404494,0,0,0.0421348314606742,0.0393258426966292,0.00561797752808989,0.0337078651685393,0.00280898876404494,0,0.0617977528089888,0.00842696629213483,0,0,0,0.0870786516853933,0,0,0.0842696629213483,0.0842696629213483,0,0.0280898876404494,0.275280898876405,0,0,0,0,0.0224719101123595,0.0365168539325843,0.0421348314606742,0,0.00280898876404494,0,0.00280898876404494,0,0.00561797752808989,0,0.00280898876404494,0.00561797752808989,0,0,0.0140449438202247,0,0,0,0,0,0,0
60,1211,0,0.00271739130434783,0,0.0706521739130435,0.00543478260869565,0.122282608695652,0.0271739130434783,0,0,0,0,0.00271739130434783,0,0,0.0516304347826087,0.0217391304347826,0.00543478260869565,0.016304347826087,0.00815217391304348,0.00543478260869565,0.0407608695652174,0.00543478260869565,0,0,0,0.0733695652173913,0,0,0.0869565217391304,0.0869565217391304,0,0.00815217391304348,0.209239130434783,0.0108695652173913,0,0,0,0.0108695652173913,0.0326086956521739,0.0625,0,0.00543478260869565,0,0.00271739130434783,0.00271739130434783,0,0,0,0.00543478260869565,0,0,0.0135869565217391,0,0,0,0,0.00271739130434783,0,0
65,1340,0,0,0.0077319587628866,0.0824742268041237,0.0128865979381443,0.0902061855670103,0.0257731958762887,0,0,0,0,0.0103092783505155,0,0,0.0463917525773196,0.038659793814433,0.00515463917525773,0.0335051546391753,0.00515463917525773,0.00515463917525773,0.0489690721649485,0.00257731958762887,0,0,0,0.097938144329897,0.00257731958762887,0,0.0798969072164948,0.0798969072164948,0,0.0231958762886598,0.126288659793814,0.00515463917525773,0,0,0,0.0206185567010309,0.0489690721649485,0.0824742268041237,0,0.00257731958762887,0.00257731958762887,0,0.00257731958762887,0,0,0,0,0,0,0.0103092783505155,0,0,0,0,0,0,0
70,1475,0,0,0,0.104761904761905,0.00476190476190476,0.0714285714285714,0.019047619047619,0,0,0,0,0,0,0,0.216666666666667,0.0523809523809524,0.00238095238095238,0.05,0,0,0.0880952380952381,0,0.00476190476190476,0.00238095238095238,0,0.0666666666666667,0,0,0.0238095238095238,0.0238095238095238,0,0,0.0547619047619048,0.00476190476190476,0,0,0,0.0261904761904762,0.0333333333333333,0.145238095238095,0,0,0,0.00238095238095238,0,0,0,0,0.00238095238095238,0,0,0,0,0,0,0,0,0,0
90,2082,0,0,0,0.144230769230769,0.00480769230769231,0.09375,0.0216346153846154,0,0.00480769230769231,0,0,0,0,0,0.221153846153846,0.0456730769230769,0.00240384615384615,0.0432692307692308,0.00480769230769231,0,0.09375,0.00480769230769231,0,0,0,0.03125,0,0,0.0240384615384615,0.0240384615384615,0,0.00721153846153846,0.0408653846153846,0,0,0,0,0.03125,0.0192307692307692,0.132211538461538,0,0,0,0,0,0,0,0,0,0,0,0.00480769230769231,0,0,0,0,0,0,0
100,2431,0,0,0.00221729490022173,0.0665188470066519,0.00443458980044346,0.0643015521064302,0.0332594235033259,0,0,0,0,0.00443458980044346,0,0,0.24390243902439,0.0709534368070953,0.0110864745011086,0.0598669623059867,0.0133037694013304,0.00221729490022173,0.057649667405765,0,0,0.00221729490022173,0,0.057649667405765,0.00443458980044346,0,0.0199556541019956,0.0199556541019956,0,0.00665188470066519,0.0643015521064302,0.00221729490022173,0,0,0,0.0110864745011086,0.0133037694013304,0.155210643015521,0,0.00443458980044346,0,0,0.00221729490022173,0,0,0.00221729490022173,0,0,0,0,0,0,0,0,0,0,0
