"depth","best.age","min.age","max.age"
15,10,-62,87
20,155,49,260
25,300,103,494
35,1400,1241,1558
45,2500,2353,2653
55,3600,3423,3775
60,4150,3950,4346
65,4699,4472,4922
75,5973,5776,6166
80,6610,6419,6799
90,7884,7683,8087
95,8521,8305,8740
100,9158,8923,9399
105,9795,9535,10060
110,10432,10145,10724
115,11069,10754,11393
120,11706,11362,12063
125,12240,11983,12500
130,12774,12567,12991
140,13551,13302,13812
150,13649,13405,13903
160,13746,13504,13998
180,13941,13691,14195
200,14136,13865,14402
220,14331,14030,14618
240,14525,14189,14839
260,14720,14341,15063
280,14915,14488,15290
300,15110,14631,15521
320,15305,14774,15757
340,15500,14915,15995
360,15695,15055,16234
380,15889,15193,16475
390,15987,15261,16595
400,16084,15330,16716
420,16242,15508,16854
440,16386,15700,16959
460,16531,15890,17066
480,16676,16079,17176
500,16821,16267,17289
520,16966,16457,17409
540,17110,16643,17532
560,17255,16822,17656
580,17400,16995,17781
600,17545,17162,17908
620,17690,17324,18037
640,17834,17483,18171
660,17979,17635,18309
680,18124,17778,18453
700,18269,17914,18609
710,18341,17977,18690
720,NA,NA,NA
740,NA,NA,NA
760,NA,NA,NA
780,NA,NA,NA
800,NA,NA,NA
