"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Fagus","Herbs.undiff.","Juglans.nigra","Nyssa","Quercus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Pinus","Poaceae","Plantago","Polygonum","Rubiaceae","Fraxinus.nigra.type","Ostrya.Carpinus","Picea","Acer.saccharum.type","Myrica","Artemisia","Liquidambar","Iva.annua.type","Populus","Platanus","Corylus","Juglans.cinerea","Rhamnaceae","Abies","Cupressaceae","Salix","Caprifoliaceae","Ilex","Thalictrum","Ranunculus","Potentilla.type","Anacardiaceae","Lamiaceae","Sanguisorba","Cornus","Rumex","Brassicaceae","Larix","Shepherdia","Polygonaceae.undiff.","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Onagraceae","Ericaceae","Campanulaceae","Amaranthaceae"
15,10,312,5,20,8,14,5,18,2,5,3,3,139,1,3,3,2,1,1,57,7,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,155,327,5,8,2,11,8,25,0,14,0,3,155,0,6,0,1,0,1,58,9,0,1,15,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,300,325,3,4,1,8,16,38,2,14,1,0,141,0,2,1,0,0,1,58,9,1,1,14,1,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1400,319,4,1,4,5,19,27,2,2,1,1,146,0,3,3,0,0,3,48,20,0,0,17,3,4,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2500,321,3,3,4,11,19,15,0,8,3,0,140,0,2,5,2,0,2,61,20,0,1,19,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3600,316,2,2,1,13,10,27,1,1,1,1,160,0,1,2,1,0,4,50,21,0,1,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4150,414,5,2,3,9,2,84,4,0,0,3,190,0,3,0,0,0,2,75,11,0,2,14,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4699,330,7,1,2,6,14,46,0,0,0,0,125,0,3,0,2,2,0,68,18,0,3,30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5973,313,1,1,4,9,7,27,3,0,0,1,182,0,9,1,0,1,2,33,14,0,2,12,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6610,390,3,1,6,15,6,33,5,6,0,6,216,0,7,6,4,1,1,21,28,0,10,11,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
