"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae.undiff.","Ericaceae","Fraxinus","Juglans","Juniperus","Larix","Morus","Myrica","Ostrya","Picea","Pinus.banksiana","Pinus.strobus","Pinus.undiff.","Populus.balsamifera","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Eupatorium","Plantago.lanceolata","Poaceae","Rosaceae","Thalictrum"
3,-9,0.0119760479041916,0.00598802395209581,0.00998003992015968,0.143712574850299,0,0,0.00199600798403194,0,0.00598802395209581,0,0,0.00798403193612774,0,0,0,0.00598802395209581,0.0259481037924152,0.313373253493014,0.339321357285429,0,0.0119760479041916,0,0.00199600798403194,0.0858283433133733,0.0119760479041916,0.00199600798403194,0,0.00998003992015968,0,0,0,0,0.00399201596806387,0,0
25,252,0,0.0127659574468085,0.00851063829787234,0.178723404255319,0,0.00851063829787234,0,0,0.00425531914893617,0,0,0,0,0,0,0,0.0340425531914894,0.302127659574468,0.336170212765957,0,0.025531914893617,0,0,0.0829787234042553,0,0.00212765957446809,0,0.00425531914893617,0,0,0,0,0,0,0
75,843,0,0.00924214417744917,0.00924214417744917,0.22550831792976,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0.00184842883548983,0.0184842883548983,0.279112754158965,0.297597042513863,0,0.0203327171903882,0.00739371534195933,0.00184842883548983,0.11090573012939,0.0055452865064695,0,0,0.011090573012939,0,0,0,0,0,0,0
125,1435,0,0.0136186770428016,0.00583657587548638,0.159533073929961,0.00972762645914397,0,0,0,0.00194552529182879,0,0,0,0,0,0.00194552529182879,0.0214007782101167,0.0330739299610895,0.305447470817121,0.33852140077821,0,0.00972762645914397,0.00583657587548638,0,0.0797665369649805,0,0.00972762645914397,0,0,0,0.00194552529182879,0,0,0.00194552529182879,0,0
175,1860,0,0.0169491525423729,0.00423728813559322,0.144067796610169,0.00211864406779661,0.00423728813559322,0,0,0.00635593220338983,0,0,0,0,0,0.00847457627118644,0.0105932203389831,0.0148305084745763,0.343220338983051,0.358050847457627,0,0.00635593220338983,0.00423728813559322,0,0.0635593220338983,0.00635593220338983,0.00423728813559322,0,0.00211864406779661,0,0,0,0,0,0,0
225,2176,0,0.00397614314115308,0,0.135188866799205,0,0,0,0,0.00795228628230616,0,0,0,0,0,0,0.00596421471172962,0.0377733598409543,0.332007952286282,0.369781312127237,0,0.00795228628230616,0,0.00397614314115308,0.0815109343936382,0.0139165009940358,0,0,0,0,0,0,0,0,0,0
275,2491,0,0.0290135396518375,0.0135396518375242,0.135396518375242,0,0.00386847195357834,0,0,0,0,0,0,0,0,0,0.00386847195357834,0.0154738878143133,0.357833655705996,0.373307543520309,0,0.00967117988394584,0,0,0.0425531914893617,0.00193423597678917,0.00580270793036751,0,0.00386847195357834,0,0.00386847195357834,0,0,0,0,0
325,2807,0,0.0172413793103448,0.00646551724137931,0.174568965517241,0,0,0,0,0.00431034482758621,0,0,0,0.0107758620689655,0,0,0.00646551724137931,0.040948275862069,0.306034482758621,0.34698275862069,0,0.0193965517241379,0,0,0.0452586206896552,0.0129310344827586,0.00431034482758621,0,0.0021551724137931,0,0,0,0.0021551724137931,0,0,0
375,3122,0,0.00579150579150579,0.0154440154440154,0.115830115830116,0.00772200772200772,0.00193050193050193,0,0,0.00772200772200772,0,0,0,0,0,0,0.027027027027027,0.0463320463320463,0.33011583011583,0.374517374517374,0,0,0.00193050193050193,0,0.0521235521235521,0.00193050193050193,0.00579150579150579,0,0.00193050193050193,0,0.00386100386100386,0,0,0,0,0
425,3437,0.00367647058823529,0.0110294117647059,0.00735294117647059,0.0735294117647059,0,0,0,0,0.00367647058823529,0,0,0,0,0,0,0.0110294117647059,0.0477941176470588,0.347426470588235,0.395220588235294,0,0.0183823529411765,0.00367647058823529,0,0.0569852941176471,0.00551470588235294,0.00367647058823529,0,0.00735294117647059,0,0,0,0,0.00367647058823529,0,0
475,3943,0,0.0105263157894737,0.0087719298245614,0.0824561403508772,0,0.00701754385964912,0.00175438596491228,0,0,0,0,0,0,0.00175438596491228,0,0,0.0473684210526316,0.349122807017544,0.396491228070175,0,0.0473684210526316,0,0,0.0280701754385965,0,0.012280701754386,0,0,0,0,0,0,0.00701754385964912,0,0
525,4529,0,0.00991735537190083,0.0115702479338843,0.0479338842975207,0,0.00991735537190083,0,0,0,0,0,0,0,0,0,0,0.110743801652893,0.330578512396694,0.441322314049587,0,0.0214876033057851,0,0,0.0115702479338843,0.00165289256198347,0.00330578512396694,0,0,0,0,0,0,0,0,0
550,4822,0,0.01985559566787,0.0234657039711191,0.0487364620938628,0.0036101083032491,0.00541516245487365,0,0,0,0.00180505415162455,0,0,0,0,0,0,0.0252707581227437,0.395306859205776,0.42057761732852,0,0.0342960288808664,0,0,0.00541516245487365,0.0108303249097473,0.00180505415162455,0,0.0036101083032491,0,0,0,0,0,0,0
600,5409,0,0.00594059405940594,0.0118811881188119,0.0910891089108911,0,0,0.00396039603960396,0,0,0,0,0,0,0,0.00792079207920792,0.0138613861386139,0.095049504950495,0.297029702970297,0.392079207920792,0,0.0534653465346535,0.00396039603960396,0.00594059405940594,0.00396039603960396,0.0099009900990099,0.00396039603960396,0,0,0,0,0,0,0,0,0
650,5995,0,0.0149253731343284,0.0130597014925373,0.0671641791044776,0,0.00559701492537313,0,0,0.00186567164179104,0,0,0,0,0,0.0111940298507463,0.00186567164179104,0.0914179104477612,0.309701492537313,0.401119402985075,0,0.0317164179104478,0.00186567164179104,0,0.0354477611940298,0.00186567164179104,0.00373134328358209,0,0.00559701492537313,0,0,0,0,0.00186567164179104,0,0
700,6667,0,0.0127970749542962,0.0237659963436929,0.0274223034734918,0.00182815356489945,0.00731261425959781,0,0,0,0,0,0,0,0,0.00182815356489945,0.0036563071297989,0.102376599634369,0.321755027422303,0.424131627056673,0,0.0420475319926874,0.00914076782449726,0.0036563071297989,0.00182815356489945,0.00914076782449726,0.00731261425959781,0,0,0,0,0,0,0,0,0
750,7339,0,0.0211640211640212,0.00705467372134039,0.0211640211640212,0,0,0,0,0,0,0,0,0,0,0.00529100529100529,0.0476190476190476,0.0776014109347443,0.350970017636684,0.428571428571429,0,0.017636684303351,0.0017636684303351,0.0017636684303351,0,0.0158730158730159,0.0017636684303351,0,0.0017636684303351,0,0,0,0,0,0,0
800,8814,0,0,0.00851788756388416,0.0442930153321976,0,0,0,0,0,0,0,0,0,0,0,0,0.277683134582624,0.185689948892675,0.463373083475298,0,0.00340715502555366,0.00170357751277683,0,0,0.00511073253833049,0.00340715502555366,0,0.00170357751277683,0,0.00511073253833049,0,0,0,0,0
850,10288,0,0,0.0187265917602996,0.0449438202247191,0,0,0,0,0,0,0,0,0,0,0.00187265917602996,0,0.280898876404494,0.166666666666667,0.447565543071161,0,0.0131086142322097,0,0,0,0.0168539325842697,0.00561797752808989,0,0.00187265917602996,0,0.00187265917602996,0,0,0,0,0
875,11025,0,0.00344234079173838,0.00516351118760757,0.044750430292599,0.00172117039586919,0,0,0,0,0,0,0,0,0,0.00172117039586919,0,0.339070567986231,0.122203098106713,0.461273666092943,0,0.0120481927710843,0,0,0,0,0.00516351118760757,0,0.00172117039586919,0,0.00172117039586919,0,0,0,0,0
900,11762,0,0,0.00341880341880342,0.0188034188034188,0,0,0,0,0,0,0,0,0,0,0,0,0.326495726495727,0.155555555555556,0.482051282051282,0,0.00854700854700855,0.00170940170940171,0,0,0,0,0,0,0,0.00341880341880342,0,0,0,0,0
925,NA,0,0,0,0.0210526315789474,0,0.00175438596491228,0,0,0,0,0,0,0,0,0,0,0.291228070175439,0.194736842105263,0.485964912280702,0,0.00175438596491228,0,0,0,0,0,0,0,0,0.00350877192982456,0,0,0,0,0
950,NA,0,0,0.00675675675675676,0.0135135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0.263513513513513,0.214527027027027,0.47804054054054,0,0.0185810810810811,0,0,0,0.00506756756756757,0,0,0,0,0,0,0,0,0,0
975,NA,0,0,0,0.0531914893617021,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0.24468085106383,0.148936170212766,0.393617021276596,0,0.106382978723404,0.0106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0
