"sample.depths","sample.ages","Acer.saccharum","Alnus","Betula","Picea","Pinus","Quercus","Tilia","Tsuga","Ambrosia","Artemisia","Chenopodiaceae.Amaranthaceae","Lotus"
0,-40,0.066532258,0.044354839,0.39516129,0.090725806,0.205645161,0.02016129,0.004032258,0.14516129,0.022177419,0,0.006048387,0
5,-35,0.051369863,0.068493151,0.280821918,0.071917808,0.205479452,0.065068493,0.003424658,0.195205479,0.037671233,0,0.020547945,0
10,-29,0.076923077,0.066433566,0.255244755,0.06993007,0.192307692,0.055944056,0.006993007,0.160839161,0.090909091,0,0.024475524,0
15,-22,0.04467354,0.058419244,0.305841924,0.103092784,0.223367698,0.010309278,0.003436426,0.154639175,0.085910653,0,0.010309278,0
20,-20,0.073619632,0.055214724,0.214723926,0.116564417,0.288343558,0.079754601,0.006134969,0.067484663,0.073619632,0,0.024539877,0
25,-10,0.069686411,0.055749129,0.337979094,0.076655052,0.195121951,0.052264808,0.003484321,0.146341463,0.055749129,0,0.003484321,0.003484321
30,0,0,0.055555556,0.361111111,0.083333333,0.305555556,0.027777778,0,0.111111111,0.055555556,0,0,0
34,14,0.038062284,0.138408304,0.224913495,0.089965398,0.224913495,0.01384083,0.003460208,0.190311419,0.065743945,0,0.010380623,0
36,23,0.020689655,0.027586207,0.372413793,0.082758621,0.244827586,0.062068966,0,0.089655172,0.072413793,0.020689655,0.006896552,0
38,30,0.017241379,0.037931034,0.455172414,0.075862069,0.210344828,0.034482759,0.003448276,0.086206897,0.065517241,0.006896552,0.006896552,0
40,38,0.013605442,0.017006803,0.367346939,0.098639456,0.346938776,0.040816327,0,0.071428571,0.030612245,0.003401361,0.010204082,0
42,48,0.013937282,0.034843206,0.37630662,0.111498258,0.275261324,0.045296167,0.003484321,0.094076655,0.034843206,0.006968641,0.003484321,0
44,60,0.006825939,0.017064846,0.358361775,0.09556314,0.358361775,0.044368601,0.003412969,0.071672355,0.034129693,0.010238908,0,0
46,73,0.028985507,0.032608696,0.351449275,0.115942029,0.300724638,0.047101449,0,0.108695652,0.010869565,0,0.003623188,0
48,NA,0.057553957,0.057553957,0.327338129,0.118705036,0.323741007,0.032374101,0.003597122,0.068345324,0.010791367,0,0,0
