"depth","best.age","min.age","max.age"
0,11,-62,87
10,275,203,352
20,539,463,620
30,803,720,888
40,1067,975,1159
50,1331,1230,1433
60,1595,1483,1707
70,1859,1736,1982
80,2123,1987,2257
90,2387,2238,2533
100,2651,2489,2810
110,2915,2739,3087
120,3179,2988,3364
130,3443,3237,3641
140,3707,3487,3920
150,3971,3736,4198
160,4235,3985,4477
170,4499,4234,4756
180,4763,4482,5034
190,5028,4731,5313
200,5292,4981,5593
210,5556,5229,5872
220,5820,5478,6151
230,6084,5727,6431
235,6216,5851,6570
250,6612,6224,6989
260,6883,6483,7272
270,7289,6941,7631
280,7696,7383,8010
290,8102,7796,8413
300,8509,8187,8857
310,8915,8550,9326
315,9118,8719,9597
320,9322,8885,9861
324,9484,9023,10061
326,NA,NA,NA
330,NA,NA,NA
336,NA,NA,NA
340,NA,NA,NA
