"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Fabaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Ambrosia.type","Larix","Quercus","Salix","Ulmus","Juniperus.type","Tsuga.canadensis","Rosaceae","Corylus.cornuta","Fagus","Populus.tremuloides.type","Myrica.gale","Amaranthaceae","Saxifraga.cernua.type","Acer.saccharum","Fraxinus.nigra.type","Acer.spicatum","Ostrya.Carpinus","cf..Taxus","Viburnum.edule","Juglans.cinerea","Caryophyllaceae","Ranunculaceae.undiff.","Onagraceae","Castanea.dentata","cf..Oxyria.digyna","Carya.ovata","Viburnum.lentago"
15,598,0.0091324200913242,0.166666666666667,0.00228310502283105,0.175799086757991,0.102739726027397,0.0045662100456621,0.324200913242009,0.0182648401826484,0.00228310502283105,0.0045662100456621,0.0091324200913242,0.00228310502283105,0.0251141552511416,0.0091324200913242,0.0342465753424658,0.0319634703196347,0.00228310502283105,0.0753424657534247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,800,0,0.193089430894309,0.0121951219512195,0.109756097560976,0.107723577235772,0.0040650406504065,0.428861788617886,0.0040650406504065,0,0,0.00203252032520325,0,0.0223577235772358,0.016260162601626,0.0203252032520325,0.016260162601626,0,0.0426829268292683,0.00203252032520325,0.0040650406504065,0.00609756097560976,0.00203252032520325,0.00203252032520325,0.00203252032520325,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1206,0.0214669051878354,0.203935599284436,0,0.112701252236136,0.10912343470483,0.00894454382826476,0.361359570661896,0.0178890876565295,0,0.00178890876565295,0.00178890876565295,0,0.0232558139534884,0.0035778175313059,0.0107334525939177,0.0178890876565295,0,0.0858676207513417,0.0035778175313059,0.00536672629695885,0.00178890876565295,0.00178890876565295,0.00178890876565295,0,0,0.0035778175313059,0.00178890876565295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1613,0.0112107623318386,0.145739910313901,0.00672645739910314,0.118834080717489,0.0538116591928251,0,0.524663677130045,0.00224215246636771,0,0,0.00448430493273543,0,0.0246636771300448,0.0134529147982063,0.0269058295964126,0.0201793721973094,0,0.0336322869955157,0,0.00448430493273543,0.00224215246636771,0,0,0,0,0,0,0.00224215246636771,0.00224215246636771,0.00224215246636771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2019,0.00657894736842105,0.160087719298246,0.00219298245614035,0.135964912280702,0.074561403508772,0.0043859649122807,0.451754385964912,0.0109649122807018,0,0,0.0043859649122807,0,0.0131578947368421,0.0263157894736842,0.0197368421052632,0.0087719298245614,0,0.0679824561403509,0,0.0043859649122807,0,0,0,0,0.00219298245614035,0,0,0.00219298245614035,0,0,0.00219298245614035,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2426,0.0149532710280374,0.179439252336449,0.00560747663551402,0.138317757009346,0.0429906542056075,0.00373831775700935,0.461682242990654,0.011214953271028,0.00186915887850467,0,0.00186915887850467,0,0.00747663551401869,0.00560747663551402,0.0205607476635514,0.0205607476635514,0,0.0691588785046729,0.00373831775700935,0.00373831775700935,0.00186915887850467,0,0,0.00186915887850467,0,0,0,0,0,0.00373831775700935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2882,0.0771812080536913,0.25503355704698,0.00167785234899329,0.14261744966443,0.0469798657718121,0,0.307046979865772,0.00503355704697987,0,0,0.0100671140939597,0,0.0184563758389262,0.0151006711409396,0.0436241610738255,0.011744966442953,0,0.0436241610738255,0.00167785234899329,0.00838926174496644,0,0.00167785234899329,0,0.00167785234899329,0,0,0,0,0.00167785234899329,0.00335570469798658,0.00167785234899329,0,0.00167785234899329,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3354,0.0438184663536776,0.28169014084507,0.00312989045383412,0.172143974960876,0.0453834115805947,0.00625978090766823,0.344287949921753,0,0,0,0.00156494522691706,0,0.0219092331768388,0.00625978090766823,0.02660406885759,0.0140845070422535,0,0.0203442879499218,0,0,0,0.00625978090766823,0,0,0,0.00156494522691706,0,0,0.00156494522691706,0,0.00156494522691706,0,0,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0
90,3826,0.0313014827018122,0.248764415156507,0.00164744645799012,0.166392092257002,0.0609555189456343,0.00658978583196046,0.372322899505766,0.00658978583196046,0,0,0,0,0.00823723228995058,0.0115321252059308,0.0214168039538715,0.00494233937397035,0,0.0362438220757825,0.00164744645799012,0.00823723228995058,0.00164744645799012,0,0.00164744645799012,0,0,0,0.00329489291598023,0,0,0.00164744645799012,0,0,0,0,0.00164744645799012,0.00164744645799012,0.00164744645799012,0,0,0,0,0,0,0,0,0
100,4299,0.0225563909774436,0.31328320802005,0.0050125313283208,0.238095238095238,0.0576441102756892,0.0025062656641604,0.273182957393484,0,0,0,0.0025062656641604,0,0.012531328320802,0.0100250626566416,0.0200501253132832,0.0050125313283208,0.0025062656641604,0.0175438596491228,0,0.0075187969924812,0,0.0025062656641604,0,0,0,0,0,0,0,0.0050125313283208,0,0,0,0,0,0,0.0025062656641604,0,0,0,0,0,0,0,0,0
110,4771,0.0178571428571429,0.410714285714286,0.00396825396825397,0.194444444444444,0.0416666666666667,0.00198412698412698,0.261904761904762,0,0,0,0.0119047619047619,0,0.00992063492063492,0.00396825396825397,0.0119047619047619,0.00595238095238095,0,0.0138888888888889,0,0,0,0.00595238095238095,0,0,0,0.00396825396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
