"depth","best.age","min.age","max.age"
0,-49,-51,-46
4,-44,-45,-43
8,-39,-39,-38
12,-29,-31,-29
16,-17,-17,-15
20,0,0,2
24,15,14,16
28,24,24,25
32,35,35,37
36,55,54,55
40,77,76,78
44,90,90,91
48,106,104,108
52,129,128,130
56,152,151,153
60,175,174,175
64,198,197,198
68,220,219,220
72,243,242,244
76,266,264,266
80,289,287,290
84,325,318,329
88,375,355,388
92,424,393,449
96,474,430,509
100,524,467,569
104,574,504,629
108,624,541,688
112,684,602,748
116,755,683,805
120,826,760,878
124,897,833,954
128,968,897,1029
132,1039,966,1104
136,1111,1041,1175
140,1183,1114,1248
144,1255,1186,1325
152,1399,1323,1478
156,1472,1389,1558
160,1544,1451,1639
164,1616,1512,1721
168,1688,1573,1805
172,1733,1620,1847
176,1768,1663,1878
184,1840,1743,1940
188,1876,1780,1972
192,1912,1816,2005
196,1948,1851,2039
200,1984,1885,2074
216,2127,2014,2221
232,2270,2132,2410
264,NA,NA,NA
280,NA,NA,NA
296,NA,NA,NA
312,NA,NA,NA
328,NA,NA,NA
344,NA,NA,NA
360,NA,NA,NA
376,NA,NA,NA
392,NA,NA,NA
816,NA,NA,NA
