"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
0,-49,732,0,0,9,14,6,0,48,0,0,7,0,0,6,14,1,0,4,31,7,0,7,0,5,0,0,0,0,1,18,4,3,0,0,0,30,21,106,0,0,299,1,2,0,0,0,3,4,0,29,1,0,8,0,0,1,2,0,0,0,0,0,5,28,0,0,0,0,6,0,1,0,0
4,-44,638,0,1,15,9,4,0,40,0,0,6,0,0,8,12,0,2,8,36,6,0,4,2,3,1,0,0,1,0,25,4,0,1,0,4,28,5,62,5,0,227,2,0,0,0,0,9,5,0,50,1,0,6,0,0,3,1,1,0,0,2,0,7,22,0,0,0,0,8,2,0,0,0
8,-39,593,0,0,6,11,9,0,46,0,1,10,0,0,10,14,0,0,1,18,5,0,3,0,2,0,0,0,1,0,20,4,3,0,0,7,29,9,70,2,1,235,1,1,0,0,0,2,2,0,23,0,0,6,0,0,2,0,0,0,0,3,0,7,17,2,0,0,0,9,0,0,0,1
12,-29,615,0,0,12,6,3,0,39,0,1,8,0,0,5,16,0,0,7,38,9,0,6,1,10,2,0,0,1,0,30,6,3,0,0,3,35,2,64,2,0,221,3,4,0,0,0,7,6,0,24,0,1,1,1,0,2,0,1,0,0,1,0,4,15,3,0,0,1,10,1,0,0,0
16,-17,616,0,2,9,10,6,0,47,0,2,2,1,0,8,17,0,1,6,29,7,1,2,0,1,0,1,0,1,0,17,4,1,0,0,8,49,9,62,0,0,217,3,2,0,0,0,2,3,0,36,0,0,5,0,1,1,2,0,0,0,2,0,5,21,0,0,0,1,11,0,1,0,0
20,0,633,0,0,11,3,4,0,30,0,2,5,1,0,8,14,0,0,12,40,13,0,4,2,3,1,0,0,0,0,32,4,1,0,0,4,16,6,53,1,0,232,2,0,0,0,0,3,11,0,42,0,2,2,0,0,0,2,1,0,0,0,1,7,31,2,0,0,0,23,2,0,0,0
24,15,640,0,0,11,6,3,0,44,0,3,11,2,0,16,26,0,0,10,22,5,0,7,0,2,0,0,0,2,0,20,9,5,0,0,8,16,4,50,3,1,241,3,0,0,0,0,8,6,0,30,0,0,7,1,0,1,3,0,0,0,0,0,6,33,0,0,0,0,15,0,0,0,0
28,24,627,0,0,12,4,6,0,47,0,3,8,1,0,6,28,0,0,7,34,10,0,2,2,2,0,0,0,0,0,18,4,3,0,0,5,16,2,57,1,1,234,4,0,0,0,0,9,2,0,21,0,1,4,1,0,0,2,0,0,0,0,0,4,33,1,0,0,2,27,2,1,0,0
32,35,626,0,0,8,5,6,0,39,0,2,6,5,0,7,7,0,3,10,22,8,0,4,0,5,1,0,0,0,0,24,9,6,0,0,2,17,9,51,4,1,239,2,1,0,0,0,10,1,0,29,0,0,4,2,0,2,4,0,0,0,0,0,3,35,0,0,0,0,30,2,0,0,1
36,55,650,0,0,5,3,6,0,36,0,1,10,1,0,16,24,0,0,13,26,11,0,4,0,3,1,0,0,2,0,32,7,1,0,0,4,8,2,34,3,0,273,1,1,0,0,0,9,5,0,37,0,0,4,0,0,0,1,0,0,0,0,0,4,32,2,0,0,1,25,2,0,0,0
40,77,646,0,0,8,8,5,1,38,0,5,9,5,0,21,14,0,1,9,28,15,2,1,3,0,2,2,0,0,0,36,6,2,0,0,4,13,7,64,0,0,220,7,0,0,0,0,6,0,0,28,0,1,3,1,0,0,4,0,0,0,0,0,3,44,0,0,0,2,18,0,0,0,0
