"depth","best.age","min.age","max.age"
10,13,1,24
29,84,49,119
42,142,95,189
60,292,218,382
65,334,252,451
70,376,284,518
75,418,315,584
80,459,345,650
85,501,371,715
90,543,395,782
95,585,419,847
100,626,444,912
105,704,527,985
110,782,611,1057
115,860,695,1130
120,938,778,1201
125,1016,861,1273
130,1094,942,1344
135,1172,1022,1416
140,1250,1101,1488
145,1328,1180,1560
150,1406,1260,1632
180,1874,1723,2054
195,2108,1959,2272
210,2342,2194,2493
225,2576,2431,2721
240,2810,2663,2949
255,3044,2894,3182
285,3511,3349,3655
300,3745,3574,3894
315,3979,3797,4133
330,4213,4019,4374
345,4443,4245,4608
360,4666,4481,4829
375,4888,4713,5052
390,5111,4938,5276
405,5334,5160,5505
420,5556,5379,5737
435,5779,5594,5971
450,6001,5803,6205
480,6447,6222,6686
495,6669,6430,6931
510,6892,6637,7177
525,7114,6842,7424
540,7337,7047,7672
555,7559,7252,7921
575,7856,7522,8252
590,8185,7875,8551
605,8541,8262,8862
615,8778,8521,9073
630,9133,8901,9388
645,9488,9278,9711
660,9844,9649,10047
685,10436,10244,10629
700,10792,10586,10995
715,11147,10918,11370
720,11433,11241,11620
730,12005,11850,12167
735,12291,12129,12478
750,12717,12473,12948
765,12764,12565,12984
780,12811,12607,13035
795,12858,12636,13097
810,12905,12655,13161
815,12921,12661,13184
830,12968,12677,13256
845,13015,12688,13332
860,13062,12698,13411
875,13109,12707,13493
890,13157,12714,13577
905,13204,12720,13661
915,13235,12724,13718
930,13282,12729,13804
945,NA,NA,NA
