"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans","Larix","Nyssa","Ostrya.Carpinus","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.undiff.","Cerealia.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae","Dicentra","Fabaceae","Galium","Herbs.undiff.","Poaceae.undiff.","Rumex","Zea.mays","Equisetum","Lycopodium","Osmunda","Pteridium","Schizaeaceae","Sphagnum","Menyanthes.trifoliata","Nuphar","Typha.Sparganium","Utricularia","Spore..monolete.","Spore..trilete.","Unknown..monocolpate."
10,13,0,3,1,0,0,0,12,0,0,2,0,2,0,2,2,3,7,7,2,0,0,4,3,1,0,4,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0
29,84,0,0,0,4,1,0,1,0,1,2,0,1,0,0,4,19,4,9,2,0,0,0,26,0,0,2,0,3,0,0,2,0,0,11,3,0,0,0,0,2,0,0,1,0,0,0,2,0,0
42,142,0,4,8,19,4,0,3,0,11,5,0,0,0,7,7,37,8,18,4,0,4,5,23,1,4,8,2,5,4,0,1,0,0,2,4,2,0,0,0,0,0,0,0,3,2,0,3,2,0
60,292,2,5,6,4,4,0,13,2,19,7,3,3,0,4,36,92,4,49,2,0,10,5,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0
65,334,0,6,1,13,2,0,3,0,6,6,1,2,0,5,8,81,5,44,0,0,0,6,2,0,3,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
70,376,0,7,1,16,1,0,4,0,14,7,0,0,0,2,14,65,7,53,3,0,2,13,7,0,1,3,0,0,0,1,0,0,1,10,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0
75,418,0,5,2,7,1,0,5,0,6,6,0,2,0,7,3,61,5,64,0,1,0,10,5,0,3,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
80,459,0,11,5,13,1,0,15,0,11,5,0,0,0,5,11,104,5,81,3,0,5,10,4,0,1,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
85,501,0,7,1,8,0,0,6,0,9,1,0,2,0,8,3,70,3,60,0,0,1,6,2,0,1,3,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
90,543,0,4,3,8,1,0,5,0,5,3,0,0,0,7,4,83,1,69,2,0,1,12,1,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,585,0,2,0,8,0,0,40,0,5,2,0,10,0,0,3,23,31,5,1,0,2,6,12,0,3,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,626,0,7,4,3,3,0,7,0,7,10,1,1,0,6,1,52,3,67,1,0,0,10,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,704,0,11,4,6,0,0,7,0,13,8,1,0,0,4,1,80,7,53,4,2,0,10,2,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
110,782,0,3,0,8,1,0,7,0,6,6,0,1,0,5,0,89,2,51,1,0,1,6,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,860,0,10,0,13,3,0,5,0,11,13,0,2,0,6,6,155,3,68,3,0,0,9,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,938,0,0,4,8,2,0,7,0,10,8,0,0,0,0,0,78,3,66,3,2,0,10,3,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1016,0,5,0,5,2,0,8,0,9,12,0,0,0,3,0,72,1,66,1,1,0,16,1,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,2,0,0
130,1094,0,6,1,6,1,0,4,0,10,2,0,1,0,8,6,87,1,50,0,0,0,14,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,1172,0,9,1,4,0,0,16,0,11,6,0,6,0,2,9,19,15,25,0,0,5,7,2,0,1,3,0,0,0,0,0,0,0,45,0,0,6,0,0,0,0,0,0,0,2,0,4,0,0
140,1250,0,5,3,7,3,0,4,0,7,8,3,0,0,7,0,68,4,70,1,0,0,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
145,1328,0,10,3,11,0,0,2,0,14,4,1,0,0,8,3,47,0,75,0,1,0,21,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,1406,0,8,2,8,7,0,6,0,8,11,3,0,0,7,0,56,7,75,0,1,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180,1874,0,16,2,17,0,0,0,0,7,23,0,0,0,3,0,61,0,51,1,0,0,9,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2108,0,3,1,9,6,0,8,0,8,4,0,2,0,2,1,80,10,45,0,1,1,10,2,0,0,1,0,1,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,3,0,3,1,3
210,2342,0,12,1,6,7,0,0,0,15,14,0,0,0,3,2,83,1,49,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
225,2576,0,11,5,9,3,0,0,0,29,6,0,2,0,3,0,47,3,46,1,0,1,28,3,0,1,1,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
