"depth","best.age","min.age","max.age"
0.5,NA,NA,NA
2,NA,NA,NA
9,NA,NA,NA
16,NA,NA,NA
19.5,NA,NA,NA
22.5,NA,NA,NA
31,NA,NA,NA
39,NA,NA,NA
46.5,NA,NA,NA
54.5,NA,NA,NA
62,NA,NA,NA
69,NA,NA,NA
76.5,NA,NA,NA
83.5,NA,NA,NA
90.5,NA,NA,NA
97.5,NA,NA,NA
104.5,NA,NA,NA
111,NA,NA,NA
117.5,NA,NA,NA
124,NA,NA,NA
130.5,NA,NA,NA
137,NA,NA,NA
143,NA,NA,NA
149,NA,NA,NA
154,NA,NA,NA
160,NA,NA,NA
164,NA,NA,NA
169,NA,NA,NA
174,NA,NA,NA
179,NA,NA,NA
184,NA,NA,NA
189,NA,NA,NA
194,NA,NA,NA
199,NA,NA,NA
204,NA,NA,NA
209,NA,NA,NA
214,NA,NA,NA
219,NA,NA,NA
224,NA,NA,NA
229,NA,NA,NA
234,NA,NA,NA
239,NA,NA,NA
244,NA,NA,NA
249,NA,NA,NA
259,NA,NA,NA
263,NA,NA,NA
268,NA,NA,NA
273,NA,NA,NA
278,NA,NA,NA
283,NA,NA,NA
288,NA,NA,NA
293,NA,NA,NA
298,NA,NA,NA
303,NA,NA,NA
308,NA,NA,NA
313,NA,NA,NA
318,NA,NA,NA
330,NA,NA,NA
334,NA,NA,NA
339,NA,NA,NA
344,NA,NA,NA
349,NA,NA,NA
354,NA,NA,NA
359,NA,NA,NA
364,NA,NA,NA
369,NA,NA,NA
374,NA,NA,NA
379,NA,NA,NA
384,NA,NA,NA
389,NA,NA,NA
394,NA,NA,NA
399,NA,NA,NA
404,NA,NA,NA
409,NA,NA,NA
414,NA,NA,NA
419,NA,NA,NA
430,NA,NA,NA
434,NA,NA,NA
439,NA,NA,NA
444,NA,NA,NA
449,NA,NA,NA
454,NA,NA,NA
459,NA,NA,NA
464,NA,NA,NA
469,NA,NA,NA
474,9566,9491,9671
479,9701,9140,10256
484,9832,9383,10283
489,9963,9602,10320
494,10094,9789,10389
499,10225,9928,10506
504,10356,10018,10686
509,10483,10135,10826
514,10613,10329,10890
519,10742,10517,10960
524,10872,10689,11040
535,11157,10886,11248
540,11347,10757,11936
544,11499,10443,12552
550,11731,11229,12329
554,11839,11397,12361
560,12001,11647,12408
564,12109,11813,12435
568,12217,11980,12469
570,12271,12063,12495
574,12379,12222,12548
578,12487,12373,12611
580,12541,12442,12648
584,12653,12566,12750
588,12823,12722,12927
590,12908,12791,13021
596,13163,12990,13319
598,13248,13056,13423
600,13333,13119,13525
602,13418,13180,13626
603,13460,13210,13677
608,13673,13362,13931
613,13885,13514,14189
618,14098,13665,14449
623,14310,13816,14711
628,14522,13966,14974
633,14735,14117,15238
