"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Cephalanthus","Clethra","Asteraceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Ilex","Asteraceae.subf..Cichorioideae","Liquidambar","Liriodendron","Magnolia","Nyssa","Ostrya.Carpinus","Platanus","Quercus","Salix","Taxodium","Ulmus","Vitis","Alnus","Fraxinus","Myrica","Pinus","Rosaceae","Cupressaceae.undiff.","Acer.saccharum.type","Juglans.nigra","Saxifragaceae","Tsuga","Viburnum","Polygonum","Castanea","Rhus","Ranunculus","Cerealia","Artemisia","Juglans.cinerea","Herbs.undiff.","Sambucus","Apiaceae","Shrubs.undiff.","Amaranthaceae","Fabaceae","Onagraceae","Thalictrum","Cornus","Celtis","Cistaceae","Abies","Picea","Gentianaceae","Elymus","Rumex"
1,41,663,11,6,3,6,3,1,2,5,1,1,8,13,8,1,6,2,6,132,2,1,94,4,6,1,1,4,3,4,133,2,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,484,535,14,0,0,4,1,1,0,1,1,3,5,4,8,0,0,2,3,121,1,0,67,3,3,0,2,2,4,0,107,2,169,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1051,418,9,1,3,1,0,0,1,3,1,7,1,3,4,0,3,0,0,66,1,0,32,1,10,0,2,0,8,2,51,0,199,0,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1619,508,6,0,0,2,0,0,0,9,0,2,0,17,9,0,1,0,0,11,1,0,27,1,39,0,0,1,1,5,23,0,349,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2187,546,4,0,2,1,2,0,1,10,3,11,2,74,5,0,4,0,3,21,0,0,45,0,52,2,0,1,1,20,44,0,232,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2698,345,7,2,0,0,1,0,1,2,1,4,1,17,4,0,3,0,0,43,2,0,39,0,8,1,1,2,2,4,59,0,134,0,0,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3322,416,3,1,1,5,0,0,5,2,0,0,1,21,1,0,5,0,0,25,0,0,59,0,19,1,1,4,0,1,56,0,200,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3890,317,1,0,0,1,0,1,0,0,11,0,1,16,0,0,4,0,0,1,3,0,57,0,12,0,0,1,4,1,50,0,150,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4318,320,2,0,0,10,0,0,14,0,3,0,0,11,1,0,7,0,0,0,1,1,92,0,4,0,0,2,1,0,65,0,97,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4746,377,1,2,3,10,3,0,0,0,12,0,1,8,1,0,4,0,0,4,3,0,155,0,5,1,0,2,1,1,77,0,64,0,1,0,1,0,4,2,0,1,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
