"depth","best.age","min.age","max.age"
40,NA,NA,NA
50,NA,NA,NA
60,NA,NA,NA
70,NA,NA,NA
80,NA,NA,NA
90,NA,NA,NA
100,NA,NA,NA
110,NA,NA,NA
120,NA,NA,NA
140,NA,NA,NA
150,NA,NA,NA
160,NA,NA,NA
170,NA,NA,NA
180,NA,NA,NA
190,NA,NA,NA
200,NA,NA,NA
210,NA,NA,NA
270,NA,NA,NA
290,NA,NA,NA
320,NA,NA,NA
340,NA,NA,NA
360,NA,NA,NA
380,NA,NA,NA
397,6235,6077,6384
420,6815,6678,6943
440,7320,7196,7437
460,7825,7703,7938
480,8330,8194,8441
500,8835,8679,8952
520,9340,9163,9476
540,9635,9469,9758
560,9859,9709,10001
580,10083,9909,10257
600,10308,10087,10529
620,10532,10259,10810
640,11064,10810,11318
660,11595,11345,11848
670,11861,11602,12121
680,12126,11852,12394
700,12658,12348,12952
720,13189,12835,13523
740,13721,13314,14104
760,14252,13788,14694
780,NA,NA,NA
810,NA,NA,NA
820,NA,NA,NA
830,NA,NA,NA
840,NA,NA,NA
850,NA,NA,NA
860,NA,NA,NA
870,NA,NA,NA
