"depth","best.age","min.age","max.age"
0,-55,-77,-37
5,-44,-81,-4
13.5,-24,-75,59
23.5,13,-50,148
28.5,39,-31,196
38.5,111,31,303
48.5,220,108,439
58.5,372,211,596
67,536,321,757
74,689,426,913
81,853,538,1094
88,1026,656,1265
96,1227,796,1463
104,1427,943,1651
115,1690,1144,1901
125,1904,1328,2100
135,2090,1501,2283
145,2251,1688,2456
155,2390,1850,2612
165,2512,2016,2746
175,2619,2178,2862
180,2668,2257,2913
190,2760,2419,3008
195,2803,2502,3051
205,2887,2650,3122
215,2971,2770,3199
225,3058,2884,3278
235,3151,2994,3361
245,3254,3102,3457
255,3367,3211,3573
265,3489,3321,3701
275,3616,3435,3834
280,3682,3492,3901
290,3815,3610,4041
295,3882,3669,4110
305,4015,3790,4250
315,4146,3905,4381
325,4272,3988,4506
335,4392,4056,4622
345,4502,4158,4728
355,4602,4316,4823
360,4647,4374,4868
365,4691,4445,4909
375,4771,4534,4986
380,4810,4575,5021
395,4920,4698,5129
405,4993,4775,5197
415,5068,4850,5268
425,5150,4933,5351
435,5239,5017,5444
445,5340,5116,5550
455,5455,5236,5669
465,5586,5374,5797
475,5732,5524,5937
481,5824,5619,6029
491,5983,5772,6186
495,6048,5836,6251
505,6211,5988,6407
515,6372,6131,6554
525,6525,6269,6697
535,6668,6404,6835
545,6795,6537,6961
555,6910,6663,7072
565,7018,6791,7181
575,7128,6924,7292
580,7186,6997,7351
590,7313,7154,7477
595,7384,7236,7543
605,7545,7420,7694
615,7737,7621,7877
625,7969,7849,8102
635,8245,8113,8387
645,8564,8414,8729
655,8928,8759,9124
665,9336,9142,9558
675,9783,9557,10021
680,10018,9773,10258
690,10500,10221,10741
695,10744,10453,10985
705,11233,10932,11473
715,11708,11418,11940
725,12165,11898,12377
735,12607,12371,12801
745,13039,12829,13226
755,13464,13249,13654
765,NA,NA,NA
775,NA,NA,NA
780,NA,NA,NA
790,NA,NA,NA
795,NA,NA,NA
805,NA,NA,NA
815,NA,NA,NA
825,NA,NA,NA
835,NA,NA,NA
845,NA,NA,NA
855,NA,NA,NA
