"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea"
0,-55,812,0,0,25,3,56,28,7,0,0,0,1,0,0,40,9,28,1,8,4,4,1,0,0,0,0,0,0,19,4,23,6,24,4,7,112,5,0,0,2,10,53,3,163,7,1,22,3,8,1,6,9,0,0,11,3,14,60,2,0,1,12,0,0,1,1,0,0
5,-44,561,0,0,24,6,40,18,11,1,0,0,0,0,0,24,2,17,0,2,5,4,2,0,0,0,1,0,0,17,0,27,1,22,14,5,14,0,0,0,2,12,34,4,137,6,2,17,1,0,0,4,5,0,0,4,6,6,55,1,0,0,8,0,0,0,0,0,0
13.5,-24,729,0,2,27,8,48,35,13,0,0,0,0,0,0,43,9,44,0,5,2,1,0,0,0,0,0,1,4,29,1,56,3,50,6,0,130,7,0,0,3,16,44,1,66,0,1,7,0,0,0,3,4,0,0,2,0,2,36,1,0,1,16,0,0,2,0,0,0
23.5,13,513,0,1,15,2,41,17,9,0,0,2,0,0,0,29,7,20,0,3,5,2,0,0,0,0,0,0,0,20,2,29,2,40,3,1,78,5,0,0,1,17,24,1,67,1,1,6,0,1,0,4,3,0,0,1,0,1,36,0,0,0,15,0,0,0,0,0,1
28.5,39,530,0,0,16,1,37,8,13,0,0,1,0,0,0,29,10,24,0,3,3,0,1,0,0,0,2,0,0,23,1,35,4,26,1,4,98,7,0,0,4,7,32,0,65,0,0,7,0,1,0,1,7,0,0,2,2,4,37,0,0,0,12,0,0,0,0,0,2
38.5,111,501,0,1,13,3,37,16,6,0,0,2,0,0,0,20,7,12,0,1,1,3,1,0,0,0,0,0,1,19,2,27,2,26,3,1,66,5,0,0,4,11,38,0,96,0,0,4,0,0,0,5,4,0,0,1,1,2,39,0,0,0,19,0,0,1,0,0,1
48.5,220,439,0,1,8,3,40,8,17,0,0,0,1,0,0,28,3,27,0,4,0,4,1,0,0,0,0,0,0,12,2,15,1,22,3,4,85,15,0,0,0,14,20,0,36,0,1,2,0,0,0,1,9,0,0,0,0,0,35,1,0,1,15,0,0,0,0,0,0
58.5,372,549,0,2,23,1,35,27,14,0,0,0,0,0,0,52,8,26,0,3,0,2,1,0,0,0,1,0,0,20,1,40,2,35,5,2,126,10,0,0,1,34,27,0,2,0,0,30,0,0,0,0,7,0,0,0,0,0,9,0,0,0,1,0,0,2,0,0,0
67,536,477,0,2,26,3,20,17,12,0,0,0,0,0,0,38,4,32,0,5,1,2,0,0,0,0,0,0,1,29,1,39,2,38,3,1,139,3,1,0,2,25,21,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
74,689,612,0,1,32,4,40,25,11,0,0,0,0,0,0,41,13,25,0,5,4,3,0,1,0,0,0,0,0,30,0,38,1,37,4,4,200,5,1,0,3,33,33,0,2,0,1,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0
