"sample.depths","sample.ages","Alnus.undiff.","Ambrosia.type","Betula","Carya","Castanea","Asteraceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Trees.undiff.","Tsuga","Ulmus","Acer","Fraxinus","Myrica","Populus","Poaceae","Plantago","Aquifoliaceae","Artemisia","Ericaceae","Salix","Juglans","Herbs.undiff.","Liquidambar","Nyssa","Amaranthaceae","Abies","Alnus.viridis.type","Corylus","Tilia","Larix","Cistaceae"
0,11,0.00841514726507714,0.0490883590462833,0.0687237026647966,0.00561009817671809,0.00280504908835905,0.0140252454417952,0.00981767180925666,0.00561009817671809,0.00701262272089762,0.00561009817671809,0.00280504908835905,0.0743338008415147,0.00280504908835905,0.367461430575035,0.00561009817671809,0.161290322580645,0.0364656381486676,0.00841514726507714,0.00701262272089762,0.00841514726507714,0.0126227208976157,0.00140252454417952,0.0659186535764376,0.00140252454417952,0.0448807854137447,0.0126227208976157,0.00140252454417952,0.00280504908835905,0.00280504908835905,0.00140252454417952,0.00140252454417952,0,0,0,0,0,0,0,0,0,0
0,11,0.00841514726507714,0.0490883590462833,0.0687237026647966,0.00561009817671809,0.00280504908835905,0.0140252454417952,0.00981767180925666,0.00561009817671809,0.00701262272089762,0.00561009817671809,0.00280504908835905,0.0743338008415147,0.00280504908835905,0.367461430575035,0.00561009817671809,0.161290322580645,0.0364656381486676,0.00841514726507714,0.00701262272089762,0.00841514726507714,0.0126227208976157,0.00140252454417952,0.0659186535764376,0.00140252454417952,0.0448807854137447,0.0126227208976157,0.00140252454417952,0.00280504908835905,0.00280504908835905,0.00140252454417952,0.00140252454417952,0,0,0,0,0,0,0,0,0,0
25,253,0.0149700598802395,0.0553892215568862,0.124251497005988,0.0104790419161677,0.00748502994011976,0.0209580838323353,0.00748502994011976,0.00149700598802395,0.0194610778443114,0.00748502994011976,0.00449101796407186,0.0419161676646707,0.0194610778443114,0.233532934131737,0,0.205089820359281,0.0583832335329341,0,0.00748502994011976,0.00449101796407186,0.0134730538922156,0.00598802395209581,0.062874251497006,0,0.0464071856287425,0.00449101796407186,0,0,0.00598802395209581,0.0029940119760479,0.00149700598802395,0.00598802395209581,0.00149700598802395,0.0029940119760479,0.00149700598802395,0,0,0,0,0,0
28,282,0.0147058823529412,0.0647058823529412,0.111764705882353,0.00588235294117647,0.00588235294117647,0.0205882352941176,0,0.00294117647058824,0.0294117647058824,0.0088235294117647,0.0088235294117647,0.0441176470588235,0.00294117647058824,0.3,0.00294117647058824,0.161764705882353,0,0.00294117647058824,0.0117647058823529,0.00294117647058824,0.0088235294117647,0.00294117647058824,0.114705882352941,0,0.05,0,0,0.00294117647058824,0.0088235294117647,0,0.00294117647058824,0,0,0.00294117647058824,0.00294117647058824,0,0,0,0,0,0
31,311,0.0183727034120735,0.047244094488189,0.0813648293963255,0.0026246719160105,0.0078740157480315,0.0131233595800525,0.010498687664042,0,0.0393700787401575,0.010498687664042,0.0078740157480315,0.0498687664041995,0.0078740157480315,0.283464566929134,0.005249343832021,0.165354330708661,0.089238845144357,0.005249343832021,0.015748031496063,0,0.0183727034120735,0,0.073490813648294,0,0.015748031496063,0.0078740157480315,0.0026246719160105,0.0026246719160105,0.0078740157480315,0,0.005249343832021,0,0.0026246719160105,0,0.0026246719160105,0,0,0,0,0,0
35,419,0.0101351351351351,0.0101351351351351,0.111486486486486,0.0135135135135135,0.00337837837837838,0.0101351351351351,0.00337837837837838,0,0.0405405405405405,0.00675675675675676,0.00337837837837838,0.027027027027027,0.00675675675675676,0.290540540540541,0,0.233108108108108,0.0574324324324324,0,0.0304054054054054,0.0101351351351351,0.00337837837837838,0.0135135135135135,0.0608108108108108,0,0.0236486486486486,0,0,0.0101351351351351,0.00337837837837838,0,0.00675675675675676,0.00337837837837838,0,0.00337837837837838,0.00337837837837838,0,0,0,0,0,0
45,862,0.00518134715025907,0,0.0958549222797927,0.0207253886010363,0.0077720207253886,0.0077720207253886,0.00259067357512953,0.00259067357512953,0.0336787564766839,0.0103626943005181,0.00259067357512953,0.0233160621761658,0.0155440414507772,0.316062176165803,0,0.300518134715026,0.0077720207253886,0,0.0310880829015544,0.0181347150259067,0.0077720207253886,0.0103626943005181,0.0492227979274611,0,0.0155440414507772,0,0,0,0.00259067357512953,0,0,0.00518134715025907,0.00259067357512953,0,0,0.00259067357512953,0.00259067357512953,0,0,0,0
55,1318,0.0110192837465565,0,0.0743801652892562,0.0247933884297521,0.00275482093663912,0.0165289256198347,0.00550964187327824,0,0.0991735537190083,0.00550964187327824,0.00275482093663912,0.046831955922865,0.046831955922865,0.352617079889807,0,0.201101928374656,0,0,0.0303030303030303,0.0110192837465565,0.00275482093663912,0.0110192837465565,0.0385674931129477,0,0.00550964187327824,0,0,0,0.00550964187327824,0,0.00275482093663912,0,0,0,0,0.00275482093663912,0,0,0,0,0
65,1811,0.0133333333333333,0.00266666666666667,0.0853333333333333,0.016,0.00266666666666667,0.0106666666666667,0,0,0.0533333333333333,0.008,0,0.0533333333333333,0.032,0.464,0,0.138666666666667,0.00266666666666667,0,0.0266666666666667,0.0106666666666667,0.0106666666666667,0.0106666666666667,0.04,0,0.0106666666666667,0,0,0,0,0.00266666666666667,0,0,0,0,0,0,0,0.00266666666666667,0.00266666666666667,0,0
75,2304,0.00808625336927224,0,0.0539083557951483,0.0188679245283019,0.00269541778975741,0,0.00269541778975741,0.00269541778975741,0.045822102425876,0.00808625336927224,0,0.0539083557951483,0.032345013477089,0.371967654986523,0.00269541778975741,0.283018867924528,0,0,0.00539083557951483,0.0107816711590297,0.0242587601078167,0.0107816711590297,0.0350404312668464,0,0.0107816711590297,0,0,0,0,0.00269541778975741,0,0,0,0,0.00269541778975741,0,0.00269541778975741,0,0,0.00808625336927224,0
82,2649,0.00617283950617284,0,0.0462962962962963,0,0,0,0.00308641975308642,0,0.0246913580246914,0.00617283950617284,0,0.0246913580246914,0.0308641975308642,0.339506172839506,0.00617283950617284,0.382716049382716,0,0.00308641975308642,0.0277777777777778,0.0185185185185185,0.00308641975308642,0.00308641975308642,0.0432098765432099,0,0.00925925925925926,0,0,0,0,0,0,0,0,0.0154320987654321,0.00308641975308642,0,0.00308641975308642,0,0,0,0
101,3586,0.0056980056980057,0,0.0655270655270655,0.0142450142450142,0.00284900284900285,0,0.0056980056980057,0.00854700854700855,0.0398860398860399,0.0113960113960114,0,0.037037037037037,0.0484330484330484,0.461538461538462,0.0056980056980057,0.190883190883191,0,0,0.0113960113960114,0.0113960113960114,0.0142450142450142,0.00854700854700855,0.0484330484330484,0,0.00284900284900285,0,0,0,0,0,0,0.00284900284900285,0,0,0.00284900284900285,0,0,0,0,0,0
105,3783,0.0118203309692671,0.00236406619385343,0.0851063829787234,0.0141843971631206,0,0,0,0,0.0638297872340425,0.00945626477541371,0,0.0283687943262411,0.0307328605200946,0.293144208037825,0,0.314420803782506,0,0,0.016548463356974,0.016548463356974,0.016548463356974,0.0141843971631206,0.0638297872340425,0.00236406619385343,0.0118203309692671,0,0,0,0,0,0,0,0,0.00472813238770686,0,0,0,0,0,0,0
115,4277,0.00230414746543779,0,0.0460829493087558,0.0230414746543779,0,0,0.00230414746543779,0.00230414746543779,0.076036866359447,0.00921658986175115,0.00230414746543779,0.0714285714285714,0.0276497695852535,0.394009216589862,0.00691244239631336,0.221198156682028,0.00230414746543779,0,0.00230414746543779,0.00460829493087558,0.0138248847926267,0.00460829493087558,0.0714285714285714,0.00460829493087558,0,0,0,0.00230414746543779,0,0.00230414746543779,0.00691244239631336,0,0,0,0,0,0,0,0,0,0
125,4770,0.0137931034482759,0.00229885057471264,0.0988505747126437,0.00919540229885057,0.00459770114942529,0.00459770114942529,0.00459770114942529,0,0.0735632183908046,0.0229885057471264,0,0.0275862068965517,0.00689655172413793,0.303448275862069,0.0183908045977011,0.280459770114943,0,0,0,0.00229885057471264,0.0252873563218391,0.0160919540229885,0.064367816091954,0,0.0114942528735632,0,0,0,0,0.00459770114942529,0,0,0,0.00229885057471264,0,0,0.00229885057471264,0,0,0,0
135,5263,0.0106100795755968,0,0.0928381962864721,0.013262599469496,0.00795755968169761,0.00795755968169761,0.00530503978779841,0.0026525198938992,0.0769230769230769,0.0106100795755968,0.0026525198938992,0.026525198938992,0.0238726790450928,0.291777188328912,0.00795755968169761,0.257294429708223,0,0.0026525198938992,0.0212201591511936,0.013262599469496,0.0159151193633952,0.00795755968169761,0.0769230769230769,0,0.013262599469496,0,0,0.0026525198938992,0,0,0,0,0.0026525198938992,0.0026525198938992,0,0,0.0026525198938992,0,0,0,0
145,5639,0.0143472022955524,0.00143472022955524,0.0717360114777618,0.00286944045911047,0.00143472022955524,0.00573888091822095,0.00430416068866571,0.00286944045911047,0.0530846484935438,0.00573888091822095,0,0.024390243902439,0.0200860832137733,0.256814921090387,0.00717360114777618,0.355810616929699,0,0,0.0387374461979914,0.0186513629842181,0.0114777618364419,0.0114777618364419,0.0645624103299857,0,0.0114777618364419,0,0,0.00143472022955524,0,0,0.00430416068866571,0.00143472022955524,0,0.00286944045911047,0.00143472022955524,0,0,0.00286944045911047,0.00143472022955524,0,0
155,5976,0.0114155251141553,0,0.047945205479452,0.00228310502283105,0.00228310502283105,0.0045662100456621,0.00228310502283105,0.00228310502283105,0.0616438356164384,0.0045662100456621,0.00228310502283105,0.0570776255707763,0.00684931506849315,0.335616438356164,0.0091324200913242,0.308219178082192,0.00228310502283105,0,0.0365296803652968,0.0136986301369863,0.00228310502283105,0.0114155251141553,0.0547945205479452,0,0.00684931506849315,0,0,0,0,0,0.00684931506849315,0,0,0.00684931506849315,0,0,0,0,0,0,0
165,6313,0.00229357798165138,0.00229357798165138,0.0321100917431193,0.00229357798165138,0.00229357798165138,0.00229357798165138,0.0091743119266055,0.00229357798165138,0.055045871559633,0.00229357798165138,0.00458715596330275,0.0596330275229358,0.0160550458715596,0.410550458715596,0,0.26605504587156,0,0,0.0344036697247706,0.00458715596330275,0.00688073394495413,0.00688073394495413,0.0573394495412844,0,0.00229357798165138,0,0.00229357798165138,0.00229357798165138,0,0.00458715596330275,0,0,0,0.00229357798165138,0.00229357798165138,0,0.00229357798165138,0,0.00229357798165138,0,0
175,6650,0.0082815734989648,0.0020703933747412,0.0455486542443064,0.0062111801242236,0,0.0082815734989648,0.0082815734989648,0.010351966873706,0.0807453416149068,0.0165631469979296,0,0.0269151138716356,0.0165631469979296,0.302277432712215,0.0041407867494824,0.339544513457557,0,0,0.0600414078674948,0.0165631469979296,0.0041407867494824,0.0124223602484472,0.0165631469979296,0,0.0020703933747412,0,0,0.0041407867494824,0.0020703933747412,0,0.0020703933747412,0,0,0.0020703933747412,0,0,0,0,0.0020703933747412,0,0
185,6987,0.00956937799043062,0.00478468899521531,0.0478468899521531,0.00239234449760766,0,0.00956937799043062,0,0.00478468899521531,0.0717703349282297,0.0119617224880383,0,0.0143540669856459,0.0119617224880383,0.279904306220096,0.00956937799043062,0.361244019138756,0,0,0.0526315789473684,0.0167464114832536,0.0119617224880383,0.00717703349282297,0.0574162679425837,0,0.00717703349282297,0,0.00239234449760766,0,0,0,0,0,0,0.00478468899521531,0,0,0,0,0,0,0
191,7190,0.00932400932400932,0.00233100233100233,0.062937062937063,0.00233100233100233,0.00233100233100233,0,0.00932400932400932,0.00466200466200466,0.0256410256410256,0.00932400932400932,0,0.0326340326340326,0.00932400932400932,0.282051282051282,0.00932400932400932,0.41025641025641,0.00466200466200466,0,0.0512820512820513,0.0186480186480186,0.00466200466200466,0.006993006993007,0.0303030303030303,0.00233100233100233,0,0,0.00233100233100233,0,0.00233100233100233,0,0,0,0,0.00233100233100233,0,0,0.00233100233100233,0,0,0,0
205,7662,0.00284090909090909,0,0.0625,0,0,0.00568181818181818,0.0113636363636364,0.00852272727272727,0.0340909090909091,0.0198863636363636,0,0.0255681818181818,0.0198863636363636,0.295454545454545,0.00852272727272727,0.357954545454545,0,0.00284090909090909,0.03125,0.00852272727272727,0.0113636363636364,0.0198863636363636,0.0482954545454545,0,0.00568181818181818,0,0,0,0,0.00284090909090909,0,0,0.00284090909090909,0.00568181818181818,0.00284090909090909,0,0.00284090909090909,0,0.00284090909090909,0,0
215,7999,0.0114285714285714,0.00571428571428571,0.0628571428571429,0.00571428571428571,0.00285714285714286,0.00857142857142857,0,0.00857142857142857,0.0514285714285714,0.00857142857142857,0.00285714285714286,0.0457142857142857,0.0142857142857143,0.337142857142857,0.00571428571428571,0.248571428571429,0.00285714285714286,0,0.0285714285714286,0.02,0.0142857142857143,0.0114285714285714,0.0771428571428571,0,0.00571428571428571,0,0,0.00285714285714286,0,0,0,0.00285714285714286,0,0.0142857142857143,0,0,0,0,0,0,0
225,8336,0.00950118764845606,0.00475059382422803,0.0522565320665083,0.00237529691211401,0.00237529691211401,0.00475059382422803,0.00237529691211401,0.0142517814726841,0.0427553444180523,0.00950118764845606,0,0.0475059382422803,0.0213776722090261,0.232779097387173,0.0118764845605701,0.399049881235154,0.00237529691211401,0,0.0213776722090261,0.0190023752969121,0.00475059382422803,0.00475059382422803,0.0665083135391924,0,0.00950118764845606,0,0,0,0,0,0.00475059382422803,0,0,0,0,0,0.00712589073634204,0,0.00237529691211401,0,0
235,8673,0.0156739811912226,0,0.0438871473354232,0.00626959247648903,0,0.00626959247648903,0.00313479623824451,0.0188087774294671,0.00626959247648903,0.0125391849529781,0,0.0250783699059561,0.0250783699059561,0.35423197492163,0,0.313479623824451,0,0,0.0219435736677116,0.00940438871473354,0.00313479623824451,0.00313479623824451,0.106583072100313,0,0.0156739811912226,0,0,0,0,0,0,0,0.00313479623824451,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0
245,9010,0.00398406374501992,0.00398406374501992,0.0219123505976096,0.00398406374501992,0.00199203187250996,0,0,0,0.0557768924302789,0.00597609561752988,0,0.049800796812749,0.0219123505976096,0.466135458167331,0,0.256972111553785,0,0,0.0219123505976096,0.00597609561752988,0.00597609561752988,0.00199203187250996,0.0557768924302789,0,0.00597609561752988,0,0,0,0,0.00199203187250996,0.00199203187250996,0,0,0.00398406374501992,0,0,0.00199203187250996,0,0,0,0
255,9270,0.0150753768844221,0.0050251256281407,0.0527638190954774,0.00753768844221105,0,0.00753768844221105,0,0.0050251256281407,0.0301507537688442,0.0125628140703518,0.00251256281407035,0.0175879396984925,0.0226130653266332,0.336683417085427,0,0.329145728643216,0,0.0150753768844221,0.0125628140703518,0.0050251256281407,0.0125628140703518,0.00753768844221105,0.0603015075376884,0,0.0226130653266332,0,0,0.0050251256281407,0,0,0,0,0.00251256281407035,0.00753768844221105,0.00251256281407035,0,0.00251256281407035,0,0,0,0
265,9414,0.0113636363636364,0.00681818181818182,0.0363636363636364,0.00227272727272727,0,0.00227272727272727,0.00227272727272727,0.00454545454545455,0.0340909090909091,0.0159090909090909,0.00227272727272727,0.0477272727272727,0.025,0.409090909090909,0,0.254545454545455,0.0113636363636364,0,0.0113636363636364,0.00909090909090909,0.00227272727272727,0,0.0931818181818182,0,0.0136363636363636,0,0,0,0,0,0.00227272727272727,0,0,0,0,0,0.00227272727272727,0,0,0,0
275,9558,0.00429184549356223,0.00429184549356223,0.0407725321888412,0.00429184549356223,0,0.00858369098712446,0,0.00214592274678112,0.0493562231759657,0.0107296137339056,0,0.0171673819742489,0.0321888412017167,0.298283261802575,0.00214592274678112,0.317596566523605,0,0,0.0128755364806867,0.00429184549356223,0.00429184549356223,0.00643776824034335,0.120171673819742,0,0.01931330472103,0,0,0.00214592274678112,0.00429184549356223,0.00214592274678112,0,0,0.00214592274678112,0.0214592274678112,0.00214592274678112,0,0.00643776824034335,0,0,0,0
285,9701,0.0066079295154185,0.00440528634361234,0.039647577092511,0,0,0.00881057268722467,0.00440528634361234,0.0066079295154185,0.0352422907488987,0.0110132158590308,0.00220264317180617,0.0242290748898678,0.0484581497797357,0.251101321585903,0.00440528634361234,0.352422907488987,0.00881057268722467,0,0.00881057268722467,0.00440528634361234,0.00881057268722467,0.00881057268722467,0.129955947136564,0,0.0154185022026432,0,0,0,0.00220264317180617,0,0,0,0,0.00220264317180617,0,0.00220264317180617,0.0066079295154185,0,0,0.00220264317180617,0
293,9817,0.0137362637362637,0.00274725274725275,0.021978021978022,0,0,0.00549450549450549,0.00549450549450549,0.00549450549450549,0.0164835164835165,0.00274725274725275,0.00549450549450549,0.0384615384615385,0.043956043956044,0.357142857142857,0,0.332417582417582,0,0,0.0164835164835165,0.00824175824175824,0.00824175824175824,0.00549450549450549,0.0796703296703297,0,0.010989010989011,0,0,0,0,0.00274725274725275,0.00274725274725275,0,0,0.00824175824175824,0,0,0.00549450549450549,0,0,0,0
